set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_clean21_plus_USA_chicago_11	ERR1725966	aminoglycoside antibiotic	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1725966	carbapenem	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	cephalosporin	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	disinfecting agents and antiseptics	9	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	fluoroquinolone antibiotic	5	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	glycopeptide antibiotic	23	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	lincosamide antibiotic	4	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	macrolide antibiotic	8	2
RM2016_clean21_plus_USA_chicago_11	ERR1725966	penam	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	peptide antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	phosphonic acid antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	pleuromutilin antibiotic	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	streptogramin A antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	streptogramin B antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	streptogramin antibiotic	4	0
RM2016_clean21_plus_USA_chicago_11	ERR1725966	tetracycline antibiotic	9	0
