sample_id	source_file	source_bytes	source_sha256	delivered_file	delivered_bytes	decompressed_sha256	status
ERR1713348	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1713348/ERR1713348_diamond_card_merged.tsv	3418847	d36f88f12e4c262f89f9cf28d771a3cf4e567cee89e3d2dffd0ce0b41870c6ba	DIAMOND_CARD/ERR1713348/ERR1713348_diamond_card_merged.tsv.gz	641023	d36f88f12e4c262f89f9cf28d771a3cf4e567cee89e3d2dffd0ce0b41870c6ba	PASS
ERR1713358	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1713358/ERR1713358_diamond_card_merged.tsv	10642947	ad68dac8afeeebf66f812b952eaedd67efcb400ca2256c088970b891d47b2786	DIAMOND_CARD/ERR1713358/ERR1713358_diamond_card_merged.tsv.gz	1877603	ad68dac8afeeebf66f812b952eaedd67efcb400ca2256c088970b891d47b2786	PASS
ERR1713367	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1713367/ERR1713367_diamond_card_merged.tsv	18526340	ee82bd7891f2b7f713e039780b70b4ab24bb58b8c683c219c34f2e972097c6bf	DIAMOND_CARD/ERR1713367/ERR1713367_diamond_card_merged.tsv.gz	3269998	ee82bd7891f2b7f713e039780b70b4ab24bb58b8c683c219c34f2e972097c6bf	PASS
ERR1713372	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1713372/ERR1713372_diamond_card_merged.tsv	17551262	e6adb225e34a6c89018a6a765965d65baae05549ae9c12c513ceba5be7ba4052	DIAMOND_CARD/ERR1713372/ERR1713372_diamond_card_merged.tsv.gz	3184841	e6adb225e34a6c89018a6a765965d65baae05549ae9c12c513ceba5be7ba4052	PASS
ERR1713399	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1713399/ERR1713399_diamond_card_merged.tsv	3999165	74f04916968871025a857633d19e383063c1f62d11232d3decedbf356d12da60	DIAMOND_CARD/ERR1713399/ERR1713399_diamond_card_merged.tsv.gz	732762	74f04916968871025a857633d19e383063c1f62d11232d3decedbf356d12da60	PASS
ERR1713409	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1713409/ERR1713409_diamond_card_merged.tsv	8225270	0981103febf60a03f62c4943400145fa8149f1a9429a74f94c8ff965003e6d45	DIAMOND_CARD/ERR1713409/ERR1713409_diamond_card_merged.tsv.gz	1551877	0981103febf60a03f62c4943400145fa8149f1a9429a74f94c8ff965003e6d45	PASS
ERR1713410	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1713410/ERR1713410_diamond_card_merged.tsv	9847230	9fbd3ef3394f3655dea3f77b8a7a20f9db45f1fa6f108d30149b738fd04b8506	DIAMOND_CARD/ERR1713410/ERR1713410_diamond_card_merged.tsv.gz	1890730	9fbd3ef3394f3655dea3f77b8a7a20f9db45f1fa6f108d30149b738fd04b8506	PASS
ERR1725966	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1725966/ERR1725966_diamond_card_merged.tsv	4261599	6ff3baa3d8fcef0316adf98b1bdc9656424ffe446a9bdc5142f7f059bd65c417	DIAMOND_CARD/ERR1725966/ERR1725966_diamond_card_merged.tsv.gz	736869	6ff3baa3d8fcef0316adf98b1bdc9656424ffe446a9bdc5142f7f059bd65c417	PASS
ERR1725973	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1725973/ERR1725973_diamond_card_merged.tsv	1413875	f85f7a2811702ebbf07087371b570c6b632a014f47921b3056c59ade591d8ef2	DIAMOND_CARD/ERR1725973/ERR1725973_diamond_card_merged.tsv.gz	256599	f85f7a2811702ebbf07087371b570c6b632a014f47921b3056c59ade591d8ef2	PASS
ERR1725975	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1725975/ERR1725975_diamond_card_merged.tsv	3936850	4da8c5ac32f94e944aa4c3850ffb9b1661ad2c84c413e29a08d82bcff80c16b6	DIAMOND_CARD/ERR1725975/ERR1725975_diamond_card_merged.tsv.gz	662094	4da8c5ac32f94e944aa4c3850ffb9b1661ad2c84c413e29a08d82bcff80c16b6	PASS
ERR1725976	rr-analysis/hendriksen_resistancemap_2016/stage3_4c_diamond_card_clean21_plus_USA_chicago_11/results_cleanfasta/ERR1725976/ERR1725976_diamond_card_merged.tsv	3107246	846f519ccb9553d572276872999a4ac5cce5d866deeec8fe4e90bca3247778bd	DIAMOND_CARD/ERR1725976/ERR1725976_diamond_card_merged.tsv.gz	553317	846f519ccb9553d572276872999a4ac5cce5d866deeec8fe4e90bca3247778bd	PASS
