sample_id	source_file	source_bytes	source_lines	source_sha256	delivered_file	delivered_bytes	delivered_lines	delivered_sha256	source_columns	delivered_columns	excluded_columns	status
ERR1713348	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1713348/ERR1713348_rgi_main_contigs.txt	163830	81	32f7e77538829263a00009f08cc9690c7e48da51ed0a60ca6230c9617cc9678e	CARD_RGI_Main/ERR1713348/ERR1713348_rgi_main_compact.tsv	33610	81	dbc3833ecf9651b44587a0f9bf5020fa91f00ebba3df7d7d8000e6276f9619d6	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713358	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1713358/ERR1713358_rgi_main_contigs.txt	591256	243	ef968f8e30c0d3724b5f2f996a9d067c4a3df9c6587f027304c675f12dbf204a	CARD_RGI_Main/ERR1713358/ERR1713358_rgi_main_compact.tsv	94494	243	d410810eab63b650b4a8fbe97997c0ef003679e4121b0933d20b332b48e42a8f	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713367	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1713367/ERR1713367_rgi_main_contigs.txt	452851	215	72e55cf1ca97a34a417a472592e0664a880598045b488473b61b8c90b08e793c	CARD_RGI_Main/ERR1713367/ERR1713367_rgi_main_compact.tsv	84065	215	cc569b2a97cad7ddec1bfcfd233ecee5d9475b29767a5ff4effb5fef90cf4f09	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713372	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1713372/ERR1713372_rgi_main_contigs.txt	470487	236	13a167b736b330df02a3ca5118cdbcd014bc2703b80f7c32edf13a3f3f8e4d47	CARD_RGI_Main/ERR1713372/ERR1713372_rgi_main_compact.tsv	96089	236	71b5b59f80801405f73edc3c21f75f056e09c4ce36d12d38da16ad0119ea9282	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713399	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1713399/ERR1713399_rgi_main_contigs.txt	176614	79	4eb45050453513508e700f1ad3f9c332789a1d25930ec39aea609a5d4a78102f	CARD_RGI_Main/ERR1713399/ERR1713399_rgi_main_compact.tsv	31520	79	77aa1ef0bbf411bfb43aac2e5d3e700fefbe0c6e77ec65c67ebb6b8bbc8da4d9	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713409	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1713409/ERR1713409_rgi_main_contigs.txt	407709	203	807236f4c3ffbc1b49390aab22cccffd4dff49ff838cf55ce98ff6eaa084c5de	CARD_RGI_Main/ERR1713409/ERR1713409_rgi_main_compact.tsv	82942	203	8495b8c1a81b6a5e7a798c24a923c14965421aa61c82a52cc798bb4e0f38c988	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1713410	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1713410/ERR1713410_rgi_main_contigs.txt	521576	242	ecf3d51c220343fd9f37242caf99e5f97bf79afbbe33b40275ba246c34bf58a7	CARD_RGI_Main/ERR1713410/ERR1713410_rgi_main_compact.tsv	96459	242	fef77cdeb4bc4f71cffa58d3a980b33202517c7d7e6517ab27944d90a1a19340	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725966	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1725966/ERR1725966_rgi_main_contigs.txt	143992	61	a515f5017722857ab8e21cd98f0764717eab6e05f3c4463ba2230874a730e94a	CARD_RGI_Main/ERR1725966/ERR1725966_rgi_main_compact.tsv	23796	61	0e1c6f127e2a1b14cd65c44e2d72a5a318982fb4f875e61b41b31cd531100cc6	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725973	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1725973/ERR1725973_rgi_main_contigs.txt	52808	25	064b2c4b612f7e4f77db972fa05eecd7c7ed9ff9e0fcfef2530e67f03240677f	CARD_RGI_Main/ERR1725973/ERR1725973_rgi_main_compact.tsv	9939	25	e10863488239822bc32272afc44db97e85c860dfa841bafb3229dd85cb734b1d	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725975	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1725975/ERR1725975_rgi_main_contigs.txt	67465	31	fa715b8bc81f3a46d4432ac8b725683f2231a16f18b40bdf6e75e62f9da0bd6a	CARD_RGI_Main/ERR1725975/ERR1725975_rgi_main_compact.tsv	12106	31	dc2467704c28b530f24c901f6b71cafbf40950938d1afd7fd0b0093f6db89c2c	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
ERR1725976	rr-analysis/hendriksen_resistancemap_2016/stage3_5_rgi_main_contigs_clean21_plus_USA_chicago_11/results/ERR1725976/ERR1725976_rgi_main_contigs.txt	112969	52	842436b787e03dca1bef32d163abc36a81e406739d6bac2a3e87c3a7f9d5a8ab	CARD_RGI_Main/ERR1725976/ERR1725976_rgi_main_compact.tsv	20336	52	037981d1f42a70e3db0f5d8cbec2f3d9c22e40be79b837154aa8bc496b9c1fe0	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
