sample_id	genomad_context	drug_class	ARG_hit_count
ERR1713334	chromosome_like	tetracycline antibiotic	2738
ERR1713334	chromosome_like	macrolide antibiotic	2503
ERR1713334	chromosome_like	fluoroquinolone antibiotic	2501
ERR1713334	chromosome_like	penam	1857
ERR1713334	chromosome_like	peptide antibiotic	1471
ERR1713334	chromosome_like	cephalosporin	1365
ERR1713334	chromosome_like	disinfecting agents and antiseptics	1290
ERR1713334	chromosome_like	phenicol antibiotic	1163
ERR1713334	chromosome_like	aminoglycoside antibiotic	1095
ERR1713334	chromosome_like	cephamycin	927
ERR1713334	chromosome_like	glycopeptide antibiotic	920
ERR1713334	chromosome_like	carbapenem	876
ERR1713334	chromosome_like	rifamycin antibiotic	691
ERR1713334	chromosome_like	aminocoumarin antibiotic	642
ERR1713334	chromosome_like	glycylcycline	507
ERR1713334	chromosome_like	monobactam	499
ERR1713334	chromosome_like	penem	491
ERR1713334	chromosome_like	diaminopyrimidine antibiotic	418
ERR1713334	chromosome_like	lincosamide antibiotic	415
ERR1713334	chromosome_like	streptogramin antibiotic	304
ERR1713334	chromosome_like	nitroimidazole antibiotic	247
ERR1713334	chromosome_like	oxazolidinone antibiotic	214
ERR1713334	chromosome_like	sulfonamide antibiotic	212
ERR1713334	chromosome_like	mupirocin-like antibiotic	211
ERR1713334	chromosome_like	phosphonic acid antibiotic	205
ERR1713334	chromosome_like	pleuromutilin antibiotic	194
ERR1713334	chromosome_like	streptogramin A antibiotic	187
ERR1713334	chromosome_like	nucleoside antibiotic	143
ERR1713334	chromosome_like	fusidane antibiotic	90
ERR1713334	chromosome_like	isoniazid-like antibiotic	88
ERR1713334	chromosome_like	elfamycin antibiotic	82
ERR1713334	chromosome_like	streptogramin B antibiotic	65
ERR1713334	chromosome_like	antibacterial free fatty acids	36
ERR1713334	chromosome_like	bicyclomycin-like antibiotic	36
ERR1713334	chromosome_like	pyrazine antibiotic	27
ERR1713334	chromosome_like	nitrofuran antibiotic	23
ERR1713334	chromosome_like	salicylic acid antibiotic	20
