sample_id	stage	relative_path	file_name	bytes	sha256	status
ERR1713331	FASTP	FASTP/ERR1713331/ERR1713331.fastp.json	ERR1713331.fastp.json	142842	26734f1c669349a4db7bf9be43101283a87c3b72b67aa3fe33ccc6f4acb66d3f	PASS
ERR1713332	FASTP	FASTP/ERR1713332/ERR1713332.fastp.json	ERR1713332.fastp.json	141946	93d3ab3a5a47735fcf7b51537186b20b3cfdabf6414ef259cf46c48d0deece17	PASS
ERR1713334	FASTP	FASTP/ERR1713334/ERR1713334.fastp.json	ERR1713334.fastp.json	142162	05851a7a1b10f52dc6f30f838a7eaa2e35ac511e8eb91f46430d0de0c5246d1f	PASS
ERR1713337	FASTP	FASTP/ERR1713337/ERR1713337.fastp.json	ERR1713337.fastp.json	142836	9038a785855ce54b066be28c6cc6cfd2c89e36498db302b29213f1e288371930	PASS
ERR1713339	FASTP	FASTP/ERR1713339/ERR1713339.fastp.json	ERR1713339.fastp.json	136495	74c36c7e8686c6188e1b5c3189afd3ca8866d5c05fa83532cad90f0529033b2b	PASS
ERR1713344	FASTP	FASTP/ERR1713344/ERR1713344.fastp.json	ERR1713344.fastp.json	142967	e52bc105e8c2e8f693b0e098e21d9561d2590b549c764de63edbb25f92deaf4a	PASS
ERR1725947	FASTP	FASTP/ERR1725947/ERR1725947.fastp.json	ERR1725947.fastp.json	140112	39b7940ae018b17c0d270c72c1584a64e824101c70c0cba8eaed8195a81ae4f1	PASS
ERR1725962	FASTP	FASTP/ERR1725962/ERR1725962.fastp.json	ERR1725962.fastp.json	137954	1d24790cc6705ba134dbd11aa99a20b34649ef97b8be70d94f873f0badfb7ec7	PASS
ERR1713331	Bowtie2	Bowtie2/ERR1713331/ERR1713331.bowtie2.log	ERR1713331.bowtie2.log	627	d7e2ced27c4e14a96bcf87557fead84762a81c5bb1e57a3f1f13958b10f1fe3d	PASS
ERR1713332	Bowtie2	Bowtie2/ERR1713332/ERR1713332.bowtie2.log	ERR1713332.bowtie2.log	625	de88bb07e1a16233d4da4083bf0e18365f57bba2439977f51cef67e093c120aa	PASS
ERR1713334	Bowtie2	Bowtie2/ERR1713334/ERR1713334.bowtie2.log	ERR1713334.bowtie2.log	626	f4dbda5c6605c8d2d3207225fbb73fc854996d329ed61e41f894c0448f3941f7	PASS
ERR1713337	Bowtie2	Bowtie2/ERR1713337/ERR1713337.bowtie2.log	ERR1713337.bowtie2.log	626	390e0c4ed63b39c3b50ac22d0d6bd8f834bf5a648966ccfcc85aa8ea45a2050b	PASS
ERR1713339	Bowtie2	Bowtie2/ERR1713339/ERR1713339.bowtie2.log	ERR1713339.bowtie2.log	614	a1a92368ad25e324867e86e1602a1054e05b1c05c84029b090c14579c19415cd	PASS
ERR1713344	Bowtie2	Bowtie2/ERR1713344/ERR1713344.bowtie2.log	ERR1713344.bowtie2.log	628	8633bb9e9747d6f37aa9025d9ff938c1ca54778b130fd7b088d62b0ee0a173d4	PASS
ERR1725947	Bowtie2	Bowtie2/ERR1725947/ERR1725947.bowtie2.log	ERR1725947.bowtie2.log	626	54e0c1e0798abff6169c7c257d708cc90afbd8ddbb3aa8a2595c129a4ed712d9	PASS
ERR1725962	Bowtie2	Bowtie2/ERR1725962/ERR1725962.bowtie2.log	ERR1725962.bowtie2.log	619	7a9e4a752cd903609b85201cafcef7c1f8dd8f794db91eacf9945b7a8a34c8af	PASS
ERR1713331	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713331/ERR1713331_rgi_bwt.gene_mapping_data.txt	ERR1713331_rgi_bwt.gene_mapping_data.txt	189207	675eb634489ab0ed3294bc1a30961e7bfa4b8a83dfde75e7304668c13c9d8e08	PASS
ERR1713331	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713331/ERR1713331_rgi_bwt.overall_mapping_stats.txt	ERR1713331_rgi_bwt.overall_mapping_stats.txt	517	79965cb7f1ff050c0f9b3213ad8b3e1475b53d59da0f4af0c4fd290c7b2fc050	PASS
ERR1713332	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713332/ERR1713332_rgi_bwt.gene_mapping_data.txt	ERR1713332_rgi_bwt.gene_mapping_data.txt	120738	ed7ec01f5ae9a8d64ffd53b94cc7232f6fe1eb62796283491722a32a88e9c658	PASS
ERR1713332	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713332/ERR1713332_rgi_bwt.overall_mapping_stats.txt	ERR1713332_rgi_bwt.overall_mapping_stats.txt	518	34918d7a1a664f3866463f4e43ca77d43f671ad9f427e85454a7de0fd25c002d	PASS
ERR1713334	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713334/ERR1713334_rgi_bwt.gene_mapping_data.txt	ERR1713334_rgi_bwt.gene_mapping_data.txt	157664	b76dc5b0bbd476d221a9b3c7827eb8c1bb99d2059737713add3f03c6ca65b04e	PASS
ERR1713334	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713334/ERR1713334_rgi_bwt.overall_mapping_stats.txt	ERR1713334_rgi_bwt.overall_mapping_stats.txt	520	9beefb39bdbbe4897972535c2635a241e849e9e99abb6519a6c87c4ab1156d3c	PASS
ERR1713337	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713337/ERR1713337_rgi_bwt.gene_mapping_data.txt	ERR1713337_rgi_bwt.gene_mapping_data.txt	177298	556e0f098f85b85594347c087eca5630d1e378440e3c7cdea8a47f2862ebad5a	PASS
ERR1713337	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713337/ERR1713337_rgi_bwt.overall_mapping_stats.txt	ERR1713337_rgi_bwt.overall_mapping_stats.txt	521	bcc1eb36cc7f2eb123e7570611cb7af325c49bc90f1c0024fe5d22af6b85e683	PASS
ERR1713339	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713339/ERR1713339_rgi_bwt.gene_mapping_data.txt	ERR1713339_rgi_bwt.gene_mapping_data.txt	73483	4069d713edd63bd0d5b0302421871da674559030d59daafdcbe8532a9a8131f2	PASS
ERR1713339	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713339/ERR1713339_rgi_bwt.overall_mapping_stats.txt	ERR1713339_rgi_bwt.overall_mapping_stats.txt	511	54e918435a6b741ca5ea38686e0af6e004790023f150406e6ff07a4eac4a9de6	PASS
ERR1713344	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713344/ERR1713344_rgi_bwt.gene_mapping_data.txt	ERR1713344_rgi_bwt.gene_mapping_data.txt	213258	b4d8f682f91cd5555b3b39dacf197b850f1eb12eee20795d547138b2f9722051	PASS
ERR1713344	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713344/ERR1713344_rgi_bwt.overall_mapping_stats.txt	ERR1713344_rgi_bwt.overall_mapping_stats.txt	523	87ccc8da8ec78e435b32ff045151c762bccd97811f0ee03b433b32e915fb1c04	PASS
ERR1725947	CARD_RGI_BWT	CARD_RGI_BWT/ERR1725947/ERR1725947_rgi_bwt.gene_mapping_data.txt	ERR1725947_rgi_bwt.gene_mapping_data.txt	138852	a3b5ecd26e1af7e7f2859181cba9af4896ff4c7fe539e9aac025c9c9b59b4379	PASS
ERR1725947	CARD_RGI_BWT	CARD_RGI_BWT/ERR1725947/ERR1725947_rgi_bwt.overall_mapping_stats.txt	ERR1725947_rgi_bwt.overall_mapping_stats.txt	519	de4624679a9db9e3a0900a422f68011a932eef228b0cad8abd3022ca0ae4822f	PASS
ERR1725962	CARD_RGI_BWT	CARD_RGI_BWT/ERR1725962/ERR1725962_rgi_bwt.gene_mapping_data.txt	ERR1725962_rgi_bwt.gene_mapping_data.txt	77940	3ababdee734122d0703b75dbafb1b46a953ee9382a0a893af9ff10aa8a965d4b	PASS
ERR1725962	CARD_RGI_BWT	CARD_RGI_BWT/ERR1725962/ERR1725962_rgi_bwt.overall_mapping_stats.txt	ERR1725962_rgi_bwt.overall_mapping_stats.txt	515	b950c5a9d4a16821cb1702301c9b1ca306c325da80e8d2e3e40247ad092e9d4f	PASS
ERR1713331	CARD_RGI_Main	CARD_RGI_Main/ERR1713331/ERR1713331_rgi_main_compact.tsv	ERR1713331_rgi_main_compact.tsv	10705153	5e5c7a2ed358cfdd72b4135fb22a1aefbece85511b81061faa5c5cb7c12bb8b7	PASS
ERR1713332	CARD_RGI_Main	CARD_RGI_Main/ERR1713332/ERR1713332_rgi_main_compact.tsv	ERR1713332_rgi_main_compact.tsv	4158931	5d784487b7682c7b28563a52c6ec4df4727f6ea02bc251aa262f0b315740a34b	PASS
ERR1713334	CARD_RGI_Main	CARD_RGI_Main/ERR1713334/ERR1713334_rgi_main_compact.tsv	ERR1713334_rgi_main_compact.tsv	7052018	bafec212192f36c7410ee47c52148e45bf0d60ca45dd3cda75220660e882ff46	PASS
ERR1713337	CARD_RGI_Main	CARD_RGI_Main/ERR1713337/ERR1713337_rgi_main_compact.tsv	ERR1713337_rgi_main_compact.tsv	9999271	245b79995a51a3e46408422da404ec3e0fbacde30ede1601424acf7c32c9db70	PASS
ERR1713339	CARD_RGI_Main	CARD_RGI_Main/ERR1713339/ERR1713339_rgi_main_compact.tsv	ERR1713339_rgi_main_compact.tsv	627540	4e2bc1c976bf1890892e11d8f017e654b0ebf2ab271bfefb2a4588ada2a11fcb	PASS
ERR1713344	CARD_RGI_Main	CARD_RGI_Main/ERR1713344/ERR1713344_rgi_main_compact.tsv	ERR1713344_rgi_main_compact.tsv	18044261	3e121a9453098b587e5196939f100698742eb4e35558622a3c9db9ebc56575b3	PASS
ERR1725947	CARD_RGI_Main	CARD_RGI_Main/ERR1725947/ERR1725947_rgi_main_compact.tsv	ERR1725947_rgi_main_compact.tsv	5701615	01f7728be0fa545352adb2bc16118050f28c6ab8c85ff76b4a94770db619119c	PASS
ERR1725962	CARD_RGI_Main	CARD_RGI_Main/ERR1725962/ERR1725962_rgi_main_compact.tsv	ERR1725962_rgi_main_compact.tsv	2288797	3d3d70bd9111628a54a6d1eaa4da798349c80f5b9e5fa4b6446bf5618c5d509a	PASS
ERR1713331	DIAMOND_CARD	DIAMOND_CARD/ERR1713331/ERR1713331_diamond_card_merged.tsv.gz	ERR1713331_diamond_card_merged.tsv.gz	3870375	fc8e65c18fa27bb4b56c32d39cc3c0d02ecfe48ef653018cbb924159456cfc1d	PASS
ERR1713332	DIAMOND_CARD	DIAMOND_CARD/ERR1713332/ERR1713332_diamond_card_merged.tsv.gz	ERR1713332_diamond_card_merged.tsv.gz	1205008	91a88b83c9bb458997eab7c96b231daa148b0859ca9ee4b6aa86ac9b78c98757	PASS
ERR1713334	DIAMOND_CARD	DIAMOND_CARD/ERR1713334/ERR1713334_diamond_card_merged.tsv.gz	ERR1713334_diamond_card_merged.tsv.gz	1475703	93e918b494128019bc54bd17e91888e51596d2b6006927519d51820107bff050	PASS
ERR1713337	DIAMOND_CARD	DIAMOND_CARD/ERR1713337/ERR1713337_diamond_card_merged.tsv.gz	ERR1713337_diamond_card_merged.tsv.gz	2107226	ef8d388a40f2a604d6c55994d4e2793268d50cccad8707cd7d94f23a3143a86f	PASS
ERR1713339	DIAMOND_CARD	DIAMOND_CARD/ERR1713339/ERR1713339_diamond_card_merged.tsv.gz	ERR1713339_diamond_card_merged.tsv.gz	187213	ebb9f78cf54fe60b577d01083649be8be014df1a0c1d36fa7823c43cd07e82b4	PASS
ERR1713344	DIAMOND_CARD	DIAMOND_CARD/ERR1713344/ERR1713344_diamond_card_merged.tsv.gz	ERR1713344_diamond_card_merged.tsv.gz	2034258	daf5d85c96d6ef9ce53e8ff898b0a45d5e3fc22ffaa89d1f768576263c093e40	PASS
