sample_id	genomad_context	drug_class	ARG_hit_count
ERR1713350	chromosome_like	tetracycline antibiotic	7739
ERR1713350	chromosome_like	macrolide antibiotic	7153
ERR1713350	chromosome_like	fluoroquinolone antibiotic	7021
ERR1713350	chromosome_like	penam	5286
ERR1713350	chromosome_like	peptide antibiotic	4213
ERR1713350	chromosome_like	cephalosporin	3739
ERR1713350	chromosome_like	disinfecting agents and antiseptics	3452
ERR1713350	chromosome_like	aminoglycoside antibiotic	3169
ERR1713350	chromosome_like	phenicol antibiotic	3160
ERR1713350	chromosome_like	glycopeptide antibiotic	2637
ERR1713350	chromosome_like	cephamycin	2572
ERR1713350	chromosome_like	carbapenem	2479
ERR1713350	chromosome_like	rifamycin antibiotic	1944
ERR1713350	chromosome_like	aminocoumarin antibiotic	1851
ERR1713350	chromosome_like	monobactam	1439
ERR1713350	chromosome_like	penem	1420
ERR1713350	chromosome_like	glycylcycline	1302
ERR1713350	chromosome_like	lincosamide antibiotic	1129
ERR1713350	chromosome_like	diaminopyrimidine antibiotic	1101
ERR1713350	chromosome_like	streptogramin antibiotic	900
ERR1713350	chromosome_like	nitroimidazole antibiotic	642
ERR1713350	chromosome_like	mupirocin-like antibiotic	626
ERR1713350	chromosome_like	sulfonamide antibiotic	599
ERR1713350	chromosome_like	pleuromutilin antibiotic	587
ERR1713350	chromosome_like	streptogramin A antibiotic	581
ERR1713350	chromosome_like	oxazolidinone antibiotic	558
ERR1713350	chromosome_like	phosphonic acid antibiotic	509
ERR1713350	chromosome_like	nucleoside antibiotic	325
ERR1713350	chromosome_like	fusidane antibiotic	308
ERR1713350	chromosome_like	isoniazid-like antibiotic	244
ERR1713350	chromosome_like	elfamycin antibiotic	237
ERR1713350	chromosome_like	streptogramin B antibiotic	214
ERR1713350	chromosome_like	bicyclomycin-like antibiotic	135
ERR1713350	chromosome_like	antibacterial free fatty acids	104
ERR1713350	chromosome_like	salicylic acid antibiotic	70
ERR1713350	chromosome_like	pyrazine antibiotic	66
ERR1713350	chromosome_like	nitrofuran antibiotic	48
ERR1713350	chromosome_like	orthosomycin antibiotic	13
ERR1713350	chromosome_like	polyamine antibiotic	10
ERR1713350	chromosome_like	thioamide antibiotic	7
ERR1713350	plasmid_like	fluoroquinolone antibiotic	2463
ERR1713350	plasmid_like	tetracycline antibiotic	2403
ERR1713350	plasmid_like	macrolide antibiotic	2369
