country	iso3
Albania	ALB
Australia	AUS
Austria	AUT
Brazil	BRA
Bulgaria	BGR
Canada	CAN
China	CHN
Denmark	DNK
Spain	ESP
Ethiopia	ETH
Gambia	GMB
Hungary	HUN
India	IND
Iceland	ISL
Kenya	KEN
Switzerland	CHE
Argentina	ARG
Belgium	BEL
Bahrain	BHR
Bosnia and Herzegovina	BIH
Belarus	BLR
Cyprus	CYP
Czech Republic	CZE
Germany	DEU
Egypt	EGY
Estonia	EST
Finland	FIN
France	FRA
United Kingdom	GBR
Georgia	GEO
Ghana	GHA
Greece	GRC
Croatia	HRV
Ireland	IRL
Italy	ITA
South Korea	KOR
Lebanon	LBN
Lithuania	LTU
Luxembourg	LUX
Latvia	LVA
Malta	MLT
Malawi	MWI
Netherlands	NLD
Norway	NOR
Philippines	PHL
Poland	POL
Portugal	PRT
Romania	ROU
Russia	RUS
Serbia	SRB
Slovakia	SVK
Slovenia	SVN
Sweden	SWE
Thailand	THA
Tunisia	TUN
Turkey	TUR
United States	USA
Vietnam	VNM
South Africa	ZAF
Zambia	ZMB
