sample_id	iso3	country	collection_date	run_accession	fastq_1	fastq_2	md5_1	md5_2	bytes_1	bytes_2	already_processed
ERR1713334	AUT	Austria	2016-02-04	ERR1713334	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713334/ERR1713334_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713334/ERR1713334_2.fastq.gz	6d49a0144434a73f944a5b1f50c13c9c	219936407e22fcf9facf99553d0ed1b4	1865662494	2088703748	YES
ERR1713344	CHN	China	2016-01-28	ERR1713344	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713344/ERR1713344_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713344/ERR1713344_2.fastq.gz	c1aebe5d172d01abd121ec7ae47bc4ad	ef3537c859ea1aa84ce544d5b9de20bd	4487035391	5105894056	YES
ERR1725947	BGR	Bulgaria	2016-02-04	ERR1725947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725947/ERR1725947_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725947/ERR1725947_2.fastq.gz	83b0b7759175a5f6ed9ed1c9694baadc	7f58072a81bc71fea379e313595b9fe8	1497916716	1692192309	YES
ERR1725962	CHE	Switzerland	2016-01-27	ERR1725962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725962/ERR1725962_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725962/ERR1725962_2.fastq.gz	afbbf2115a02f19cab084c585d71ea2f	a94e17f718912609a8ec46078fc38659	638842070	704588280	YES
ERR1713332	AUS	Australia	2016-02-04	ERR1713332	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713332/ERR1713332_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713332/ERR1713332_2.fastq.gz	39e66796dda834cd35f8990e1f59b98b	2f749a4c8f556c3b79ddb2c20689f3fb	1358398206	1506206952	YES
ERR1713350	DNK	Denmark	2016-02-03	ERR1713350	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713350/ERR1713350_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713350/ERR1713350_2.fastq.gz	2bbb280a9e4134ab0aba0c9eea6e990f	080216ffb9f780a89d46e37c718f49bb	5365594218	5791599147	YES
ERR1713354	ESP	Spain	2016-02-10	ERR1713354	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713354/ERR1713354_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713354/ERR1713354_2.fastq.gz	b18d534a5f2d8cc92065488df529db77	f192e1b5953e54912fdf27ee98248dd9	1486460052	1660613931	YES
ERR1713361	HUN	Hungary	2016-02-02	ERR1713361	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1713361/ERR1713361_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/001/ERR1713361/ERR1713361_2.fastq.gz	0f32451771215709408e0fbf83982133	09a902eb5926192b5bc0750231dc359b	352153598	390694159	YES
ERR1713362	IND	India	2016-01-27	ERR1713362	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713362/ERR1713362_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713362/ERR1713362_2.fastq.gz	8aed6ecfaa6ac468475aa5bd5f9d4e1e	ae3811861e7559d021087827ec2d564a	3390949584	3802616182	YES
ERR1713365	ISL	Iceland	2016-02-02	ERR1713365	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1713365/ERR1713365_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/005/ERR1713365/ERR1713365_2.fastq.gz	9391b3941e77a4f46b0a3e0db499ef83	4bd85370081f17b8fdacb4b6db48836a	1901545901	2139314401	YES
