sample_id	iso3	country	collection_date	run_accession	fastq_1	fastq_2	md5_1	md5_2	bytes_1	bytes_2	already_processed
ERR1713348	DEU	Germany	2016-02-08	ERR1713348	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_2.fastq.gz	e062b92102c36b96e3c3dd1dae9f4c82	a22b132794a491c1cf94db4126a759d5	903426776	969877104	NO
ERR1713358	GHA	Ghana	2016-01-30	ERR1713358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_2.fastq.gz	f89cc7829c2db415025a6eb410cefd7a	221eb99093f0e5af694cceb1c66f60c2	4220335466	4732154796	NO
ERR1713367	ITA	Italy	2016-02-02	ERR1713367	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_2.fastq.gz	60f297236aa9992e47e940dcd5cf4065	a42e1cb8435c8fc76285cf6ce3be7e41	5149375632	5862155847	NO
ERR1713372	LUX	Luxembourg	2016-02-01	ERR1713372	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_2.fastq.gz	468f748f2446a05e877476f22a08aba2	34ee5d79c166f6b8521a903c3b610ba2	3908899736	4337542734	NO
ERR1713409	ZAF	South Africa	2016-02-04	ERR1713409	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_2.fastq.gz	a54e484fe0d4eea22fc509ab2810fe75	abcfc9a7c73175b0822645c2ce8f8522	1820687917	1988438864	NO
ERR1713410	ZMB	Zambia	2016-01-25	ERR1713410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_2.fastq.gz	f0c864bef18d24778fb2afd120462ac2	82769d76f35dc40dcb8702abd311a7cd	2323339684	2592854329	NO
ERR1725966	CZE	Czech Republic	2016-02-01	ERR1725966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725966/ERR1725966_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725966/ERR1725966_2.fastq.gz	043b7aba7728758f31066d4bf65a4a6b	1894bf82b7bff8e97c3ebe6ed0d326f7	920718668	1091002321	NO
ERR1725973	FIN	Finland	2016-01-26	ERR1725973	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725973/ERR1725973_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725973/ERR1725973_2.fastq.gz	15c777eb737bae3b7652b63366fb9413	2d8081f24456b800e45d53d3d68f95b2	333253858	393554569	NO
ERR1725975	GEO	Georgia	2016-01-25	ERR1725975	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725975/ERR1725975_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725975/ERR1725975_2.fastq.gz	52e9b6f819aaa3ed1c6c8ea2bd095e28	66b68b1ff25f8427f6c8194b0e53e72a	667372118	766008992	NO
ERR1725976	HRV	Croatia	2016-02-08	ERR1725976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725976/ERR1725976_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725976/ERR1725976_2.fastq.gz	5a72b42f285ebbb9070550e13bc259f1	ec7684184ea317bb19f9824c1bb6594b	673003412	741185536	NO
ERR1725979	IRL	Ireland	2016-02-10	ERR1725979	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725979/ERR1725979_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725979/ERR1725979_2.fastq.gz	1011ecc14009f4c299edba58227955aa	ac9f2e832809535b44b3079a86420245	2456826756	2272554320	NO
ERR1725987	LVA	Latvia	2016-02-01	ERR1725987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725987/ERR1725987_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725987/ERR1725987_2.fastq.gz	5878dd69d1bf40daaabcb9ee93aebd9f	333a59e83fffc6b57b4a438e70d813db	88082870	102564382	NO
ERR1725992	MLT	Malta	2016-02-01	ERR1725992	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725992/ERR1725992_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725992/ERR1725992_2.fastq.gz	49f92280f104bbe32d83bdd98713c377	66f3c12b3137146b5492ff5f07993e5e	2241273162	2489434584	NO
ERR1725997	NLD	Netherlands	2016-01-27	ERR1725997	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725997/ERR1725997_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725997/ERR1725997_2.fastq.gz	df867b1e8c82ded30ad279acd0a98c4a	3d189dc860e5a58a81a8a4d6fae5cbfe	2239970716	2654911527	NO
ERR1725999	NOR	Norway	2016-02-03	ERR1725999	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725999/ERR1725999_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725999/ERR1725999_2.fastq.gz	28ff78f530784ee7a4c5a00ca260f9b1	115b8fe8c85f837849d730341e876167	979137902	1169038706	NO
ERR1726006	SWE	Sweden	2016-02-11	ERR1726006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1726006/ERR1726006_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1726006/ERR1726006_2.fastq.gz	bcb21482cb0d15cff3614677f105a386	b61b259615a8bf994306930d421d68c5	858641901	1006729971	NO
ERR1713383	POL	Poland	2016-02-02	ERR1713383	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1713383/ERR1713383_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/003/ERR1713383/ERR1713383_2.fastq.gz	833835ba7bf25fb7a84a045ff034525d	417c48bf83e8a3273b86939f98385b5e	2289514940	2509692755	NO
ERR1713388	SRB	Serbia	2016-01-27	ERR1713388	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713388/ERR1713388_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713388/ERR1713388_2.fastq.gz	3ba8ef67fa8f0e46b8ee497630cec8ac	8cda3af01e1b31755c1962b6f01b6502	2201265445	2494113826	NO
ERR1726004	SVN	Slovenia	2016-01-25	ERR1726004	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1726004/ERR1726004_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/004/ERR1726004/ERR1726004_2.fastq.gz	b4e94e06543ad2045d44e5250854fed2	c903dad45538595f544e7f05a2a5a566	447899000	530854854	NO
ERR1726009	TUR	Turkey	2016-02-03	ERR1726009	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1726009/ERR1726009_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1726009/ERR1726009_2.fastq.gz	b6421db38f8ad9c1e510c644000ab766	6e159f7045bcb8ec561633a52224de78	1100734756	1288617467	NO
ERR1713389	SVK	Slovakia	2016-02-02	ERR1713389	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713389/ERR1713389_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713389/ERR1713389_2.fastq.gz	c642a6e78a550c8abc1ecacffe991dc8	4abee685dac1544c8064210f5013f6f2	2347887130	2558481618	NO
ERR1713399	USA	United States	2016-02-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713399/ERR1713399_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713399/ERR1713399_2.fastq.gz	4d467cb6bbb07453ec0add0f000e9e37	0d7ad044a68363e1e99fe1a046e0a988	1615935834	1766772265
