sample_id	iso3	country	collection_date	run_accession	fastq_1	fastq_2	md5_1	md5_2	bytes_1	bytes_2	already_processed
ERR1713334	AUT	Austria	2016-02-04	ERR1713334	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713334/ERR1713334_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713334/ERR1713334_2.fastq.gz	6d49a0144434a73f944a5b1f50c13c9c	219936407e22fcf9facf99553d0ed1b4	1865662494	2088703748	YES
ERR1713344	CHN	China	2016-01-28	ERR1713344	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713344/ERR1713344_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/004/ERR1713344/ERR1713344_2.fastq.gz	c1aebe5d172d01abd121ec7ae47bc4ad	ef3537c859ea1aa84ce544d5b9de20bd	4487035391	5105894056	YES
ERR1713348	DEU	Germany	2016-02-08	ERR1713348	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_2.fastq.gz	e062b92102c36b96e3c3dd1dae9f4c82	a22b132794a491c1cf94db4126a759d5	903426776	969877104	NO
ERR1713349	DNK	Denmark	2016-02-03	ERR1713349	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713349/ERR1713349_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713349/ERR1713349_2.fastq.gz	20a828e94c492fa737b018dd100747fc	5f7631359dac5425e7aaf36950e2b500	5043560841	5157236674	NO
ERR1713358	GHA	Ghana	2016-01-30	ERR1713358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_2.fastq.gz	f89cc7829c2db415025a6eb410cefd7a	221eb99093f0e5af694cceb1c66f60c2	4220335466	4732154796	NO
ERR1713367	ITA	Italy	2016-02-02	ERR1713367	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_2.fastq.gz	60f297236aa9992e47e940dcd5cf4065	a42e1cb8435c8fc76285cf6ce3be7e41	5149375632	5862155847	NO
ERR1713372	LUX	Luxembourg	2016-02-01	ERR1713372	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_2.fastq.gz	468f748f2446a05e877476f22a08aba2	34ee5d79c166f6b8521a903c3b610ba2	3908899736	4337542734	NO
ERR1713409	ZAF	South Africa	2016-02-04	ERR1713409	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_2.fastq.gz	a54e484fe0d4eea22fc509ab2810fe75	abcfc9a7c73175b0822645c2ce8f8522	1820687917	1988438864	NO
ERR1713410	ZMB	Zambia	2016-01-25	ERR1713410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_2.fastq.gz	f0c864bef18d24778fb2afd120462ac2	82769d76f35dc40dcb8702abd311a7cd	2323339684	2592854329	NO
ERR1725941	AUS	Australia	2016-02-08	ERR1725941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725941/ERR1725941_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725941/ERR1725941_2.fastq.gz	e59834e99d5da74954a198fbe47eefb7	a9b84f1cc0411abe8654467c44fba568	329426393	360996587	NO
ERR1725942	AUS	Australia	2016-02-08	ERR1725942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725942/ERR1725942_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725942/ERR1725942_2.fastq.gz	94e2352d01322f8aac82f7e890245f9a	fffa7594e7e2f0f2b13e3f23124b79c8	3223538020	3611682726	NO
ERR1725943	AUS	Australia	2016-02-08	ERR1725943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725943/ERR1725943_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725943/ERR1725943_2.fastq.gz	a7c6faa89b8f5dd7e229c9800c4d0d3a	3f3270222682749dbc605dbe46c8083e	140938059	161580099	NO
ERR1725945	AUT	Austria	2016-02-04	ERR1725945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725945/ERR1725945_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725945/ERR1725945_2.fastq.gz	94ff092e1ad1ef4aeb92fbf40f5fee6c	2e75bafbe49a1f10a081fe16fa477710	1212201781	1345663998	NO
ERR1725946	AUT	Austria	2016-02-04	ERR1725946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725946/ERR1725946_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725946/ERR1725946_2.fastq.gz	230b0375c31ed0031043ae526e016bcb	1a008dd0102207935f35056fabfc0f89	518014063	599872185	NO
ERR1725947	BGR	Bulgaria	2016-02-04	ERR1725947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725947/ERR1725947_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725947/ERR1725947_2.fastq.gz	83b0b7759175a5f6ed9ed1c9694baadc	7f58072a81bc71fea379e313595b9fe8	1497916716	1692192309	YES
ERR1725962	CHE	Switzerland	2016-01-27	ERR1725962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725962/ERR1725962_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725962/ERR1725962_2.fastq.gz	afbbf2115a02f19cab084c585d71ea2f	a94e17f718912609a8ec46078fc38659	638842070	704588280	YES
ERR1725966	CZE	Czech Republic	2016-02-01	ERR1725966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725966/ERR1725966_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725966/ERR1725966_2.fastq.gz	043b7aba7728758f31066d4bf65a4a6b	1894bf82b7bff8e97c3ebe6ed0d326f7	920718668	1091002321	NO
ERR1725971	ESP	Spain	2016-02-10	ERR1725971	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725971/ERR1725971_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725971/ERR1725971_2.fastq.gz	e0fe87e222044e9c42e6279ec8c1af37	4dc6738df3dd319d48f49a5a5ae5c5f2	1253178462	1472799877	NO
ERR1725972	ESP	Spain	2016-02-10	ERR1725972	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725972/ERR1725972_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725972/ERR1725972_2.fastq.gz	08ac38f4345985f59fd250f483c99bb3	34af0854a814b3d037328396620fcd66	1179286377	1390494748	NO
ERR1725973	FIN	Finland	2016-01-26	ERR1725973	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725973/ERR1725973_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725973/ERR1725973_2.fastq.gz	15c777eb737bae3b7652b63366fb9413	2d8081f24456b800e45d53d3d68f95b2	333253858	393554569	NO
ERR1725975	GEO	Georgia	2016-01-25	ERR1725975	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725975/ERR1725975_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725975/ERR1725975_2.fastq.gz	52e9b6f819aaa3ed1c6c8ea2bd095e28	66b68b1ff25f8427f6c8194b0e53e72a	667372118	766008992	NO
ERR1725976	HRV	Croatia	2016-02-08	ERR1725976	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725976/ERR1725976_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725976/ERR1725976_2.fastq.gz	5a72b42f285ebbb9070550e13bc259f1	ec7684184ea317bb19f9824c1bb6594b	673003412	741185536	NO
ERR1725979	IRL	Ireland	2016-02-10	ERR1725979	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725979/ERR1725979_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725979/ERR1725979_2.fastq.gz	1011ecc14009f4c299edba58227955aa	ac9f2e832809535b44b3079a86420245	2456826756	2272554320	NO
ERR1725980	IRL	Ireland	2016-02-10	ERR1725980	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1725980/ERR1725980_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/000/ERR1725980/ERR1725980_2.fastq.gz	e48baa859bbc79c6896fa1eca313d5ae	62cecb51bbded976ac584c8819752ee3	941752785	929672725	NO
ERR1725987	LVA	Latvia	2016-02-01	ERR1725987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725987/ERR1725987_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725987/ERR1725987_2.fastq.gz	5878dd69d1bf40daaabcb9ee93aebd9f	333a59e83fffc6b57b4a438e70d813db	88082870	102564382	NO
ERR1725992	MLT	Malta	2016-02-01	ERR1725992	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725992/ERR1725992_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725992/ERR1725992_2.fastq.gz	49f92280f104bbe32d83bdd98713c377	66f3c12b3137146b5492ff5f07993e5e	2241273162	2489434584	NO
ERR1725997	NLD	Netherlands	2016-01-27	ERR1725997	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725997/ERR1725997_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/007/ERR1725997/ERR1725997_2.fastq.gz	df867b1e8c82ded30ad279acd0a98c4a	3d189dc860e5a58a81a8a4d6fae5cbfe	2239970716	2654911527	NO
ERR1725999	NOR	Norway	2016-02-03	ERR1725999	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725999/ERR1725999_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/009/ERR1725999/ERR1725999_2.fastq.gz	28ff78f530784ee7a4c5a00ca260f9b1	115b8fe8c85f837849d730341e876167	979137902	1169038706	NO
ERR1726006	SWE	Sweden	2016-02-11	ERR1726006	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1726006/ERR1726006_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1726006/ERR1726006_2.fastq.gz	bcb21482cb0d15cff3614677f105a386	b61b259615a8bf994306930d421d68c5	858641901	1006729971	NO
ERR1726031	ZMB	Zambia	2016-01-25	ERR1726031	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726031/ERR1726031_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1726031/ERR1726031_2.fastq.gz	1af443e4340d2c23ba256783a0f34a37	acb08efd3ef566215f1b92178ad5eded	350460141	406773050	NO
ERR2592245	AUS	Australia	2016-02-04	ERR2592245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2592245/ERR2592245_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/005/ERR2592245/ERR2592245_2.fastq.gz	d20a4ef57d28b8f7b6b53f480db03620	a8371a73723809663456eb2f14030e11	1962377211	2042279805	NO
ERR2592247	BGR	Bulgaria	2016-02-04	ERR2592247	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2592247/ERR2592247_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2592247/ERR2592247_2.fastq.gz	10975b63cda2436d0dee8e0285fdd9ac	1eb2db1cb6e1eff72660d2efae0bcb95	2375102249	2378773926	NO
ERR2592267	NOR	Norway	2016-02-03	ERR2592267	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2592267/ERR2592267_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/007/ERR2592267/ERR2592267_2.fastq.gz	d5a95b3e7c6c117fafe49dd4c6b51dd0	3c804b5f1f786e865780d539816b0b9e	2577737718	2690426541	NO
ERR2592281	ZAF	South Africa	2016-02-04	ERR2592281	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2592281/ERR2592281_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/001/ERR2592281/ERR2592281_2.fastq.gz	7fa67f586890e4f95e62c0a1806436b7	c0ec353e7ca865ac066c038c7a3019e2	299645033	296781160	NO
ERR2592283	ZMB	Zambia	2016-01-12	ERR2592283	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2592283/ERR2592283_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/003/ERR2592283/ERR2592283_2.fastq.gz	b2ebe6a2d6fb149c10e78765713b1f4d	6ca20e42069b415a532348f3baaf47ee	6290540416	6542425065	NO
