set	sample_id	Drug_Class	ARG_hits	mobile_context_ARG_hits
RM2016_clean21_plus_USA_chicago_11	ERR1713348	aminocoumarin antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	aminoglycoside antibiotic	4	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	carbapenem	7	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	cephalosporin	10	2
RM2016_clean21_plus_USA_chicago_11	ERR1713348	cephamycin	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	disinfecting agents and antiseptics	16	3
RM2016_clean21_plus_USA_chicago_11	ERR1713348	elfamycin antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	fluoroquinolone antibiotic	10	2
RM2016_clean21_plus_USA_chicago_11	ERR1713348	glycopeptide antibiotic	27	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	glycylcycline	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	lincosamide antibiotic	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	macrolide antibiotic	10	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	monobactam	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	nitroimidazole antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	penam	11	2
RM2016_clean21_plus_USA_chicago_11	ERR1713348	penem	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	peptide antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	phenicol antibiotic	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	phosphonic acid antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713348	rifamycin antibiotic	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	streptogramin A antibiotic	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	streptogramin B antibiotic	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	streptogramin antibiotic	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713348	tetracycline antibiotic	14	3
RM2016_clean21_plus_USA_chicago_11	ERR1713358	aminoglycoside antibiotic	10	1
RM2016_clean21_plus_USA_chicago_11	ERR1713358	carbapenem	10	3
RM2016_clean21_plus_USA_chicago_11	ERR1713358	cephalosporin	10	3
RM2016_clean21_plus_USA_chicago_11	ERR1713358	cephamycin	1	1
RM2016_clean21_plus_USA_chicago_11	ERR1713358	diaminopyrimidine antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	disinfecting agents and antiseptics	18	1
RM2016_clean21_plus_USA_chicago_11	ERR1713358	fluoroquinolone antibiotic	17	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	glycopeptide antibiotic	134	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	glycylcycline	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	lincosamide antibiotic	9	4
RM2016_clean21_plus_USA_chicago_11	ERR1713358	macrolide antibiotic	6	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	nitroimidazole antibiotic	13	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	penam	12	3
RM2016_clean21_plus_USA_chicago_11	ERR1713358	peptide antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	phenicol antibiotic	8	4
RM2016_clean21_plus_USA_chicago_11	ERR1713358	pleuromutilin antibiotic	1	1
RM2016_clean21_plus_USA_chicago_11	ERR1713358	streptogramin A antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	streptogramin B antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	streptogramin antibiotic	3	1
RM2016_clean21_plus_USA_chicago_11	ERR1713358	sulfonamide antibiotic	2	0
RM2016_clean21_plus_USA_chicago_11	ERR1713358	tetracycline antibiotic	29	2
RM2016_clean21_plus_USA_chicago_11	ERR1713367	aminoglycoside antibiotic	11	3
RM2016_clean21_plus_USA_chicago_11	ERR1713367	carbapenem	11	3
RM2016_clean21_plus_USA_chicago_11	ERR1713367	cephalosporin	18	5
RM2016_clean21_plus_USA_chicago_11	ERR1713367	cephamycin	4	1
RM2016_clean21_plus_USA_chicago_11	ERR1713367	diaminopyrimidine antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713367	disinfecting agents and antiseptics	42	3
RM2016_clean21_plus_USA_chicago_11	ERR1713367	fluoroquinolone antibiotic	13	1
RM2016_clean21_plus_USA_chicago_11	ERR1713367	glycopeptide antibiotic	88	0
RM2016_clean21_plus_USA_chicago_11	ERR1713367	glycylcycline	2	1
RM2016_clean21_plus_USA_chicago_11	ERR1713367	lincosamide antibiotic	8	2
RM2016_clean21_plus_USA_chicago_11	ERR1713367	macrolide antibiotic	13	3
RM2016_clean21_plus_USA_chicago_11	ERR1713367	monobactam	2	2
RM2016_clean21_plus_USA_chicago_11	ERR1713367	nitroimidazole antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713367	penam	18	4
RM2016_clean21_plus_USA_chicago_11	ERR1713367	peptide antibiotic	1	0
RM2016_clean21_plus_USA_chicago_11	ERR1713367	phenicol antibiotic	6	2
RM2016_clean21_plus_USA_chicago_11	ERR1713367	phosphonic acid antibiotic	2	0
