set	sample_id	total_ARG_hits	matched_to_genomad	chromosome_like_ARG_hits	plasmid_like_ARG_hits	virus_like_ARG_hits	mobile_context_ARG_hits	unclassified_ARG_hits	percent_ARG_hits_plasmid_like	percent_ARG_hits_mobile_context	loose_ARG_hits	strict_ARG_hits	perfect_ARG_hits
pilot8	ERR1713331	24764	24764	17739	5893	1132	7025	0	23.8	28.37	24541	199	24
pilot8	ERR1713332	9640	9640	7602	1695	343	2038	0	17.58	21.14	9563	69	8
pilot8	ERR1713334	16466	16466	11322	4243	901	5144	0	25.77	31.24	16292	159	15
pilot8	ERR1713337	23236	23236	20041	2220	975	3195	0	9.55	13.75	23030	186	20
pilot8	ERR1713339	1485	1485	1141	266	78	344	0	17.91	23.16	1470	12	3
pilot8	ERR1713344	41642	41642	35633	4992	1017	6009	0	11.99	14.43	41435	185	22
pilot8	ERR1725947	13217	13217	9809	2844	564	3408	0	21.52	25.78	13110	91	16
pilot8	ERR1725962	5341	5341	4110	1057	174	1231	0	19.79	23.05	5310	28	3
selected8	ERR1713350	43185	43185	31604	9442	2139	11581	0	21.86	26.82	42802	349	34
selected8	ERR1713354	10791	10791	8097	2249	445	2694	0	20.84	24.97	10672	106	13
selected8	ERR1713355	29632	29632	22486	5746	1400	7146	0	19.39	24.12	29287	310	35
selected8	ERR1713359	14347	14347	9834	4042	471	4513	0	28.17	31.46	14267	75	5
selected8	ERR1713361	1977	1977	1589	311	77	388	0	15.73	19.63	1958	16	3
selected8	ERR1713362	34671	34671	26864	6208	1599	7807	0	17.91	22.52	34263	359	49
selected8	ERR1713365	12548	12548	9261	2867	420	3287	0	22.85	26.2	12462	78	8
selected8	ERR1713369	27194	27194	20567	5245	1382	6627	0	19.29	24.37	26916	237	41
