set	sample_id	strict_perfect_ARG_hits	chromosome_like_ARG_hits	plasmid_like_ARG_hits	virus_like_ARG_hits	mobile_context_ARG_hits	unclassified_ARG_hits	percent_ARG_hits_plasmid_like	percent_ARG_hits_mobile_context	strict_ARG_hits	perfect_ARG_hits
pilot8	ERR1713331	223	112	107	4	111	0	47.98	49.78	199	24
pilot8	ERR1713332	77	42	35	0	35	0	45.45	45.45	69	8
pilot8	ERR1713334	174	80	87	7	94	0	50.0	54.02	159	15
pilot8	ERR1713337	206	136	63	7	70	0	30.58	33.98	186	20
pilot8	ERR1713339	15	7	7	1	8	0	46.67	53.33	12	3
pilot8	ERR1713344	207	123	74	10	84	0	35.75	40.58	185	22
pilot8	ERR1725947	107	42	63	2	65	0	58.88	60.75	91	16
pilot8	ERR1725962	31	15	15	1	16	0	48.39	51.61	28	3
selected8	ERR1713350	383	195	168	20	188	0	43.86	49.09	349	34
selected8	ERR1713354	119	52	63	4	67	0	52.94	56.3	106	13
selected8	ERR1713355	345	185	141	19	160	0	40.87	46.38	310	35
selected8	ERR1713359	80	39	39	2	41	0	48.75	51.25	75	5
selected8	ERR1713361	19	9	10	0	10	0	52.63	52.63	16	3
selected8	ERR1713362	408	214	175	19	194	0	42.89	47.55	359	49
selected8	ERR1713365	86	40	45	1	46	0	52.33	53.49	78	8
selected8	ERR1713369	278	137	133	8	141	0	47.84	50.72	237	41
