set	sample_id	total_ARG_mapped_reads	detected_drug_classes	plasmid_records	virus_records	provirus_rows
pilot8	ERR1713331	241655	32	3512	3	3
pilot8	ERR1713332	68181	31	1231	3	3
pilot8	ERR1713334	85881	32	1997	2	2
pilot8	ERR1713337	94711	33	781	9	9
pilot8	ERR1713339	8757	28	159	0	0
pilot8	ERR1713344	121976	32	1931	1	1
pilot8	ERR1725947	78675	30	1492	1	1
pilot8	ERR1725962	21846	30	524	0	0
selected8	ERR1713350	229661	32	4726	4	4
selected8	ERR1713354	79955	31	1449	1	1
selected8	ERR1713355	193757	34	2727	11	11
selected8	ERR1713359	178773	30	2058	13	13
selected8	ERR1713361	8853	28	107	0	0
selected8	ERR1713362	162950	34	2163	4	4
selected8	ERR1713365	92643	31	1704	1	1
selected8	ERR1713369	172658	32	2350	3	3
