set	sample_id	plasmid_records	virus_records	provirus_rows
pilot8	ERR1713331	3512	3	3
pilot8	ERR1713332	1231	3	3
pilot8	ERR1713334	1997	2	2
pilot8	ERR1713337	781	9	9
pilot8	ERR1713339	159	0	0
pilot8	ERR1713344	1931	1	1
pilot8	ERR1725947	1492	1	1
pilot8	ERR1725962	524	0	0
selected8	ERR1713350	4726	4	4
selected8	ERR1713354	1449	1	1
selected8	ERR1713355	2727	11	11
selected8	ERR1713359	2058	13	13
selected8	ERR1713361	107	0	0
selected8	ERR1713362	2163	4	4
selected8	ERR1713365	1704	1	1
selected8	ERR1713369	2350	3	3
