set	sample_id	total_ARG_mapped_reads	detected_drug_classes
pilot8	ERR1713331	241655	32
pilot8	ERR1713332	68181	31
pilot8	ERR1713334	85881	32
pilot8	ERR1713337	94711	33
pilot8	ERR1713339	8757	28
pilot8	ERR1713344	121976	32
selected8	ERR1713350	229661	32
selected8	ERR1713354	79955	31
selected8	ERR1713355	193757	34
selected8	ERR1713359	178773	30
selected8	ERR1713361	8853	28
selected8	ERR1713362	162950	34
selected8	ERR1713365	92643	31
selected8	ERR1713369	172658	32
pilot8	ERR1725947	78675	30
pilot8	ERR1725962	21846	30
