sample_id	source_file	source_bytes	source_lines	source_sha256	delivered_file	delivered_bytes	delivered_lines	delivered_sha256	source_columns	delivered_columns	excluded_columns	status
E_1-2	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/E_1-2/E_1-2_rgi_main.txt	1445606	572	b252f66bf55dee576dcb9308c088e2c937d7924bde38591efb028c05e2227d5a	CARD_RGI_Main/E_1-2/E_1-2_rgi_main_compact.tsv	230251	572	3745d21771ce9a4fa3d30a5a3bc7bcd857d8f77355c0203fc42d5de5a1bb74bc	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
E_11-12	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/E_11-12/E_11-12_rgi_main.txt	1417767	606	6e3c9e18dc0200b683ec1a0395522583df14cc97e669b6c800b6f02aad710f0c	CARD_RGI_Main/E_11-12/E_11-12_rgi_main_compact.tsv	246945	606	5972a00d09e260decc7c4945ebeb8b6bfa3719ee8f7419e4d09a2ba530cd02e6	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
E_3-4	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/E_3-4/E_3-4_rgi_main.txt	1760253	668	3544e4a6930f864b286f29399b5b5042b5da50459e8f7a3ba1728637db4f9e44	CARD_RGI_Main/E_3-4/E_3-4_rgi_main_compact.tsv	270157	668	490d748f8a2daeea5a767f84da5e16417cc5afc0e22fa6b4d5ed0a644b7b41e9	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
E_5-6	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_final5_after_genomad_complete/E_5-6/E_5-6_rgi_main.txt	1679904	724	3d14fa606a867c18ecbbe2b5fae6c87ad5aaa8da4fb83dd216edb3aab1706b89	CARD_RGI_Main/E_5-6/E_5-6_rgi_main_compact.tsv	303702	724	664897d54b938e0bfa32c4b9782542013a82dee8e9b82576221cb1efeb1bf4c7	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
E_7-8	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/E_7-8/E_7-8_rgi_main.txt	1693692	667	73a90cd594932e5bb5645000cafe438c8b81618e6c30f5e0045fcfca8a5b7739	CARD_RGI_Main/E_7-8/E_7-8_rgi_main_compact.tsv	270464	667	7de1b1958bb626dd1aebc06ce71ed636fd3619c8c22a4293c2c31d6e79437f57	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
E_9-10	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/E_9-10/E_9-10_rgi_main.txt	1444313	589	f08fdca13a641e47bc744a360fad4874c33b7d3c6d9b799cc7ab60e91ae55d2a	CARD_RGI_Main/E_9-10/E_9-10_rgi_main_compact.tsv	236305	589	fff1c63f71a5b390686f38f1ce6b0dc97679a39993758131d9504399a1d016c4	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
I_1-2	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_final5_after_genomad_complete/I_1-2/I_1-2_rgi_main.txt	1810454	796	af8d565d8fca2e00289803c7186af7ca3c92a6ba108ada07a39f96c5bdf62902	CARD_RGI_Main/I_1-2/I_1-2_rgi_main_compact.tsv	332985	796	b66d80b4470924d772b0c773de7b130e8954b7984516d0eb2bca281161ead1f4	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
I_11-12	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_final5_after_genomad_complete/I_11-12/I_11-12_rgi_main.txt	1678028	732	9e58bc3cacc5e8f8e4b45cc13bc79d2f667ba03a2899bc477aac46232e1678fb	CARD_RGI_Main/I_11-12/I_11-12_rgi_main_compact.tsv	303531	732	8701c198f85a640900dba4da838a8cb1d2e70196ca6062f292fcef644fe12272	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
I_3-4	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/I_3-4/I_3-4_rgi_main.txt	1738773	764	5418aa438047960f2a17830dcb8c345f2c65bf34487e5cd256856f2826a91a5c	CARD_RGI_Main/I_3-4/I_3-4_rgi_main_compact.tsv	323298	764	ff96fd4a3370f266ad4bc9aef8c88171ee418922c5af1e2f23bd80f2712871fb	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
I_5-6	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/I_5-6/I_5-6_rgi_main.txt	1484042	576	af54c7f889c0cf6ed87620e159563e387ac473f0045350e273025862fa827049	CARD_RGI_Main/I_5-6/I_5-6_rgi_main_compact.tsv	233217	576	8e7bc58299fe58b8f7fc24536ac1339d09c179cef45584896ddc860a3aaf23a0	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
I_7-8	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/I_7-8/I_7-8_rgi_main.txt	1754275	762	73989a0f9640ac8807b4466e18df5140c89cd32b3a27a718f7abdeea77dd6304	CARD_RGI_Main/I_7-8/I_7-8_rgi_main_compact.tsv	323337	762	c320044572fa8cecfc0435c90165019a36f5b21650ec748496b275e67b348150	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
I_9-10	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/I_9-10/I_9-10_rgi_main.txt	1933626	852	54c58783b813560837d12afb9a134d0f3dddb084df02aa53c474452e7977d24f	CARD_RGI_Main/I_9-10/I_9-10_rgi_main_compact.tsv	359028	852	f74d3258254b5aab02e995eef02d5fe29cb13094f814b420e50468b76e1a6bb5	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
RW_1	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_final5_after_genomad_complete/RW_1/RW_1_rgi_main.txt	1463591	630	701537d709c1f210a775c25ddefd067a945e9b8697bef583876acfee09dcdaa5	CARD_RGI_Main/RW_1/RW_1_rgi_main_compact.tsv	255995	630	a7e5bb6007b38b8c28050262249eb79c8ef9d759708e98b5303a6ae0f3737d61	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
RW_2	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/RW_2/RW_2_rgi_main.txt	1112695	501	535f6686580d138f744652d30a2ba5246d618fa23310fb606a01f7f67d4f6e35	CARD_RGI_Main/RW_2/RW_2_rgi_main_compact.tsv	208619	501	96af7d1f2ef9d5d4b09f3bf2d5fa0a2f1588bb955ab0d383d614d5da3c47cb80	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
RW_3	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_final5_after_genomad_complete/RW_3/RW_3_rgi_main.txt	1253950	498	e49093f2666729e35d6b8c5bf7e6e08280d099eb7b1de360796ba1b6238cd28a	CARD_RGI_Main/RW_3/RW_3_rgi_main_compact.tsv	206420	498	a550ca2b6327cba701cb9c9a93625e2d6440929c608ea4bcf9346420eed5c123	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
RW_4	rr-analysis/kathmandu_kbase/results/rgi_main_contigs_genomad_completed13/RW_4/RW_4_rgi_main.txt	1274799	573	91f1ef74717f7ede8725b23b9a22f8de2ab5e9a0fbaf4b42a87440a9e5a36312	CARD_RGI_Main/RW_4/RW_4_rgi_main_compact.tsv	239286	573	846516b8ff2e1dad2dec5e20b321a2e3b722e340a41f877c58282d4a9923f78f	29	26	Predicted_DNA;Predicted_Protein;CARD_Protein_Sequence	PASS
