set	sample_id	total_ARG_hits	matched_to_genomad	chromosome_like_ARG_hits	plasmid_like_ARG_hits	virus_like_ARG_hits	mobile_context_ARG_hits	unclassified_ARG_hits	percent_ARG_hits_plasmid_like	percent_ARG_hits_mobile_context	loose_ARG_hits	strict_ARG_hits	perfect_ARG_hits
Kathmandu18	E_11-12	605	65	540	62	3	65	0	10.24793388429752	10.743801652892563	0	527	78
Kathmandu18	E_1-2	571	41	530	40	1	41	0	7.005253940455342	7.1803852889667255	0	526	45
Kathmandu18	E_3-4	667	48	619	48	0	48	0	7.19640179910045	7.19640179910045	0	611	56
Kathmandu18	E_7-8	666	61	605	58	3	61	0	8.70870870870871	9.15915915915916	0	612	54
Kathmandu18	E_9-10	588	35	553	34	1	35	0	5.782312925170068	5.9523809523809526	0	542	46
Kathmandu18	I_3-4	763	85	678	83	2	85	0	10.878112712975097	11.140235910878113	0	681	82
Kathmandu18	I_5-6	575	41	534	39	2	41	0	6.782608695652174	7.130434782608695	0	531	44
Kathmandu18	I_7-8	761	89	672	86	3	89	0	11.300919842312746	11.695137976346912	0	673	88
Kathmandu18	I_9-10	851	93	758	92	1	93	0	10.81081081081081	10.928319623971797	0	763	88
Kathmandu18	RW_2	500	70	430	67	3	70	0	13.4	14.0	0	424	76
Kathmandu18	RW_4	572	66	506	66	0	66	0	11.538461538461538	11.538461538461538	0	489	83
Kathmandu18	RW_5	597	72	525	72	0	72	0	12.06030150753769	12.06030150753769	0	518	79
Kathmandu18	RW_6	545	60	485	57	3	60	0	10.458715596330276	11.009174311926605	0	470	75
Kathmandu18	E_5-6	723	84	639	82	2	84	0	11.341632088520056	11.618257261410788	0	638	85
Kathmandu18	I_1-2	795	81	714	81	0	81	0	10.18867924528302	10.18867924528302	0	705	90
Kathmandu18	I_11-12	731	81	650	78	3	81	0	10.6703146374829	11.080711354309166	0	633	98
Kathmandu18	RW_1	629	76	553	70	6	76	0	11.128775834658187	12.082670906200319	0	550	79
Kathmandu18	RW_3	497	49	448	47	2	49	0	9.456740442655935	9.859154929577464	0	424	73
