sample_id	aro_gene	hit_rows
E_1-2	tet(53)	251
E_1-2	CMY-170	1
E_1-2	LRA-7	13
E_1-2	PLN-1	95
E_1-2	CMY-130	1
E_1-2	LRA-8	134
E_1-2	LRA-9	9
E_1-2	CMY-172	78
E_1-2	CMY-173	1
E_1-2	CMY-132	3
E_1-2	KPC-211	31
E_1-2	AAC(6')-Isa	18
E_1-2	BLMT	5
E_1-2	CMY-174	3
E_1-2	CMY-175	5
E_1-2	tet(X6)	384
E_1-2	CMY-176	5
E_1-2	CMY-135	7
E_1-2	KPC-215	12
E_1-2	CMY-178	94
E_1-2	CMY-137	18
E_1-2	KPC-217	3
E_1-2	CMY-179	17
E_1-2	CMY-139	1
E_1-2	KPC-218	12
E_1-2	OXA-90	10
E_1-2	Sfra_tlrB_TYL	130
E_1-2	Saur_FosB	49
E_1-2	OXA-50	100
E_1-2	OXA-92	1
E_1-2	OXA-51	1
E_1-2	OXA-10	1112
E_1-2	ALG11-1	89
E_1-2	OXA-93	4
E_1-2	bacA	11207
E_1-2	OXA-11	671
E_1-2	OXA-94	1
E_1-2	BlaB-20	17
E_1-2	OXA-12	196
E_1-2	OXA-53	447
E_1-2	ADC-290	16
E_1-2	QnrB60	6
E_1-2	OXA-13	630
E_1-2	OXA-54	411
E_1-2	QnrB20	1
E_1-2	BlaB-22	17
E_1-2	ADC-291	7
E_1-2	OXA-96	22
E_1-2	QnrB61	48
E_1-2	Cper_mprF	269
E_1-2	OXA-55	178
E_1-2	OXA-14	819
E_1-2	Sent_cmlA	1161
E_1-2	QnrB62	9
E_1-2	ADC-251	1
E_1-2	BlaB-23	17
E_1-2	OXA-97	21
E_1-2	ADC-210	19
E_1-2	ADC-292	25
E_1-2	QnrB21	14
E_1-2	OXA-15	766
E_1-2	OXA-56	482
E_1-2	PDC-21a	1
E_1-2	OXA-98	5
E_1-2	ADC-211	2
E_1-2	BlaB-24	19
E_1-2	ADC-252	7
E_1-2	OXA-57	66
E_1-2	QnrB22	29
E_1-2	OXA-16	628
E_1-2	OXA-99	4
E_1-2	QnrB64	9
E_1-2	QnrB23	12
E_1-2	BlaB-25	17
E_1-2	ADC-253	5
E_1-2	OXA-58	21
E_1-2	OXA-17	961
E_1-2	QnrB24	1
E_1-2	BlaB-26	13
E_1-2	ADC-254	9
E_1-2	ADC-295	27
E_1-2	OXA-59	67
E_1-2	QnrB65	57
E_1-2	OXA-18	269
E_1-2	AER-1	1465
E_1-2	BlaB-27	14
E_1-2	ADC-214	2
E_1-2	ADC-255	23
E_1-2	QnrB66	14
E_1-2	QnrB25	13
E_1-2	OXA-19	489
E_1-2	Bbif_ileS_MUP	31922
E_1-2	BlaB-28	13
E_1-2	QnrB26	7
E_1-2	QnrB67	14
E_1-2	ADC-215	2
E_1-2	OXY-4-1	16
E_1-2	SPU-1	174
E_1-2	QnrB68	11
E_1-2	BlaB-29	13
E_1-2	ADC-257	3
E_1-2	ADC-216	15
E_1-2	QnrB27	38
E_1-2	OXY-4-2	12
E_1-2	QnrB69	24
E_1-2	QnrB28	40
E_1-2	OXY-4-3	15
E_1-2	QnrB29	1
E_1-2	ANT(2'')-Ia	189
E_1-2	OXY-4-4	14
E_1-2	SHD-1	24
E_1-2	OXY-4-5	13
E_1-2	CARB-1	291
E_1-2	basS	3100
E_1-2	CARB-2	307
E_1-2	DfrA34	10
E_1-2	CARB-3	248
E_1-2	dfrA30	600
E_1-2	dfrA31	1024
E_1-2	CARB-4	415
E_1-2	dfrA32	284
E_1-2	DfrA36	2153
E_1-2	CARB-5	307
E_1-2	CARB-6	267
E_1-2	DfrA37	806
E_1-2	VEB-30	917
E_1-2	facT	1167
E_1-2	DfrA38	3267
E_1-2	CARB-7	504
