seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_617218	2841	No terminal repeats	3	11	0.9965	NA	1	4.0928	NA	NA
k141_56645	1737	No terminal repeats	3	11	0.9965	NA	1	3.9787	NA	NA
k141_1246542	2996	No terminal repeats	3	11	0.9965	NA	1	4.9260	MOBQ	NA
k141_3080060	2044	No terminal repeats	3	11	0.9965	NA	1	4.9260	MOBQ	NA
k141_1269067	2169	No terminal repeats	5	11	0.9964	NA	2	7.5763	NA	NA
k141_553464	2481	No terminal repeats	2	11	0.9964	NA	2	3.4366	MOBP1	NA
k141_898271	1859	No terminal repeats	2	11	0.9964	NA	2	3.4366	MOBP1	NA
k141_520357	1388	No terminal repeats	3	11	0.9964	NA	2	5.1548	NA	NA
k141_2621186	4122	No terminal repeats	3	11	0.9963	NA	3	3.5769	NA	NA
k141_778843	2879	No terminal repeats	2	11	0.9963	NA	2	2.3388	NA	NA
k141_570956	3352	DTR	2	11	0.9963	NA	2	3.0806	NA	NA
k141_558610	2094	No terminal repeats	2	11	0.9963	NA	2	3.3991	MOBQ	NA
k141_2266579	1423	No terminal repeats	2	11	0.9963	NA	2	3.4366	MOBP1	NA
k141_795644	1685	No terminal repeats	2	11	0.9963	NA	1	3.0656	NA	NA
k141_2748080	2363	No terminal repeats	2	11	0.9962	NA	1	2.5612	NA	NA
k141_678424	3735	No terminal repeats	3	11	0.9962	NA	0	3.7306	NA	NA
k141_2116995	2249	No terminal repeats	2	11	0.9962	NA	2	2.7704	NA	NA
k141_355934	7460	No terminal repeats	7	11	0.9962	NA	0	11.5404	NA	NA
k141_2276193	2276	No terminal repeats	3	11	0.9962	NA	1	4.7415	NA	NA
k141_22851	6455	No terminal repeats	12	11	0.9961	NA	0	18.9011	NA	NA
k141_2258455	3382	No terminal repeats	4	11	0.9961	NA	0	5.5922	NA	NA
k141_74411	3295	No terminal repeats	6	11	0.9961	NA	0	6.5980	NA	NA
k141_765520	2465	DTR	3	11	0.9961	NA	1	3.7698	NA	NA
k141_60343	5133	No terminal repeats	4	11	0.9961	NA	2	5.5922	MOBP1	NA
k141_3172914	1641	No terminal repeats	2	11	0.9961	NA	2	3.2077	MOBQ	NA
k141_1363541	4137	No terminal repeats	6	11	0.9961	NA	6	8.7581	F_traK;F_traE;F_traL	NA
k141_2115100	1823	No terminal repeats	3	11	0.9961	NA	3	4.6014	MOBQ	NA
k141_806722	13654	No terminal repeats	18	11	0.9961	NA	0	15.8982	NA	NA
k141_56614	1265	No terminal repeats	2	11	0.9961	NA	1	3.4366	NA	NA
k141_1932449	5062	No terminal repeats	7	11	0.9961	NA	1	9.0853	I_traW;I_traY;I_traY	NA
k141_770825	3576	No terminal repeats	4	11	0.9961	NA	1	4.7858	NA	NA
k141_118909	3950	No terminal repeats	7	11	0.9961	NA	0	6.5805	NA	NA
k141_344016	1081	No terminal repeats	2	11	0.9960	NA	1	2.2669	NA	NA
k141_50090	1423	No terminal repeats	2	11	0.9960	NA	2	3.4366	MOBP1	NA
k141_2652442	2023	No terminal repeats	2	11	0.9960	NA	2	3.4366	MOBP1	NA
k141_1867243	2364	No terminal repeats	3	11	0.9960	NA	1	3.6451	MOBQ	NA
k141_228656	3340	No terminal repeats	3	11	0.9960	NA	2	4.5193	MOBP1	NA
k141_571152	1113	No terminal repeats	2	11	0.9960	NA	2	2.9571	MOBP1	NA
k141_568271	5892	No terminal repeats	6	11	0.9959	NA	4	8.5890	MOBP1;MOBP1	NA
k141_37803	4464	No terminal repeats	5	11	0.9959	NA	0	6.8731	NA	NA
k141_2680893	1531	No terminal repeats	2	11	0.9959	NA	2	3.4366	MOBP1	NA
k141_871513	3362	No terminal repeats	3	11	0.9959	NA	0	3.7306	NA	NA
k141_1855068	1937	No terminal repeats	2	11	0.9959	NA	1	3.2077	MOBQ	NA
k141_586245	1605	No terminal repeats	2	11	0.9959	NA	2	3.4267	NA	NA
k141_2558951	1507	No terminal repeats	3	11	0.9959	NA	1	3.0145	NA	NA
k141_2991490	2216	No terminal repeats	2	11	0.9959	NA	2	2.9571	MOBP1	NA
k141_2048721	1450	No terminal repeats	2	11	0.9959	NA	2	2.5758	NA	NA
k141_996137	2242	No terminal repeats	3	11	0.9959	NA	1	4.6490	I_traY;I_traW	NA
k141_6132	2138	No terminal repeats	2	11	0.9959	NA	2	2.6616	NA	NA
k141_464502	1065	No terminal repeats	2	11	0.9959	NA	2	3.4366	MOBP1	NA
k141_3052917	4641	DTR	6	11	0.9959	NA	3	6.6999	MOBP1	NA
k141_11725	2772	No terminal repeats	5	11	0.9958	NA	3	6.8207	NA	NA
k141_613645	2221	No terminal repeats	2	11	0.9958	NA	2	3.1408	MOBP1	NA
k141_2914268	2858	No terminal repeats	5	11	0.9958	NA	3	5.8580	NA	NA
k141_3311898	4388	DTR	4	11	0.9958	NA	1	4.5765	MOBV	NA
k141_2952892	6897	No terminal repeats	5	11	0.9958	NA	0	5.4588	NA	NA
k141_2948421	3455	DTR	5	11	0.9958	NA	4	5.9811	NA	NA
k141_1123031	1541	No terminal repeats	2	11	0.9958	NA	2	3.2077	MOBQ	NA
k141_838326	11635	No terminal repeats	18	11	0.9958	NA	2	16.4027	MOBP1	NA
k141_492877	4930	No terminal repeats	5	11	0.9957	NA	2	5.7758	MOBQ	NA
k141_337031	1414	No terminal repeats	2	11	0.9957	NA	2	3.4366	MOBP1	NA
k141_1896928	2106	No terminal repeats	4	11	0.9957	NA	2	4.9260	MOBQ	NA
k141_138099	4866	No terminal repeats	4	11	0.9957	NA	0	5.1548	NA	NA
k141_2555314	9758	No terminal repeats	5	11	0.9957	NA	2	4.8709	MOBF	NA
k141_2380995	1077	No terminal repeats	2	11	0.9957	NA	1	3.4324	NA	NA
k141_560967	5720	No terminal repeats	6	11	0.9957	NA	2	6.1621	MOBQ	NA
k141_1492895	2925	No terminal repeats	4	11	0.9957	NA	0	3.9209	NA	NA
k141_2772074	1923	No terminal repeats	2	11	0.9957	NA	1	2.6533	NA	NA
k141_2231672	1137	No terminal repeats	2	11	0.9956	NA	2	3.2261	MOBQ	NA
k141_89531	1666	No terminal repeats	2	11	0.9956	NA	2	3.2077	MOBQ	NA
k141_547036	1954	No terminal repeats	2	11	0.9956	NA	1	3.2077	MOBQ	NA
k141_2694231	4209	No terminal repeats	4	11	0.9956	NA	1	3.5017	MOBQ	NA
k141_214983	2008	No terminal repeats	4	11	0.9956	NA	1	4.0574	NA	NA
k141_138883	1500	No terminal repeats	2	11	0.9956	NA	1	2.3952	NA	NA
k141_2392050	1510	No terminal repeats	3	11	0.9956	NA	2	3.0740	NA	NA
k141_675564	2114	No terminal repeats	3	11	0.9956	NA	2	4.7229	MOBP1	NA
k141_2017515	1269	No terminal repeats	3	11	0.9956	NA	1	4.9260	MOBQ	NA
k141_31715	1125	No terminal repeats	2	11	0.9956	NA	2	3.2077	MOBQ	NA
k141_868267	1611	No terminal repeats	2	11	0.9956	NA	2	3.2077	MOBQ	NA
k141_135661	1239	No terminal repeats	2	11	0.9955	NA	1	3.0656	NA	NA
k141_3288777	1710	No terminal repeats	4	11	0.9955	NA	1	4.1397	NA	NA
k141_2865756	2660	No terminal repeats	4	11	0.9955	NA	1	5.3633	MOBQ	NA
k141_927042	1946	No terminal repeats	4	11	0.9955	NA	2	3.4675	NA	NA
k141_582710	3117	No terminal repeats	6	11	0.9955	NA	2	6.6697	NA	NA
k141_1400	4120	No terminal repeats	4	11	0.9955	NA	0	4.4173	NA	NA
k141_3588230	2878	DTR	3	11	0.9955	NA	2	2.2106	MOBV	NA
k141_638417	1509	No terminal repeats	1	11	0.9955	NA	1	1.7183	MOBP1	NA
k141_1120381	24534	No terminal repeats	24	11	0.9955	NA	10	22.2392	I_traE;I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;I_traT;traU;I_traV;I_traW	NA
k141_110498	1512	No terminal repeats	2	11	0.9955	NA	1	3.2077	MOBQ	NA
k141_1238689	1460	No terminal repeats	3	11	0.9955	NA	2	3.0740	NA	NA
k141_87720	1519	No terminal repeats	4	11	0.9955	NA	2	5.5271	MOBQ	NA
k141_445	3188	DTR	4	11	0.9954	NA	1	5.1479	NA	NA
k141_20311	4827	No terminal repeats	5	11	0.9954	NA	1	3.9852	NA	NA
k141_2226181	3602	No terminal repeats	4	11	0.9954	NA	1	4.9260	MOBQ	NA
k141_2014344	6290	No terminal repeats	8	11	0.9954	NA	3	5.9939	MOBP1	NA
k141_554331	4059	No terminal repeats	4	11	0.9954	NA	0	3.7306	NA	NA
k141_1084422	3602	No terminal repeats	3	11	0.9954	NA	2	3.6008	NA	NA
k141_1939202	5959	No terminal repeats	8	11	0.9954	NA	2	6.9031	MOBQ	NA
k141_2117373	4227	No terminal repeats	4	11	0.9953	NA	3	5.9456	F_traG;F_traH	NA
