ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_76_38 # 37646 # 38218 # 1 # ID=324_38;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.496	k141_76	37646	38218	+	Strict	50	143.3	vanW gene in vanG cluster	43.04	3002965	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	67.62	gnl|BL_ORD_ID|4742|hsp_num:0	1622			123	597	vancomycin	
k141_76_495 # 487069 # 488211 # -1 # ID=324_495;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.431	k141_76	487069	488211	-	Strict	175	181.0	vanT gene in vanG cluster	31.75	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	53.37	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1029	2106	vancomycin	
k141_76_851 # 871094 # 872956 # -1 # ID=324_851;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.458	k141_76	871094	872956	-	Strict	50	107.1	vanW gene in vanI cluster	30.08	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	166.22	gnl|BL_ORD_ID|4747|hsp_num:0	2242			363	1116	vancomycin; teicoplanin	
k141_346_9 # 8191 # 9315 # 1 # ID=439_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.445	k141_346	8191	9315	+	Strict	175	194.9	vanT gene in vanG cluster	33.7	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.53	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1035	2106	vancomycin	
k141_810887_77 # 67516 # 68652 # 1 # ID=708_77;partial=00;start_type=ATG;rbs_motif=ATA;rbs_spacer=8bp;gc_cont=0.437	k141_810887	67516	68652	+	Strict	175	198.4	vanT gene in vanG cluster	32.51	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	53.09	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1029	2106	vancomycin	
k141_1443_183 # 170603 # 171523 # -1 # ID=1085_183;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.306	k141_1443	170603	171523	-	Strict	50	65.1	vanY gene in vanG cluster	34.04	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	109.68	gnl|BL_ORD_ID|4731|hsp_num:0	298			393	786	vancomycin	
k141_1667_10 # 7241 # 8941 # -1 # ID=1186_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.418	k141_1667	7241	8941	-	Strict	50	81.3	vanY gene in vanB cluster	31.03	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	211.19	gnl|BL_ORD_ID|603|hsp_num:0	556			210	792	vancomycin	
k141_2216_2 # 870 # 1748 # 1 # ID=1491_2;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=9bp;gc_cont=0.390	k141_2216	870	1748	+	Strict	50	75.9	vanY gene in vanM cluster	34.01	3002961	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	125.32	gnl|BL_ORD_ID|1674|hsp_num:0	1713			129	531	vancomycin; teicoplanin	
k141_4588_4 # 2126 # 3271 # 1 # ID=2713_4;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.505	k141_4588	2126	3271	+	Strict	175	235.3	vanT gene in vanG cluster	34.03	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	53.65	gnl|BL_ORD_ID|1523|hsp_num:0	1561			990	2118	vancomycin	
k141_816334_2 # 223 # 1338 # -1 # ID=3380_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.489	k141_816334	223	1338	-	Strict	175	183.0	vanT gene in vanG cluster	34.15	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	52.11	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1038	2106	vancomycin	
k141_6419_22 # 17182 # 18060 # 1 # ID=3584_22;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.358	k141_6419	17182	18060	+	Strict	50	74.3	vanY gene in vanA cluster	31.37	3002955	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	96.37	gnl|BL_ORD_ID|4668|hsp_num:0	89			279	696	vancomycin; teicoplanin	
k141_817082_3 # 1666 # 2991 # 1 # ID=3829_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379	k141_817082	1666	2991	+	Strict	50	147.1	vanW gene in vanI cluster	38.08	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	118.23	gnl|BL_ORD_ID|4747|hsp_num:0	2242			345	1047	vancomycin; teicoplanin	
k141_818650_5 # 2849 # 3754 # -1 # ID=4674_5;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.398	k141_818650	2849	3754	-	Strict	50	67.4	vanY gene in vanB cluster	27.04	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	112.31	gnl|BL_ORD_ID|603|hsp_num:0	556			207	768	vancomycin	
k141_9992_87 # 78582 # 79421 # -1 # ID=5346_87;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.511	k141_9992	78582	79421	-	Strict	500	528.1	OXA-9	93.43	3001404	protein homolog model	n/a	n/a	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	101.82	gnl|BL_ORD_ID|220|hsp_num:0	243			0	822	cloxacillin; oxacillin; cefalotin	
