seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_47882	4880	No terminal repeats	5	11	0.9965	NA	1	6.9742	MOBQ	NA
k141_314962	1921	No terminal repeats	2	11	0.9963	NA	2	3.4366	MOBP1	NA
k141_29071	1729	No terminal repeats	2	11	0.9961	NA	2	2.9571	MOBP1	NA
k141_124925	2363	No terminal repeats	3	11	0.9960	NA	2	4.5193	MOBP1	NA
k141_41697	3607	No terminal repeats	5	11	0.9960	NA	2	6.6443	MOBQ	NA
k141_189792	1080	No terminal repeats	2	11	0.9959	NA	2	3.2261	MOBQ	NA
k141_282301	1017	No terminal repeats	3	4	0.9959	NA	2	4.9444	MOBQ	NA
k141_14522	1257	No terminal repeats	2	11	0.9959	NA	2	2.9571	MOBP1	NA
k141_291150	2826	No terminal repeats	5	11	0.9958	NA	2	6.6443	MOBQ	NA
k141_24715	1725	No terminal repeats	1	11	0.9957	NA	1	1.7183	MOBP1	NA
k141_195440	1947	No terminal repeats	2	11	0.9957	NA	2	2.9571	MOBP1	NA
k141_329149	2557	DTR	4	11	0.9956	NA	1	3.7698	NA	NA
k141_140334	7998	No terminal repeats	12	11	0.9956	NA	0	15.4645	NA	NA
k141_298555	4003	No terminal repeats	7	11	0.9956	NA	0	6.0430	NA	NA
k141_32550	1507	No terminal repeats	2	11	0.9956	NA	2	3.2077	MOBQ	NA
k141_31233	1713	No terminal repeats	2	11	0.9956	NA	2	3.2261	MOBQ	NA
k141_82955	1782	No terminal repeats	2	11	0.9956	NA	2	2.5890	T_virB6	NA
k141_98832	2778	No terminal repeats	4	11	0.9956	NA	1	4.1134	NA	NA
k141_27853	4197	DTR	3	11	0.9955	NA	2	3.4366	MOBP1	NA
k141_308338	4998	No terminal repeats	5	11	0.9955	NA	0	6.8731	NA	NA
k141_35046	3304	No terminal repeats	4	11	0.9955	NA	0	3.8739	NA	NA
k141_303361	9260	No terminal repeats	13	11	0.9955	NA	0	16.6328	NA	NA
