set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
selected8	ERR1713362	k141_764836	k141_764836_4 # 3586 # 5241 # 1 # ID=300_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.606	ArnT	3005053	Strict	70.6	100.00	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	colistin A; colistin B	yes	plasmid_like	0.2541	0.6561	0.0899
selected8	ERR1713362	k141_546546	k141_546546_6 # 4500 # 6089 # 1 # ID=483_6;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=15bp;gc_cont=0.497	vanW gene in vanI cluster	3003724	Strict	29.83	141.82	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	chromosome_like	0.7387	0.2023	0.059
selected8	ERR1713362	k141_328541	k141_328541_3 # 753 # 1169 # -1 # ID=1235_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.528	nimD	3007106	Strict	58.91	84.15	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase	metronidazole	yes	chromosome_like	0.7781	0.182	0.0399
selected8	ERR1713362	k141_329075	k141_329075_2 # 318 # 1676 # -1 # ID=2049_2;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.486	vanW gene in vanI cluster	3003724	Strict	31.48	121.18	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	chromosome_like	0.9578	0.0301	0.0122
selected8	ERR1713362	k141_547713	k141_547713_1 # 325 # 1269 # -1 # ID=2302_1;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.406	vanH gene in vanO cluster	3002948	Strict	39.38	89.71	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	vancomycin	yes	virus_like	0.1587	0.2481	0.5933
selected8	ERR1713362	k141_329504	k141_329504_2 # 963 # 1787 # 1 # ID=2779_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.259	OXA-347	3001777	Perfect	100.0	100.00	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	yes	chromosome_like	0.5402	0.4211	0.0387
selected8	ERR1713362	k141_1983	k141_1983_6 # 5573 # 6655 # -1 # ID=3328_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.406	vanT gene in vanG cluster	3002972	Strict	32.43	50.56	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.9638	0.0258	0.0104
selected8	ERR1713362	k141_329876	k141_329876_60 # 54644 # 57784 # 1 # ID=3443_60;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.533	adeF	3000777	Strict	41.81	98.77	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	yes	chromosome_like	0.9063	0.0666	0.0271
selected8	ERR1713362	k141_438811	k141_438811_1 # 2 # 718 # 1 # ID=3532_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.517	aadA13	3002613	Strict	99.58	89.81	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	yes	plasmid_like	0.2796	0.4112	0.3092
selected8	ERR1713362	k141_657446	k141_657446_5 # 2597 # 4516 # 1 # ID=3562_5;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=5bp;gc_cont=0.332	tet(Q)	3000191	Strict	67.45	97.26	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	yes	plasmid_like	0.0108	0.9738	0.0154
