set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
pilot8	ERR1713334	k141_224	k141_224_2 # 511 # 828 # 1 # ID=431_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.274	qacJ	3007014	Strict	42.16	98.13	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.5207	0.4329	0.0464
pilot8	ERR1713334	k141_67031	k141_67031_22 # 18135 # 19295 # 1 # ID=1708_22;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.440	vanT gene in vanG cluster	3002972	Strict	38.11	54.21	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.9514	0.0324	0.0162
pilot8	ERR1713334	k141_67424	k141_67424_5 # 2928 # 4847 # -1 # ID=2297_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.415	tet(32)	3000196	Strict	99.22	100.00	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	yes	plasmid_like	0.0032	0.9888	0.008
pilot8	ERR1713334	k141_398025	k141_398025_3 # 2429 # 2938 # -1 # ID=2787_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.441	vanW gene in vanG cluster	3002965	Strict	31.97	60.14	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.5813	0.3448	0.0739
pilot8	ERR1713334	k141_332023	k141_332023_2 # 1031 # 2665 # -1 # ID=3071_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.537	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	3004446	Strict	54.39	89.18	cephalosporin; cephamycin; penam	antibiotic target alteration	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir	yes	chromosome_like	0.5569	0.2704	0.1727
pilot8	ERR1713334	k141_200854	k141_200854_1 # 109 # 993 # -1 # ID=4130_1;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.376	mphG	3003742	Strict	89.46	100.00	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	erythromycin; clarithromycin; azithromycin	yes	plasmid_like	0.2294	0.6192	0.1514
pilot8	ERR1713334	k141_134871	k141_134871_3 # 2260 # 3732 # 1 # ID=4517_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.482	vanW gene in vanI cluster	3003724	Strict	31.82	131.37	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	chromosome_like	0.9561	0.0316	0.0124
pilot8	ERR1713334	k141_400049	k141_400049_2 # 821 # 1477 # 1 # ID=5923_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.441	QnrS2	3002791	Strict	99.08	100.00	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)	ciprofloxacin; levofloxacin; moxifloxacin; gatifloxacin; nalidixic acid; norfloxacin; sparfloxacin	yes	plasmid_like	0.0095	0.9787	0.0118
pilot8	ERR1713334	k141_69720	k141_69720_2 # 484 # 810 # -1 # ID=5977_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.514	qacJ	3007014	Strict	43.4	100.93	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.9144	0.064	0.0215
pilot8	ERR1713334	k141_70134	k141_70134_2 # 483 # 1337 # -1 # ID=6614_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.601	vanT gene in vanG cluster	3002972	Strict	48.41	39.89	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.5672	0.3264	0.1064
pilot8	ERR1713334	k141_202363	k141_202363_5 # 2853 # 3185 # 1 # ID=6736_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.550	qacJ	3007014	Strict	40.95	102.80	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.001	0.9956	0.0034
pilot8	ERR1713334	k141_400594	k141_400594_3 # 851 # 1234 # -1 # ID=6741_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.456	marA	3000263	Strict	99.21	100.00	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan	yes	plasmid_like	0.3047	0.6055	0.0898
pilot8	ERR1713334	k141_400594	k141_400594_4 # 1255 # 1689 # -1 # ID=6741_4;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.483	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline	3003378	Strict	98.61	100.00	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan	yes	plasmid_like	0.3047	0.6055	0.0898
pilot8	ERR1713334	k141_268492	k141_268492_2 # 667 # 1002 # -1 # ID=6792_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.574	qacJ	3007014	Strict	44.76	103.74	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.597	0.2787	0.1243
pilot8	ERR1713334	k141_4251	k141_4251_1 # 167 # 1048 # 1 # ID=6803_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426	vanW gene in vanG cluster	3002965	Strict	31.97	104.27	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	yes	plasmid_like	0.092	0.758	0.15
pilot8	ERR1713334	k141_4304	k141_4304_2 # 430 # 843 # -1 # ID=6882_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.469	H-NS	3000676	Perfect	100.0	100.00	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin	yes	plasmid_like	0.3439	0.4763	0.1798
pilot8	ERR1713334	k141_400764	k141_400764_1 # 20 # 1048 # 1 # ID=7000_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.326	cfrC	3004146	Strict	94.44	99.42	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase	chloramphenicol; florfenicol	yes	plasmid_like	0.2307	0.5243	0.2449
pilot8	ERR1713334	k141_466659	k141_466659_3 # 490 # 1683 # -1 # ID=7275_3;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.350	mefJ	3007049	Strict	99.24	100.00	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump		yes	plasmid_like	0.0744	0.8831	0.0426
pilot8	ERR1713334	k141_71273	k141_71273_2 # 1635 # 2459 # 1 # ID=8467_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.459	OXA-333	3001521	Strict	99.64	100.00	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	yes	plasmid_like	0.0927	0.8783	0.029
pilot8	ERR1713334	k141_467569	k141_467569_1 # 336 # 668 # 1 # ID=8669_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414	qacG	3007015	Strict	43.81	102.80	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.5236	0.3853	0.0911
pilot8	ERR1713334	k141_137792	k141_137792_3 # 1859 # 3643 # -1 # ID=9232_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385	patB	3000025	Strict	67.68	101.02	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	ciprofloxacin; norfloxacin	yes	plasmid_like	0.108	0.8099	0.0821
pilot8	ERR1713334	k141_138453	k141_138453_5 # 2727 # 3092 # -1 # ID=10293_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.380	qacJ	3007014	Strict	44.34	113.08	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.0762	0.8829	0.0409
pilot8	ERR1713334	k141_204893	k141_204893_4 # 3603 # 4409 # 1 # ID=10538_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.662	vanY gene in vanM cluster	3002961	Strict	28.87	115.02	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	chromosome_like	0.8524	0.1143	0.0334
pilot8	ERR1713334	k141_138761	k141_138761_1 # 1 # 729 # -1 # ID=10752_1;partial=10;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394	vanY gene in vanG cluster	3002959	Strict	25.81	87.10	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.9021	0.0729	0.025
