seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_35511	7546	No terminal repeats	NA	10	15	0.9837	NA	3	16.9383	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_512370	6720	No terminal repeats	NA	6	11	0.9834	NA	3	10.0225	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_540404	5904	No terminal repeats	NA	11	11	0.9832	NA	0	18.8111	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_459324	7066	No terminal repeats	NA	11	11	0.9830	NA	3	14.0258	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_523535	9099	No terminal repeats	NA	10	11	0.9830	NA	3	14.7504	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_504807	5353	No terminal repeats	NA	5	11	0.9830	NA	3	8.3042	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46434	7781	No terminal repeats	NA	9	11	0.9829	NA	2	9.9517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_689801	3394	No terminal repeats	NA	5	11	0.9829	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_58280	12535	No terminal repeats	NA	12	11	0.9827	NA	2	14.4093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_703294	4821	No terminal repeats	NA	6	11	0.9827	NA	1	7.9723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_636950	1348	No terminal repeats	NA	3	15	0.9827	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_353340	2702	No terminal repeats	NA	4	15	0.9827	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_462752	3118	No terminal repeats	NA	5	11	0.9826	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_463757	3501	No terminal repeats	NA	6	11	0.9826	NA	0	8.8111	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_129148	7952	No terminal repeats	NA	15	11	0.9826	NA	0	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_265826	7992	No terminal repeats	NA	7	11	0.9826	NA	1	8.5905	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_556000	12661	No terminal repeats	NA	14	11	0.9825	NA	5	21.9909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_101938	9559	No terminal repeats	NA	10	11	0.9825	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae
k141_162451	1676	No terminal repeats	NA	3	11	0.9824	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_559181	6677	No terminal repeats	NA	13	11	0.9823	NA	10	18.8152	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_586463	3368	No terminal repeats	NA	5	11	0.9823	NA	1	6.8447	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_437505	4251	No terminal repeats	NA	8	11	0.9822	NA	4	10.4944	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_660139	5527	DTR	NA	8	11	0.9822	NA	2	12.0280	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_328525	6769	No terminal repeats	NA	18	11	0.9822	NA	0	25.7742	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_331932	4514	No terminal repeats	NA	7	15	0.9822	NA	2	10.2555	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_334406	19779	No terminal repeats	NA	28	11	0.9822	NA	8	30.2316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_519192	3016	No terminal repeats	NA	5	11	0.9821	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_279865	4122	No terminal repeats	NA	7	11	0.9821	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_208136	5270	No terminal repeats	NA	4	15	0.9821	NA	0	5.1006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_388075	3956	No terminal repeats	NA	8	11	0.9819	NA	3	13.1008	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_569841	10574	No terminal repeats	NA	13	11	0.9819	NA	2	16.7712	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_17710	5835	No terminal repeats	NA	4	15	0.9818	NA	0	4.9325	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_283425	6043	No terminal repeats	NA	3	15	0.9818	NA	0	4.9325	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_488192	3025	No terminal repeats	NA	4	11	0.9818	NA	0	6.7870	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_451524	2796	No terminal repeats	NA	3	11	0.9817	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_99338	3585	No terminal repeats	NA	4	11	0.9817	NA	0	6.8640	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_664896	1791	No terminal repeats	NA	3	11	0.9817	NA	1	5.1514	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_693630	5343	No terminal repeats	NA	3	11	0.9816	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_265268	4545	No terminal repeats	NA	7	11	0.9816	NA	4	9.8194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_582143	7507	No terminal repeats	NA	8	11	0.9815	NA	0	10.1012	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_234473	1418	No terminal repeats	NA	3	11	0.9815	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_159960	3429	No terminal repeats	NA	9	11	0.9814	NA	2	11.4310	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_190985	15795	No terminal repeats	NA	24	11	0.9813	NA	1	26.9969	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_685101	1391	No terminal repeats	NA	3	15	0.9813	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_223525	6843	No terminal repeats	NA	4	11	0.9812	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_493310	2785	No terminal repeats	NA	4	11	0.9811	NA	1	4.7246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_262301	2639	No terminal repeats	NA	4	11	0.9811	NA	4	6.8474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_302108	8032	No terminal repeats	NA	8	11	0.9810	NA	5	9.6257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_483481	2974	No terminal repeats	NA	3	15	0.9810	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_160689	2884	No terminal repeats	NA	4	15	0.9809	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_65580	2847	No terminal repeats	NA	5	15	0.9809	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_673541	2903	No terminal repeats	NA	7	11	0.9809	NA	3	10.0893	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_25503	8118	No terminal repeats	NA	11	11	0.9808	NA	3	14.4052	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_95264	17620	No terminal repeats	NA	23	11	0.9808	NA	0	32.1717	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_561863	3376	No terminal repeats	NA	8	11	0.9808	NA	0	9.1652	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_406980	7185	No terminal repeats	NA	8	11	0.9807	NA	5	12.8545	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_352000	1601	No terminal repeats	NA	3	11	0.9807	NA	2	4.8346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_470846	4281	No terminal repeats	NA	5	15	0.9806	NA	0	4.9727	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_728282	8619	No terminal repeats	NA	11	11	0.9806	NA	2	12.7704	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_587090	11602	No terminal repeats	NA	16	11	0.9806	NA	8	21.5799	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_306293	3751	No terminal repeats	NA	7	11	0.9806	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_188381	4641	No terminal repeats	NA	4	11	0.9805	NA	2	6.5607	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_667025	6863	No terminal repeats	NA	6	11	0.9804	NA	5	7.4992	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_35709	3153	No terminal repeats	NA	6	11	0.9804	NA	0	7.6709	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_19450	2310	No terminal repeats	NA	4	11	0.9804	NA	1	5.0105	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_103212	4385	No terminal repeats	NA	4	11	0.9802	NA	2	5.1431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_446845	4697	No terminal repeats	NA	6	11	0.9802	NA	2	9.8383	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_658706	8830	No terminal repeats	NA	4	15	0.9799	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_432560	2215	No terminal repeats	NA	3	11	0.9799	NA	1	4.9605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
