ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_1889287_2 # 577 # 1311 # 1 # ID=30_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.454	k141_1889287	577	1311	+	Strict	50	198.4	vanY gene in vanB cluster	41.94	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	91.04	gnl|BL_ORD_ID|603|hsp_num:0	556			48	792	vancomycin	
k141_3985_1 # 55 # 399 # 1 # ID=1218_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.336	k141_3985	55	399	+	Strict	75	100.1	qacG	48.08	3007015	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	106.54	gnl|BL_ORD_ID|4662|hsp_num:0	5731			6	318	benzalkonium chloride	
k141_1896011_2 # 213 # 1028 # -1 # ID=1756_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.598	k141_1896011	213	1028	-	Strict	175	230.7	vanT gene in vanG cluster	47.39	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	38.06	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1323	2127	vancomycin	
k141_1896045_1 # 2 # 376 # 1 # ID=1764_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.560	k141_1896045	2	376	+	Strict	50	106.3	vanY gene in vanG cluster	43.8	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	44.44	gnl|BL_ORD_ID|4731|hsp_num:0	298			492	822	vancomycin	
k141_1897200_2 # 360 # 1202 # 1 # ID=2110_2;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.480	k141_1897200	360	1202	+	Strict	50	72.0	vanY gene in vanM cluster	34.07	3002961	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	120.17	gnl|BL_ORD_ID|1674|hsp_num:0	1713			138	492	vancomycin; teicoplanin	
k141_8925_1 # 272 # 1123 # -1 # ID=2689_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.553	k141_8925	272	1123	-	Perfect	500	582.0	RSA-2	100.0	3004445	protein homolog model	n/a	n/a	carbapenem; cephalosporin	antibiotic inactivation	RSA beta-lactamase	100.00	gnl|BL_ORD_ID|2495|hsp_num:0	2885			0	849		
k141_12460_1 # 1 # 975 # 1 # ID=3581_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.461	k141_12460	1	975	+	Strict	175	179.5	vanT gene in vanG cluster	33.72	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	45.51	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1128	2127	vancomycin	
k141_16160_2 # 352 # 2220 # -1 # ID=4616_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.532	k141_16160	352	2220	-	Strict	50	89.7	vanW gene in vanI cluster	32.14	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	166.76	gnl|BL_ORD_ID|4747|hsp_num:0	2242			462	1002	vancomycin; teicoplanin	
k141_1906352_3 # 1026 # 3503 # 1 # ID=4753_3;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.505	k141_1906352	1026	3503	+	Strict	175	193.4	vanT gene in vanG cluster	34.96	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	115.87	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1038	2118	vancomycin	
k141_1909552_3 # 967 # 2151 # 1 # ID=5594_3;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.461	k141_1909552	967	2151	+	Strict	600	718.0	ICR-Mo	93.92	3004569	protein homolog model	n/a	n/a	peptide antibiotic	antibiotic target alteration	intrinsic colistin resistant phosphoethanolamine transferase	70.79	gnl|BL_ORD_ID|2715|hsp_num:0	3271			30	1170	colistin A; colistin B	
