set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
Kathmandu18	E_1-2	k141_317816	k141_317816_2 # 825 # 2114 # 1 # ID=861_2;partial=01;start_type=ATG;rbs_motif=ATA;rbs_spacer=4bp;gc_cont=0.459	vanW gene in vanI cluster	3003724	Strict	33.54	115.28	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_951793	k141_951793_72 # 75583 # 76701 # -1 # ID=1035_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.540	vanT gene in vanG cluster	3002972	Strict	30.89	52.25	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_952624	k141_952624_15 # 16189 # 16518 # -1 # ID=1929_15;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.527	qacG	3007015	Strict	47.17	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_636614	k141_636614_3 # 2615 # 5107 # 1 # ID=2557_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298	vanT gene in vanG cluster	3002972	Strict	34.22	116.57	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_953233	k141_953233_3 # 1898 # 2311 # 1 # ID=2617_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.466	H-NS	3000676	Perfect	100.0	100.0	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_319733	k141_319733_1 # 3 # 953 # -1 # ID=2976_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.467	vanT gene in vanG cluster	3002972	Strict	36.39	44.52	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_637508	k141_637508_2 # 685 # 1923 # 1 # ID=3492_2;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.787	vanY gene in vanB cluster	3002956	Strict	35.61	153.73	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_320593	k141_320593_55 # 33773 # 34867 # 1 # ID=3930_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.389	vanT gene in vanG cluster	3002972	Strict	35.44	51.12	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_954544	k141_954544_2 # 746 # 1537 # -1 # ID=4079_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.588	vanW gene in vanI cluster	3003724	Strict	35.79	70.51	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
Kathmandu18	E_1-2	k141_321015	k141_321015_2 # 1203 # 2165 # 1 # ID=4389_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=6bp;gc_cont=0.360	CfxA6	3003097	Strict	99.38	96.68	cephamycin	antibiotic inactivation	CfxA beta-lactamase		False	chromosome_like	1		
