seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_366584	4532	No terminal repeats	5	11	0.9966	NA	1	7.0816	MOBQ	NA
k141_224751	1789	No terminal repeats	2	11	0.9964	NA	2	3.0935	NA	NA
k141_31470	3381	No terminal repeats	3	11	0.9964	NA	1	4.0309	NA	NA
k141_109973	2112	No terminal repeats	2	11	0.9963	NA	2	3.4366	MOBP1	NA
k141_321886	3281	No terminal repeats	2	11	0.9963	NA	1	2.3745	NA	NA
k141_23473	1231	No terminal repeats	2	11	0.9963	NA	1	2.8385	NA	NA
k141_21192	2123	No terminal repeats	2	11	0.9962	NA	1	3.0875	NA	NA
k141_199491	1856	No terminal repeats	3	11	0.9962	NA	1	3.4291	F_traE	NA
k141_295584	2029	No terminal repeats	4	11	0.9962	NA	2	5.1266	NA	NA
k141_298972	1019	No terminal repeats	2	11	0.9962	NA	2	3.4366	NA	NA
k141_285667	1173	No terminal repeats	3	11	0.9961	NA	2	3.4600	MOBP1	NA
k141_11133	2233	No terminal repeats	3	11	0.9961	NA	1	3.7698	NA	NA
k141_344488	1616	No terminal repeats	2	11	0.9961	NA	2	2.1806	NA	NA
k141_37619	2486	No terminal repeats	3	11	0.9961	NA	1	3.7698	NA	NA
k141_291421	1390	No terminal repeats	3	11	0.9961	NA	1	3.8463	NA	NA
k141_355296	1709	No terminal repeats	2	11	0.9961	NA	2	3.4103	MOBQ	NA
k141_313596	3313	DTR	4	11	0.9960	NA	4	6.0664	MOBQ;MOBQ	NA
k141_293261	5043	No terminal repeats	7	11	0.9960	NA	1	8.3905	NA	NA
k141_338791	6563	No terminal repeats	9	11	0.9960	NA	3	9.6096	NA	NA
k141_262681	2445	No terminal repeats	2	11	0.9960	NA	1	3.2077	MOBQ	NA
k141_298442	1837	No terminal repeats	4	11	0.9960	NA	1	5.1266	NA	NA
k141_119678	1333	No terminal repeats	3	11	0.9960	NA	3	3.4202	MOBP1	NA
k141_294579	2231	No terminal repeats	5	11	0.9959	NA	3	5.1218	NA	NA
k141_229368	4137	No terminal repeats	7	11	0.9959	NA	0	9.9220	NA	NA
k141_318693	1299	No terminal repeats	2	11	0.9959	NA	2	2.8799	MOBP1	NA
k141_236304	2494	No terminal repeats	5	11	0.9959	NA	2	6.6443	MOBQ	NA
k141_42845	4191	No terminal repeats	5	11	0.9959	NA	2	5.7264	MOBQ	NA
