seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_375714	4354	No terminal repeats	5	11	0.9966	NA	2	6.1172	NA	NA
k141_1620420	4604	No terminal repeats	6	11	0.9965	NA	1	8.7999	MOBQ	NA
k141_2186973	2479	DTR	3	11	0.9964	NA	3	4.0502	NA	NA
k141_312546	6925	No terminal repeats	9	11	0.9964	NA	0	14.9145	NA	NA
k141_1762090	1324	No terminal repeats	2	11	0.9964	NA	2	3.4366	MOBP1	NA
k141_433457	2813	No terminal repeats	2	11	0.9963	NA	1	2.7441	NA	NA
k141_1102040	1150	No terminal repeats	2	11	0.9963	NA	2	3.4366	MOBP1	NA
k141_1387175	2283	No terminal repeats	4	11	0.9963	NA	4	6.3396	MOBP1	NA
k141_1715514	2043	No terminal repeats	2	11	0.9963	NA	1	2.8582	MOBV	NA
k141_1091187	2672	No terminal repeats	2	11	0.9963	NA	2	2.9571	MOBP1	NA
k141_102705	2248	No terminal repeats	2	11	0.9962	NA	2	3.4366	MOBP1	NA
k141_432233	2851	No terminal repeats	4	11	0.9962	NA	0	5.5922	NA	NA
k141_1465507	1373	No terminal repeats	2	11	0.9962	NA	2	3.4366	MOBP1	NA
k141_1214495	3035	No terminal repeats	4	11	0.9962	NA	2	4.7721	MOBP1	NA
k141_1389417	1910	No terminal repeats	2	11	0.9962	NA	2	3.1193	NA	NA
k141_1199735	2560	No terminal repeats	2	11	0.9961	NA	0	2.5681	NA	NA
k141_1186004	3639	No terminal repeats	6	11	0.9961	NA	6	8.7581	F_traK;F_traE;F_traL	NA
k141_23724	3994	No terminal repeats	7	11	0.9961	NA	2	10.0808	MOBQ	NA
k141_1414322	3985	No terminal repeats	6	11	0.9961	NA	3	4.7162	MOBP1	NA
k141_1017142	2574	No terminal repeats	2	11	0.9961	NA	1	2.6476	NA	NA
k141_259075	2199	No terminal repeats	3	11	0.9961	NA	1	3.3095	NA	NA
k141_108198	2598	No terminal repeats	2	11	0.9960	NA	1	3.2077	MOBQ	NA
k141_489667	1160	No terminal repeats	2	11	0.9960	NA	2	3.2261	MOBQ	NA
k141_1981885	1499	No terminal repeats	3	11	0.9960	NA	1	3.5176	NA	NA
k141_1316362	21118	No terminal repeats	22	11	0.9960	NA	10	22.0786	I_traI;I_traK;I_traL;I_traN;I_traO;I_traP;I_traQ;I_traR;I_traT;traU;I_traV;I_traW;I_traY	NA
k141_843877	4154	No terminal repeats	4	11	0.9959	NA	4	6.0664	MOBQ;MOBQ	NA
k141_1210368	1885	No terminal repeats	3	11	0.9959	NA	2	4.0398	MOBP1	NA
k141_980274	4480	No terminal repeats	7	11	0.9959	NA	0	10.3097	NA	NA
k141_1522105	2305	No terminal repeats	3	11	0.9959	NA	2	3.7499	MOBQ	NA
k141_681665	1180	No terminal repeats	1	11	0.9959	NA	1	1.7183	MOBP1	NA
k141_1836656	1353	No terminal repeats	1	11	0.9959	NA	1	1.7183	NA	NA
k141_1018866	3504	DTR	5	11	0.9959	NA	4	5.9811	NA	NA
k141_400181	1621	No terminal repeats	2	11	0.9958	NA	1	3.4296	NA	NA
k141_1798891	5105	No terminal repeats	4	11	0.9958	NA	3	5.1548	MOBP1;MOBP1	NA
k141_697773	1534	No terminal repeats	2	11	0.9958	NA	1	2.8673	NA	NA
k141_647151	1184	No terminal repeats	2	11	0.9958	NA	2	2.9571	MOBP1	NA
k141_1673499	1436	No terminal repeats	2	11	0.9958	NA	2	3.2077	MOBQ	NA
k141_1294304	3105	No terminal repeats	6	11	0.9958	NA	2	5.5104	NA	NA
k141_1492486	1299	No terminal repeats	2	11	0.9958	NA	2	3.4366	MOBP1	NA
k141_1464940	1318	No terminal repeats	4	11	0.9958	NA	1	4.0561	NA	NA
k141_551098	1798	No terminal repeats	2	11	0.9958	NA	1	2.4580	NA	NA
k141_516746	2428	No terminal repeats	4	11	0.9958	NA	1	4.9260	MOBQ	NA
k141_972716	1298	No terminal repeats	2	11	0.9957	NA	2	2.5758	NA	NA
k141_649479	3179	No terminal repeats	4	11	0.9957	NA	2	4.9260	MOBQ	NA
k141_2013621	3067	No terminal repeats	4	11	0.9957	NA	1	4.5990	NA	NA
k141_42663	1751	No terminal repeats	2	11	0.9957	NA	2	3.4366	MOBP1	NA
k141_666250	9599	No terminal repeats	14	11	0.9956	NA	11	16.0576	F_traW;virb4;F_traV;F_traK;F_traE;F_traL	NA
k141_148158	3548	No terminal repeats	5	11	0.9956	NA	0	5.4488	NA	NA
k141_15254	3591	No terminal repeats	4	11	0.9956	NA	2	5.1410	NA	NA
k141_244330	1184	No terminal repeats	1	11	0.9956	NA	1	1.7183	MOBV	NA
k141_343549	3745	No terminal repeats	4	11	0.9956	NA	2	4.8118	NA	NA
k141_712374	1269	No terminal repeats	2	11	0.9956	NA	2	2.9394	MOBQ	NA
k141_342526	3778	DTR	4	11	0.9956	NA	2	5.1548	NA	NA
k141_1580677	3807	No terminal repeats	5	11	0.9956	NA	2	5.8248	NA	NA
k141_2186366	4995	No terminal repeats	4	11	0.9955	NA	2	4.5193	MOBP1	NA
k141_179985	1373	No terminal repeats	2	11	0.9955	NA	2	3.4366	MOBP1	NA
k141_1129241	4208	No terminal repeats	4	11	0.9955	NA	0	4.5856	NA	NA
k141_7927	3051	No terminal repeats	4	11	0.9955	NA	0	3.5031	NA	NA
k141_1754868	1449	No terminal repeats	2	11	0.9955	NA	2	2.9571	MOBP1	NA
k141_1627934	2708	No terminal repeats	5	11	0.9955	NA	4	6.4592	F_traL	NA
k141_1383441	4275	No terminal repeats	4	11	0.9955	NA	1	5.1548	NA	NA
k141_655216	1434	No terminal repeats	2	11	0.9955	NA	2	3.4366	MOBP1	NA
k141_39451	5370	No terminal repeats	12	11	0.9955	NA	1	3.3116	NA	NA
k141_51293	1406	No terminal repeats	2	11	0.9955	NA	2	3.2077	MOBQ	NA
k141_1629356	4259	No terminal repeats	4	11	0.9955	NA	2	4.5193	MOBP1	NA
k141_449026	4405	No terminal repeats	7	11	0.9955	NA	5	8.8765	F_traN;F_traF;F_traH	NA
k141_2107272	1577	No terminal repeats	2	11	0.9954	NA	1	3.4302	NA	NA
k141_1145167	2496	No terminal repeats	4	11	0.9954	NA	1	4.1134	NA	NA
k141_1087039	5258	No terminal repeats	4	11	0.9954	NA	0	4.2478	NA	NA
k141_431854	3202	No terminal repeats	4	11	0.9954	NA	0	4.5668	NA	NA
k141_894565	2354	No terminal repeats	4	11	0.9954	NA	3	3.4202	MOBP1	NA
k141_94305	2145	No terminal repeats	4	11	0.9954	NA	2	4.9260	MOBQ	NA
k141_82473	1383	No terminal repeats	2	11	0.9954	NA	1	3.3991	MOBQ	NA
k141_1267549	6289	No terminal repeats	8	11	0.9954	NA	3	5.9939	MOBP1	NA
k141_1150819	1595	No terminal repeats	2	11	0.9954	NA	1	3.3991	MOBQ	NA
k141_1775591	3749	No terminal repeats	4	11	0.9954	NA	0	5.1548	NA	NA
k141_2172037	1521	No terminal repeats	1	11	0.9954	NA	1	1.7183	NA	NA
k141_309096	3600	No terminal repeats	4	11	0.9954	NA	0	3.8739	NA	NA
k141_1572677	3858	No terminal repeats	8	11	0.9954	NA	3	8.3817	NA	NA
k141_313652	9124	No terminal repeats	4	11	0.9954	NA	2	5.0576	MOBF	NA
k141_767943	2717	No terminal repeats	4	11	0.9954	NA	2	4.0398	MOBP1	NA
k141_71524	5219	No terminal repeats	6	11	0.9954	NA	1	5.2214	NA	NA
k141_661872	1084	No terminal repeats	2	11	0.9953	NA	2	2.9571	MOBP1	NA
k141_768000	1733	No terminal repeats	2	11	0.9953	NA	2	2.7057	NA	NA
k141_1509805	3957	No terminal repeats	5	11	0.9953	NA	2	3.8708	NA	NA
k141_253514	3382	No terminal repeats	4	11	0.9953	NA	1	3.6451	MOBQ	NA
k141_2101125	3021	No terminal repeats	3	11	0.9953	NA	2	2.2106	MOBV	NA
k141_820487	2450	No terminal repeats	3	11	0.9953	NA	1	3.4366	NA	NA
k141_1892177	3315	No terminal repeats	6	11	0.9953	NA	1	6.6443	MOBQ	NA
k141_496829	4666	No terminal repeats	6	11	0.9953	NA	2	4.1582	NA	NA
k141_394066	1841	No terminal repeats	2	11	0.9953	NA	2	3.4366	MOBP1	NA
k141_1111755	3433	No terminal repeats	4	11	0.9953	NA	1	4.4623	NA	NA
k141_1005464	2037	No terminal repeats	4	11	0.9953	NA	3	4.5029	MOBP1	NA
k141_84540	2549	No terminal repeats	3	11	0.9953	NA	1	3.4366	NA	NA
k141_367709	2575	No terminal repeats	3	11	0.9952	NA	0	3.4366	NA	NA
k141_806922	2375	No terminal repeats	3	11	0.9952	NA	2	4.6773	MOBQ	NA
k141_1917819	3816	No terminal repeats	3	11	0.9952	NA	2	2.3676	NA	NA
k141_2186881	2108	DTR	3	11	0.9952	NA	1	2.5929	NA	NA
k141_152673	1338	No terminal repeats	2	11	0.9952	NA	2	2.7641	MOBQ	NA
k141_63067	1268	No terminal repeats	2	11	0.9952	NA	2	3.2261	MOBQ	NA
k141_16532	5856	No terminal repeats	6	11	0.9952	NA	0	4.5318	NA	NA
k141_1224236	7149	DTR	9	11	0.9952	NA	1	8.3894	MOBQ	NA
k141_1379438	1290	No terminal repeats	2	11	0.9952	NA	2	2.9571	MOBP1	NA
k141_163556	4795	DTR	4	11	0.9951	NA	2	4.5193	MOBP1	NA
k141_188467	2114	No terminal repeats	3	11	0.9951	NA	2	2.9963	MOBP1	NA
k141_1503415	1400	No terminal repeats	2	11	0.9951	NA	1	3.2077	MOBQ	NA
k141_65220	1016	No terminal repeats	1	11	0.9951	NA	1	1.7183	NA	NA
k141_175671	1060	No terminal repeats	2	11	0.9951	NA	1	2.7899	NA	NA
k141_967022	7635	No terminal repeats	8	11	0.9951	NA	1	3.6451	MOBQ	NA
k141_1009791	2128	No terminal repeats	3	11	0.9951	NA	2	3.7951	NA	NA
k141_926602	2300	No terminal repeats	3	11	0.9951	NA	1	2.8010	NA	NA
k141_1100832	4350	No terminal repeats	6	11	0.9951	NA	2	5.3716	MOBQ	NA
k141_116372	3976	No terminal repeats	4	11	0.9951	NA	0	5.1548	NA	NA
k141_1610744	8210	No terminal repeats	11	11	0.9951	NA	0	15.4645	NA	NA
k141_1705850	1368	No terminal repeats	2	11	0.9951	NA	2	3.3988	MOBP1	NA
k141_1944146	6427	No terminal repeats	8	11	0.9951	NA	0	6.9650	NA	NA
k141_1204171	3965	No terminal repeats	4	11	0.9951	NA	2	4.4089	virb4;T_virB2	NA
k141_94127	4146	DTR	4	11	0.9951	NA	3	4.9444	MOBQ	NA
k141_158331	4425	No terminal repeats	7	11	0.9951	NA	2	6.6739	MOBQ	NA
k141_285299	4270	No terminal repeats	4	11	0.9951	NA	1	5.0287	NA	NA
k141_54069	2817	No terminal repeats	3	11	0.9950	NA	0	2.8010	NA	NA
k141_669272	2242	No terminal repeats	6	11	0.9950	NA	1	2.6577	NA	NA
k141_1290959	1607	No terminal repeats	2	11	0.9950	NA	2	2.9699	MOBP1	NA
k141_409621	5295	DTR	8	11	0.9950	NA	1	6.6722	NA	NA
k141_94245	3132	No terminal repeats	5	11	0.9950	NA	2	4.7146	MOBP1	NA
k141_1415969	8467	No terminal repeats	12	11	0.9950	NA	0	7.9074	NA	NA
k141_1148130	1293	No terminal repeats	1	11	0.9950	NA	1	1.7183	MOBP1	NA
k141_17014	1927	No terminal repeats	2	11	0.9950	NA	1	3.2077	MOBQ	NA
k141_1100924	2455	No terminal repeats	4	11	0.9950	NA	2	4.0398	MOBP1	NA
k141_1193685	7455	No terminal repeats	9	11	0.9949	NA	3	6.4113	MOBP1	NA
k141_1634330	2389	No terminal repeats	5	11	0.9949	NA	2	4.2267	NA	NA
k141_638929	2148	No terminal repeats	3	11	0.9949	NA	2	4.4475	T_virB5	NA
k141_56387	2795	No terminal repeats	3	11	0.9949	NA	0	3.4366	NA	NA
k141_2186694	4104	DTR	6	11	0.9949	NA	3	5.5253	MOBP1;MOBP1	NA
k141_413769	1578	No terminal repeats	2	11	0.9949	NA	2	2.9936	MOBP1	NA
k141_2021860	3891	No terminal repeats	6	11	0.9949	NA	0	6.8731	NA	NA
k141_1398221	4360	No terminal repeats	5	11	0.9949	NA	0	3.7306	NA	NA
k141_1279401	4663	No terminal repeats	8	11	0.9949	NA	2	5.3609	MOBV	NA
k141_201667	5603	No terminal repeats	8	11	0.9949	NA	2	5.0000	NA	NA
k141_188086	2973	No terminal repeats	3	11	0.9948	NA	2	3.1408	MOBP1	NA
k141_1104365	3088	No terminal repeats	5	11	0.9948	NA	2	4.9260	MOBQ	NA
k141_2183800	5893	No terminal repeats	7	11	0.9948	NA	1	2.4483	MOBB	NF000261
k141_1236855	2039	No terminal repeats	3	11	0.9948	NA	2	3.4103	MOBQ	NA
k141_374704	2845	No terminal repeats	5	11	0.9948	NA	1	3.5661	NA	NA
k141_1529734	1451	No terminal repeats	1	11	0.9948	NA	1	1.7183	MOBP1	NA
k141_133113	3711	No terminal repeats	5	11	0.9948	NA	1	3.3520	NA	NA
k141_1072062	5631	No terminal repeats	9	11	0.9948	NA	1	7.0397	NA	NA
k141_2186602	4790	DTR	5	11	0.9948	NA	2	3.9432	MOBP1	NA
k141_1480321	3359	No terminal repeats	4	11	0.9948	NA	0	4.2597	NA	NA
k141_1075628	2519	No terminal repeats	3	11	0.9948	NA	2	2.5758	NA	NA
k141_152585	3338	No terminal repeats	5	11	0.9948	NA	0	3.2549	NA	NA
k141_1146132	4087	No terminal repeats	3	11	0.9948	NA	1	2.3393	MOBQ	NA
k141_373943	2303	No terminal repeats	3	11	0.9948	NA	2	2.9290	MOBP1	NA
k141_1288954	2819	No terminal repeats	5	11	0.9948	NA	2	2.4394	NA	NA
k141_1615709	4088	No terminal repeats	4	11	0.9947	NA	0	3.4366	NA	NA
k141_2034171	2266	No terminal repeats	5	11	0.9947	NA	1	3.2265	NA	NA
k141_1231026	4222	No terminal repeats	6	11	0.9947	NA	1	5.1479	NA	NA
k141_638894	2148	No terminal repeats	3	11	0.9947	NA	1	3.4302	NA	NA
k141_752564	1425	No terminal repeats	3	11	0.9947	NA	2	3.4366	NA	NA
k141_461695	4564	No terminal repeats	5	11	0.9947	NA	2	4.6005	MOBP1	NA
k141_1475039	2945	No terminal repeats	6	11	0.9947	NA	0	5.1548	NA	NA
k141_1139066	3591	DTR	7	11	0.9947	NA	0	4.5461	NA	NA
k141_948865	3226	No terminal repeats	5	11	0.9947	NA	0	4.3453	NA	NA
k141_181163	4596	No terminal repeats	6	11	0.9947	NA	2	4.5193	MOBP1	NA
k141_895805	2052	No terminal repeats	3	11	0.9947	NA	1	3.1262	NA	NA
k141_1721546	15023	No terminal repeats	15	11	0.9947	NA	5	12.6488	virb4;F_traW;F_traU;F_trbC	NA
k141_1104534	3735	No terminal repeats	4	11	0.9947	NA	1	3.9170	MOBQ	NA
k141_1952747	2267	No terminal repeats	5	11	0.9947	NA	3	3.4202	MOBP1	NA
k141_507728	6370	No terminal repeats	9	11	0.9947	NA	1	4.3869	NA	NA
k141_849119	6131	No terminal repeats	9	11	0.9947	NA	1	8.9128	NA	NA
k141_1899919	4200	No terminal repeats	5	11	0.9946	NA	1	6.4597	NA	NA
k141_706621	1909	No terminal repeats	4	11	0.9946	NA	3	5.4496	T_virB5;T_virB10	NA
k141_1202540	5735	DTR	9	11	0.9946	NA	1	7.7751	NA	NA
k141_1410155	8921	No terminal repeats	13	11	0.9946	NA	0	7.7107	NA	NA
k141_1743362	2668	No terminal repeats	5	11	0.9946	NA	1	3.2880	NA	NA
k141_1501172	2269	No terminal repeats	3	11	0.9946	NA	2	2.9571	MOBP1	NA
k141_1353546	1002	No terminal repeats	2	11	0.9946	NA	1	3.2077	MOBQ	NA
k141_1452293	5306	DTR	6	11	0.9946	NA	1	3.7523	MOBQ	NA
k141_139218	4415	No terminal repeats	4	11	0.9946	NA	2	3.4103	MOBQ	NA
k141_82472	8460	No terminal repeats	12	11	0.9945	NA	1	6.7965	NA	NA
k141_1425285	1270	No terminal repeats	4	11	0.9945	NA	1	4.1134	NA	NA
k141_1982221	1354	No terminal repeats	4	11	0.9945	NA	3	6.4040	F_traF	NA
k141_389859	14013	No terminal repeats	5	11	0.9945	NA	0	5.1548	NA	NA
k141_272851	2776	No terminal repeats	5	11	0.9945	NA	0	5.1548	NA	NA
k141_1478695	8661	No terminal repeats	11	11	0.9945	NA	7	12.6542	virb4;F_traV;F_traB;F_traK;F_traE;F_traL	NA
