seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_2743498	6059	No terminal repeats	NA	7	11	0.9836	NA	3	11.1159	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1780917	5377	No terminal repeats	NA	9	11	0.9836	NA	2	14.4702	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1666683	6004	No terminal repeats	NA	9	11	0.9833	NA	3	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2015463	8377	No terminal repeats	NA	10	11	0.9833	NA	5	15.4542	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2527618	6413	No terminal repeats	NA	7	11	0.9833	NA	5	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1842194	26097	No terminal repeats	NA	27	11	0.9832	NA	8	36.9074	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_185563	3411	No terminal repeats	NA	3	15	0.9831	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_1743032	4968	No terminal repeats	NA	7	11	0.9831	NA	3	11.8030	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1332376	2708	No terminal repeats	NA	4	11	0.9830	NA	1	6.6332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2545692	11114	No terminal repeats	NA	11	11	0.9830	NA	2	14.4093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1254660	2664	No terminal repeats	NA	5	11	0.9829	NA	1	8.1763	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_2632693	4072	No terminal repeats	NA	6	11	0.9829	NA	3	9.6322	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2566857	9459	No terminal repeats	NA	13	11	0.9829	NA	6	20.3815	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_566190	12990	No terminal repeats	NA	10	11	0.9829	NA	6	14.9751	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1954192	4564	No terminal repeats	NA	6	15	0.9829	NA	0	10.2802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1300545	9079	No terminal repeats	NA	11	11	0.9829	NA	8	16.1489	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_284430	12210	No terminal repeats	NA	19	11	0.9829	NA	6	28.5825	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_342123	8382	No terminal repeats	NA	9	11	0.9828	NA	1	13.9768	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_6802	2261	No terminal repeats	NA	5	11	0.9828	NA	3	8.2724	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2220237	3889	No terminal repeats	NA	4	11	0.9828	NA	2	6.2958	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1968660	3457	No terminal repeats	NA	6	11	0.9828	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_1839205	11630	No terminal repeats	NA	5	11	0.9828	NA	3	7.5728	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_890854	4579	No terminal repeats	NA	6	15	0.9828	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1890426	3199	No terminal repeats	NA	6	11	0.9827	NA	2	9.3621	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1804681	4044	No terminal repeats	NA	7	11	0.9827	NA	0	10.2236	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2183647	6096	No terminal repeats	NA	5	11	0.9826	NA	0	6.3689	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1953499	3576	No terminal repeats	NA	7	11	0.9826	NA	1	11.3714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_2104115	3556	No terminal repeats	NA	4	11	0.9826	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_2199474	7354	No terminal repeats	NA	11	11	0.9826	NA	2	16.8542	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_28639	6688	No terminal repeats	NA	8	11	0.9826	NA	0	8.5886	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2084247	3219	No terminal repeats	NA	6	11	0.9826	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_2288035	4410	No terminal repeats	NA	8	11	0.9825	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1159457	7715	No terminal repeats	NA	8	11	0.9825	NA	1	9.6847	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_187676	6794	No terminal repeats	NA	9	11	0.9825	NA	5	13.0031	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2352880	2601	No terminal repeats	NA	3	11	0.9825	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Schitoviridae
k141_245963	3998	No terminal repeats	NA	9	11	0.9825	NA	2	12.4339	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_258175	6628	No terminal repeats	NA	7	11	0.9825	NA	3	10.8277	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2110557	2775	No terminal repeats	NA	5	11	0.9824	NA	1	8.2356	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1436039	6293	No terminal repeats	NA	8	11	0.9824	NA	0	10.7503	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2657890	4760	No terminal repeats	NA	8	11	0.9824	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2335364	3021	No terminal repeats	NA	7	11	0.9824	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_145261	4418	No terminal repeats	NA	7	11	0.9824	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1453095	6738	No terminal repeats	NA	15	11	0.9823	NA	0	22.3377	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
