seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_2202397	4532	No terminal repeats	5	11	0.9966	NA	1	7.0816	MOBQ	NA
k141_2142018	3112	No terminal repeats	3	11	0.9965	NA	1	4.0928	NA	NA
k141_106485	5876	No terminal repeats	2	11	0.9965	NA	2	3.4366	MOBF	NA
k141_3229835	3598	No terminal repeats	6	11	0.9965	NA	0	5.9764	NA	NA
k141_1171063	2617	No terminal repeats	4	11	0.9964	NA	4	5.9811	NA	NA
k141_2100853	2246	No terminal repeats	4	11	0.9964	NA	3	6.8207	NA	NA
k141_2932836	1476	No terminal repeats	2	11	0.9964	NA	2	3.4366	MOBP1	NA
k141_1760828	2134	No terminal repeats	2	11	0.9964	NA	1	3.4366	MOBV	NA
k141_101675	2912	No terminal repeats	2	11	0.9964	NA	2	3.4366	MOBP1	NA
k141_689956	2502	No terminal repeats	4	11	0.9964	NA	0	6.7411	NA	NA
k141_586338	2119	No terminal repeats	2	11	0.9964	NA	1	2.1639	NA	NA
k141_9261	1803	No terminal repeats	2	11	0.9963	NA	2	3.4366	MOBP1	NA
k141_2062109	3705	No terminal repeats	2	11	0.9963	NA	0	3.4366	NA	NA
k141_44789	2417	No terminal repeats	3	11	0.9963	NA	1	3.6451	MOBQ	NA
k141_2103228	2429	No terminal repeats	4	11	0.9963	NA	1	3.2020	NA	NA
k141_2102245	1824	No terminal repeats	3	11	0.9963	NA	3	3.4202	MOBP1	NA
k141_3396513	4641	DTR	5	11	0.9963	NA	3	6.6999	MOBP1	NA
k141_144615	2061	No terminal repeats	3	11	0.9963	NA	3	3.4202	MOBP1	NA
k141_1830547	1734	No terminal repeats	2	11	0.9963	NA	2	3.2077	MOBQ	NA
k141_152459	1800	No terminal repeats	2	11	0.9963	NA	2	3.4366	MOBP1	NA
k141_2864494	1304	No terminal repeats	3	11	0.9962	NA	3	3.7096	MOBP1	NA
k141_2299039	2813	No terminal repeats	3	11	0.9962	NA	1	3.6451	MOBQ	NA
k141_1763381	2681	No terminal repeats	2	11	0.9962	NA	2	2.9571	MOBP1	NA
k141_353078	5245	DTR	9	11	0.9962	NA	5	10.0899	MOBP1	NA
k141_133244	1761	No terminal repeats	2	11	0.9962	NA	2	2.7704	NA	NA
k141_2163467	3070	No terminal repeats	3	11	0.9962	NA	1	2.6739	NA	NA
k141_63261	2689	No terminal repeats	7	11	0.9962	NA	4	9.8406	F_traF	NA
k141_2606756	2827	No terminal repeats	5	11	0.9962	NA	0	8.5914	NA	NA
k141_2710449	2494	No terminal repeats	3	11	0.9962	NA	1	4.8058	NA	NA
k141_532088	3241	No terminal repeats	3	11	0.9962	NA	2	4.8591	MOBP1	NA
k141_2072867	1767	No terminal repeats	2	11	0.9962	NA	2	3.4302	MOBP1	NA
k141_523570	1026	No terminal repeats	2	11	0.9961	NA	2	3.2077	MOBQ	NA
k141_1574110	1552	No terminal repeats	1	11	0.9961	NA	1	1.7183	MOBV	NA
k141_1738872	1122	No terminal repeats	2	11	0.9961	NA	1	2.5681	NA	NA
k141_223167	2502	No terminal repeats	4	11	0.9961	NA	0	4.5672	NA	NA
k141_1927816	2414	No terminal repeats	2	11	0.9961	NA	2	2.6407	NA	NA
k141_2291426	3589	No terminal repeats	3	11	0.9961	NA	2	4.4089	virb4;T_virB2	NA
k141_43602	2482	No terminal repeats	4	11	0.9961	NA	2	4.8625	MOBP1	NA
k141_2470804	3762	No terminal repeats	6	11	0.9961	NA	6	8.5919	F_traV;F_traK;F_traE;F_traL	NA
k141_1810033	1719	No terminal repeats	2	11	0.9961	NA	2	2.5461	NA	NA
k141_2932052	1144	No terminal repeats	2	11	0.9961	NA	2	3.4366	MOBP1	NA
k141_1775293	2571	No terminal repeats	2	11	0.9961	NA	2	3.4366	MOBP1	NA
k141_1090497	1745	No terminal repeats	2	11	0.9961	NA	2	3.2077	MOBQ	NA
k141_1881746	2757	No terminal repeats	6	11	0.9960	NA	0	7.2079	NA	NA
k141_672686	1320	No terminal repeats	2	11	0.9960	NA	2	2.9571	MOBP1	NA
k141_1014271	1385	No terminal repeats	2	11	0.9960	NA	2	2.9571	MOBP1	NA
k141_200831	1862	No terminal repeats	2	11	0.9960	NA	2	3.2518	MOBQ	NA
k141_140757	1668	No terminal repeats	2	11	0.9960	NA	2	3.3991	MOBQ	NA
k141_2909631	2609	No terminal repeats	4	11	0.9960	NA	3	3.4640	NA	NA
k141_165764	1702	No terminal repeats	3	11	0.9960	NA	1	4.1134	NA	NA
