set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
Kathmandu18	RW_4	k141_803	k141_803_5 # 2831 # 3151 # 1 # ID=250_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.305	qacG	3007015	Strict	44.0	99.07	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
Kathmandu18	RW_4	k141_1019	k141_1019_21 # 21197 # 24358 # 1 # ID=336_21;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.373	adeF	3000777	Strict	42.76	99.43	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
Kathmandu18	RW_4	k141_1481	k141_1481_3 # 793 # 1656 # -1 # ID=486_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343	ESP-1	3003717	Strict	88.15	98.97	carbapenem	antibiotic inactivation	ESP beta-lactamase		False	chromosome_like	1		
Kathmandu18	RW_4	k141_1667177	k141_1667177_2 # 1077 # 2291 # 1 # ID=710_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.584	floR	3002705	Strict	99.5	100.0	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	chloramphenicol; florfenicol	True	plasmid_like		0.9434	
Kathmandu18	RW_4	k141_2509	k141_2509_3 # 511 # 1446 # -1 # ID=823_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.472	vanY gene in vanF cluster	3002958	Strict	32.39	106.14	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
Kathmandu18	RW_4	k141_2877	k141_2877_1 # 1 # 855 # 1 # ID=958_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.574	CTX-M-95	3001955	Strict	91.52	97.59	cephalosporin	antibiotic inactivation	CTX-M beta-lactamase		False	chromosome_like	1		
Kathmandu18	RW_4	k141_1668155	k141_1668155_2 # 515 # 751 # 1 # ID=1035_2;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.553	dfrB5	3004549	Perfect	100.0	100.0	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	trimethoprim	False	chromosome_like	1		
Kathmandu18	RW_4	k141_1668155	k141_1668155_3 # 881 # 1435 # 1 # ID=1035_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.578	AAC(6')-IIa	3002594	Perfect	100.0	100.0	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')	dibekacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin; gentamicin	False	chromosome_like	1		
Kathmandu18	RW_4	k141_5881	k141_5881_4 # 865 # 2628 # -1 # ID=2035_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.512	EreA	3000361	Strict	98.02	144.58	macrolide antibiotic	antibiotic inactivation	macrolide esterase	erythromycin; roxithromycin; clarithromycin	False	chromosome_like	1		
Kathmandu18	RW_4	k141_5881	k141_5881_5 # 2821 # 3444 # -1 # ID=2035_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.380	dfrA32	3004555	Strict	99.36	131.85	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	trimethoprim	False	chromosome_like	1		
