ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_23591_1 # 1 # 408 # 1 # ID=74_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.422	k141_23591	1	408	+	Strict	50	76.6	vanY gene in vanM cluster	33.85	3002961	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	57.94	gnl|BL_ORD_ID|1674|hsp_num:0	1713			219	552	vancomycin; teicoplanin	
k141_656_1 # 213 # 767 # 1 # ID=1160_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.479	k141_656	213	767	+	Strict	50	119.4	vanY gene in vanB cluster	40.0	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	68.66	gnl|BL_ORD_ID|603|hsp_num:0	556			315	792	vancomycin	
k141_16600_1 # 3 # 1106 # -1 # ID=1377_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.329	k141_16600	3	1106	-	Strict	175	188.3	vanT gene in vanG cluster	36.65	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	51.69	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1038	1977	vancomycin	
k141_16949_1 # 3 # 992 # -1 # ID=1963_1;partial=10;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.393	k141_16949	3	992	-	Strict	300	639.8	tet(O)	98.79	3000190	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	51.64	gnl|BL_ORD_ID|1954|hsp_num:0	2020			0	990	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_9132_5 # 4250 # 4987 # 1 # ID=2116_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.331	k141_9132	4250	4987	+	Strict	400	475.3	ErmB	97.96	3000375	protein homolog model	n/a	n/a	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	98.79	gnl|BL_ORD_ID|1425|hsp_num:0	1549			0	735	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	
k141_40753_2 # 150 # 1013 # 1 # ID=2388_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.531	k141_40753	150	1013	+	Perfect	550	565.8	GES-5	100.0	3002334	protein homolog model	n/a	n/a	carbapenem; cephalosporin; penam	antibiotic inactivation	GES beta-lactamase	100.00	gnl|BL_ORD_ID|1242|hsp_num:0	1353			0	861		
k141_17315_1 # 290 # 1174 # -1 # ID=2570_1;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.375	k141_17315	290	1174	-	Strict	500	539.3	mphG	89.8	3003742	protein homolog model	n/a	n/a	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	100.00	gnl|BL_ORD_ID|2042|hsp_num:0	2259			0	882	erythromycin; clarithromycin; azithromycin	
k141_40900_3 # 1404 # 2375 # -1 # ID=2571_3;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.495	k141_40900	1404	2375	-	Strict	200	201.8	vanH gene in vanM cluster	37.74	3002947	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	99.08	gnl|BL_ORD_ID|4744|hsp_num:0	1724			36	945	vancomycin; teicoplanin	
k141_9447_1 # 1 # 798 # 1 # ID=2582_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.538	k141_9447	1	798	+	Strict	450	527.7	aadA6	98.87	3002606	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	94.31	gnl|BL_ORD_ID|1852|hsp_num:0	2009			48	843	spectinomycin; streptomycin	
k141_1591_2 # 593 # 1177 # -1 # ID=2619_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.320	k141_1591	593	1177	-	Strict	50	118.6	vanW gene in vanG cluster	40.82	3002965	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	69.04	gnl|BL_ORD_ID|4742|hsp_num:0	1622			228	669	vancomycin	
