ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_797_1 # 290 # 619 # -1 # ID=335_1;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.297	k141_797	290	619	-	Strict	75	112.5	qacJ	50.94	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	101.87	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	318	benzalkonium chloride	
k141_970_1 # 1 # 3096 # 1 # ID=405_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.462	k141_970	1	3096	+	Strict	750	780.8	adeF	42.46	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.36	gnl|BL_ORD_ID|133|hsp_num:0	153			15	3132	tetracycline	
k141_1756_2 # 459 # 791 # 1 # ID=703_2;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.432	k141_1756	459	791	+	Strict	190	221.1	Escherichia coli emrE	98.18	3004039	protein homolog model	n/a	n/a	macrolide antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2318|hsp_num:0	2656			0	330	erythromycin	
k141_1713998_7 # 5368 # 7287 # -1 # ID=4778_7;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.356	k141_1713998	5368	7287	-	Strict	300	1231.5	tet(M)	96.56	3000186	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	gnl|BL_ORD_ID|1675|hsp_num:0	1692			0	1917	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_1715374_22 # 19800 # 21299 # 1 # ID=5270_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364	k141_1715374	19800	21299	+	Strict	50	89.7	vanY gene in vanB cluster	32.6	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	186.19	gnl|BL_ORD_ID|603|hsp_num:0	556			270	795	vancomycin	
k141_1716675_4 # 3472 # 5220 # 1 # ID=5760_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.568	k141_1716675	3472	5220	+	Strict	1000	1032.3	msbA	92.78	3003950	protein homolog model	n/a	n/a	nitroimidazole antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2186|hsp_num:0	2423			0	1746	metronidazole	
k141_17318_4 # 1710 # 2480 # -1 # ID=6486_4;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.319	k141_17318	1710	2480	-	Strict	400	478.0	LnuH	92.97	3004600	protein homolog model	n/a	n/a	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	98.46	gnl|BL_ORD_ID|4923|hsp_num:0	5916			0	768		
k141_18904_2 # 351 # 1058 # 1 # ID=7046_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.349	k141_18904	351	1058	+	Strict	50	102.8	vanY gene in vanG cluster	38.8	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	84.23	gnl|BL_ORD_ID|4731|hsp_num:0	298			306	813	vancomycin	
k141_18904_4 # 2291 # 3226 # -1 # ID=7046_4;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=11bp;gc_cont=0.358	k141_18904	2291	3226	-	Strict	50	100.9	vanY gene in vanG cluster	31.25	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	111.47	gnl|BL_ORD_ID|4731|hsp_num:0	298			15	813	vancomycin	
k141_22095_2 # 2474 # 3469 # -1 # ID=8168_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.586	k141_22095	2474	3469	-	Strict	200	256.5	vanH gene in vanO cluster	41.53	3002948	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	94.57	gnl|BL_ORD_ID|762|hsp_num:0	786			123	1044	vancomycin	
