set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
Kathmandu18	RW_2	k141_1794828	k141_1794828_3 # 692 # 1021 # 1 # ID=17_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.548	qacG	3007015	Strict	38.61	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
Kathmandu18	RW_2	k141_799	k141_799_1 # 424 # 2343 # 1 # ID=245_1;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=4bp;gc_cont=0.406	tet(O)	3000190	Strict	98.9	100.0	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
Kathmandu18	RW_2	k141_1798212	k141_1798212_3 # 687 # 1979 # -1 # ID=898_3;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.337	vanY gene in vanM cluster	3002961	Strict	40.69	184.55	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
Kathmandu18	RW_2	k141_5258	k141_5258_4 # 2997 # 4016 # 1 # ID=1670_4;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=11bp;gc_cont=0.387	vanH gene in vanF cluster	3002945	Strict	40.21	105.28	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
Kathmandu18	RW_2	k141_1804187	k141_1804187_3 # 773 # 1105 # 1 # ID=2575_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.634	qacG	3007015	Strict	39.42	102.8	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
Kathmandu18	RW_2	k141_1808174	k141_1808174_2 # 640 # 972 # -1 # ID=3664_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.628	qacJ	3007014	Strict	43.27	102.8	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
Kathmandu18	RW_2	k141_11487	k141_11487_3 # 1364 # 4186 # 1 # ID=3672_3;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.294	adeF	3000777	Strict	45.43	88.86	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
Kathmandu18	RW_2	k141_1809155	k141_1809155_1 # 66 # 1058 # 1 # ID=3887_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.651	vanH gene in vanF cluster	3002945	Strict	38.22	102.48	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
Kathmandu18	RW_2	k141_12714	k141_12714_1 # 193 # 687 # -1 # ID=3990_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.335	lnuC	3002837	Strict	98.17	100.0	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	lincomycin	False	chromosome_like	1		
Kathmandu18	RW_2	k141_1811648	k141_1811648_1 # 375 # 1031 # 1 # ID=4557_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382	QnrVC4	3002801	Perfect	100.0	100.0	fluoroquinolone antibiotic	antibiotic target protection	quinolone resistance protein (qnr)	ciprofloxacin; levofloxacin; moxifloxacin; gatifloxacin; nalidixic acid; norfloxacin; sparfloxacin	False	chromosome_like	1		
