set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_679	k141_679_3 # 1003 # 1800 # -1 # ID=1012_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.416	OXA-296	3001751	Strict	98.87	93.31	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_722013	k141_722013_1 # 66 # 398 # -1 # ID=1134_1;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.646	qacG	3007015	Strict	36.54	102.8	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_3309	k141_3309_5 # 3844 # 6288 # 1 # ID=4328_5;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=3bp;gc_cont=0.333	vanT gene in vanG cluster	3002972	Strict	33.96	114.33	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_4751	k141_4751_2 # 639 # 983 # 1 # ID=6262_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.328	qacG	3007015	Strict	49.04	106.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_547183	k141_547183_2 # 1004 # 1324 # 1 # ID=7899_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.601	qacJ	3007014	Strict	34.31	99.07	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_6483	k141_6483_7 # 4683 # 7124 # -1 # ID=8692_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.372	vanT gene in vanG cluster	3002972	Strict	34.33	114.19	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_186391	k141_186391_2 # 648 # 3089 # 1 # ID=11098_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329	vanT gene in vanG cluster	3002972	Strict	31.83	114.19	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_9571	k141_9571_8 # 7521 # 9986 # 1 # ID=13063_8;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.435	vanT gene in vanG cluster	3002972	Strict	36.93	115.31	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_9970	k141_9970_3 # 1141 # 3060 # 1 # ID=13541_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531	tet(W)	3000194	Perfect	100.0	100.0	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1091279	k141_1091279_8 # 12384 # 12731 # -1 # ID=13709_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.635	qacG	3007015	Strict	40.38	107.48	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_912909	k141_912909_1 # 3 # 1397 # 1 # ID=15088_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.338	vanT gene in vanG cluster	3002972	Strict	36.07	65.17	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_188561	k141_188561_9 # 4226 # 5917 # 1 # ID=15174_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.464	ICR-Mo	3004569	Strict	96.09	100.9	peptide antibiotic	antibiotic target alteration	intrinsic colistin resistant phosphoethanolamine transferase	colistin A; colistin B	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_913296	k141_913296_2 # 1139 # 2248 # -1 # ID=15628_2;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=6bp;gc_cont=0.391	vanG	3002909	Strict	39.71	105.73	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_11542	k141_11542_2 # 832 # 3987 # 1 # ID=15659_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613	adeF	3000777	Strict	43.67	99.24	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_914012	k141_914012_3 # 2927 # 3766 # -1 # ID=16535_3;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.335	vanW gene in vanG cluster	3002965	Strict	28.63	99.29	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_13317	k141_13317_7 # 6433 # 6777 # -1 # ID=18194_7;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.409	qacG	3007015	Strict	47.12	106.54	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_555861	k141_555861_2 # 474 # 1259 # 1 # ID=18793_2;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.515	aadA13	3002613	Strict	99.62	98.49	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1277432	k141_1277432_2 # 937 # 1203 # 1 # ID=20126_2;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.663	FosI	3007370	Strict	70.11	65.67	phosphonic acid antibiotic	antibiotic inactivation	fosfomycin thiol transferase	fosfomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_917129	k141_917129_2 # 778 # 2367 # -1 # ID=20804_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.392	vanT gene in vanG cluster	3002972	Strict	33.42	74.3	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_15213	k141_15213_3 # 726 # 1985 # -1 # ID=20970_3;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.554	cmlA5	3002695	Perfect	100.0	100.0	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	chloramphenicol	True	plasmid_like		0.9907	
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_15213	k141_15213_5 # 2915 # 3367 # -1 # ID=20970_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.442	arr-8	3002853	Strict	98.67	100.0	rifamycin antibiotic	antibiotic inactivation	rifampin ADP-ribosyltransferase (Arr)	rifampin; rifaximin; rifabutin; rifapentine	True	plasmid_like		0.9907	
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_917580	k141_917580_7 # 4895 # 7336 # -1 # ID=21326_7;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=12bp;gc_cont=0.341	vanT gene in vanG cluster	3002972	Strict	32.36	114.19	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1278431	k141_1278431_3 # 853 # 2019 # 1 # ID=21331_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374	tet(X)	3000205	Strict	99.48	100.0	glycylcycline; tetracycline antibiotic	antibiotic inactivation	tetracycline inactivation enzyme	tigecycline; tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	True	plasmid_like		0.7055	
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1278431	k141_1278431_4 # 2232 # 3032 # -1 # ID=21331_4;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.341	ErmF	3000498	Strict	99.62	100.0	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	True	plasmid_like		0.7055	
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_373717	k141_373717_2 # 2477 # 3664 # 1 # ID=22722_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.679	vanT gene in vanG cluster	3002972	Strict	32.05	55.48	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_739066	k141_739066_1 # 3 # 938 # 1 # ID=22874_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.677	vanW gene in vanI cluster	3003724	Strict	35.14	83.38	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_374039	k141_374039_2 # 1457 # 2227 # 1 # ID=23233_2;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=9bp;gc_cont=0.339	LnuH	3004600	Strict	83.2	98.46	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)		False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1098590	k141_1098590_1 # 74 # 406 # -1 # ID=23607_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643	qacG	3007015	Strict	42.31	102.8	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1098962	k141_1098962_1 # 453 # 1370 # -1 # ID=24111_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.537	aadA10	3004692	Strict	100.0	110.11	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1099546	k141_1099546_2 # 416 # 1888 # 1 # ID=24930_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.485	vanW gene in vanI cluster	3003724	Strict	34.51	131.37	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_560924	k141_560924_1 # 114 # 1265 # -1 # ID=25074_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.695	vanT gene in vanG cluster	3002972	Strict	33.51	53.79	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_1282359	k141_1282359_2 # 2127 # 2819 # -1 # ID=26483_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=7bp;gc_cont=0.310	vanW gene in vanG cluster	3002965	Strict	37.02	81.85	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713367	k141_562070	k141_562070_2 # 596 # 1408 # 1 # ID=26575_2;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=9bp;gc_cont=0.369	vanY gene in vanB cluster	3002956	Strict	28.19	100.75	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
