sample_id	aro_id	card_hit_name	diamond_read_hits	mean_pident	mean_bitscore	max_bitscore
RW_6	ARO:3000005	vanD	4295	52.166915	48.251804	77.000000
RW_6	ARO:3000010	vanA	2754	51.287146	48.682426	103.000000
RW_6	ARO:3000013	vanB	1581	52.140797	49.191335	84.000000
RW_6	ARO:3000024	patA	37659	46.486779	46.644502	95.500000
RW_6	ARO:3000025	patB	42850	49.724581	50.133102	96.700000
RW_6	ARO:3000026	mepA	868	44.547350	41.887327	63.200000
RW_6	ARO:3000027	emrA	6877	57.824822	57.527774	105.000000
RW_6	ARO:3000074	emrB	10200	60.016922	62.116118	115.000000
RW_6	ARO:3000090	Bla1	202	53.214851	57.559901	76.600000
RW_6	ARO:3000118	vgaB	42126	44.888344	45.571808	79.300000
RW_6	ARO:3000124	mecI	27	45.770370	44.751852	102.000000
RW_6	ARO:3000149	FosA	122	68.591803	68.587705	88.200000
RW_6	ARO:3000165	tet(A)	11063	63.001889	61.333137	108.000000
RW_6	ARO:3000166	tet(B)	7906	55.675689	55.357754	107.000000
RW_6	ARO:3000167	tet(C)	9726	64.850329	62.882984	107.000000
RW_6	ARO:3000168	tet(D)	5007	55.868105	53.236409	91.300000
RW_6	ARO:3000172	FosB	40	49.460000	42.140000	66.200000
RW_6	ARO:3000173	tet(E)	7710	57.353852	55.954332	112.000000
RW_6	ARO:3000174	tet(G)	8613	56.678184	56.084338	106.000000
RW_6	ARO:3000175	tet(H)	5125	57.542088	56.445132	107.000000
RW_6	ARO:3000177	tet(J)	5089	58.357772	55.835056	94.700000
RW_6	ARO:3000178	tet(K)	49	63.197959	63.457143	90.100000
RW_6	ARO:3000179	tet(L)	66	82.404545	78.418182	108.000000
RW_6	ARO:3000180	tetA(P)	898	72.933519	71.669376	103.000000
RW_6	ARO:3000181	tet(V)	201	56.717910	55.881592	84.700000
RW_6	ARO:3000182	tet(Y)	7613	54.712741	54.376711	102.000000
RW_6	ARO:3000183	tet(Z)	3618	59.182532	55.466031	102.000000
RW_6	ARO:3000186	tet(M)	26117	60.895532	58.474446	115.000000
RW_6	ARO:3000190	tet(O)	27926	61.591520	59.684190	114.000000
RW_6	ARO:3000191	tet(Q)	27800	63.079158	62.615511	114.000000
RW_6	ARO:3000192	tet(S)	24743	58.823825	56.927580	112.000000
RW_6	ARO:3000193	tet(T)	29847	54.757959	53.576088	109.000000
RW_6	ARO:3000194	tet(W)	26243	61.115795	57.922802	113.000000
RW_6	ARO:3000195	tetB(P)	28452	55.053146	51.274895	107.000000
RW_6	ARO:3000196	tet(32)	28445	58.879406	57.085319	112.000000
RW_6	ARO:3000197	tet(36)	30141	56.914747	55.042172	109.000000
RW_6	ARO:3000198	FosX	192	61.930729	60.540625	85.900000
RW_6	ARO:3000205	tet(X)	1751	84.485266	79.570074	112.000000
RW_6	ARO:3000206	emrK	6190	55.833441	57.635816	105.000000
RW_6	ARO:3000215	mecR1	504	48.723214	49.111905	72.400000
RW_6	ARO:3000216	acrB	105369	60.005528	57.784616	112.000000
RW_6	ARO:3000217	blaR1	779	51.439538	51.783569	73.600000
RW_6	ARO:3000230	ANT(2'')-Ia	485	99.440825	96.045773	117.000000
RW_6	ARO:3000237	TolC	1786	65.434826	62.389250	103.000000
RW_6	ARO:3000245	RbpA	126	65.039683	51.196825	105.000000
RW_6	ARO:3000250	ErmC	2205	58.938005	58.928481	102.000000
RW_6	ARO:3000251	msrA	20334	48.081774	45.945982	73.200000
RW_6	ARO:3000254	emrY	8928	56.085293	58.163004	115.000000
RW_6	ARO:3000263	marA	262	69.420992	67.422519	108.000000
RW_6	ARO:3000300	lsaA	10677	45.618573	42.775611	98.600000
RW_6	ARO:3000316	mphA	5758	70.183918	73.429194	115.000000
RW_6	ARO:3000318	mphB	331	46.541088	55.283384	70.100000
RW_6	ARO:3000319	mphC	152	44.473684	51.243421	69.700000
RW_6	ARO:3000326	ErmE	541	47.796488	46.261738	53.500000
RW_6	ARO:3000343	tap	18	62.244444	58.550000	94.400000
RW_6	ARO:3000347	ErmA	1726	60.044902	57.447103	93.200000
RW_6	ARO:3000361	EreA	608	80.170888	76.708224	108.000000
RW_6	ARO:3000363	EreB	1700	78.032235	80.253235	114.000000
RW_6	ARO:3000368	vanC	3685	55.292510	48.824912	79.700000
RW_6	ARO:3000375	ErmB	3445	95.130885	87.312946	111.000000
RW_6	ARO:3000377	MexA	10238	56.919291	53.819564	92.800000
RW_6	ARO:3000378	MexB	104150	59.817259	57.535144	97.800000
RW_6	ARO:3000379	OprM	13739	57.712999	51.675486	90.100000
RW_6	ARO:3000380	FosC	1	31.300000	37.700000	37.700000
RW_6	ARO:3000391	norA	53	47.654717	46.226415	67.000000
RW_6	ARO:3000392	Erm(37)	10	45.580000	42.780000	58.900000
RW_6	ARO:3000410	sul1	3298	91.336537	83.829442	110.000000
RW_6	ARO:3000412	sul2	4077	64.165808	59.244739	104.000000
RW_6	ARO:3000413	sul3	3807	50.362254	48.626740	105.000000
RW_6	ARO:3000421	norB	825	59.122667	57.637212	88.200000
RW_6	ARO:3000444	rphA	4263	57.732653	51.061999	86.300000
RW_6	ARO:3000448	QepA1	856	46.407477	46.146145	88.200000
RW_6	ARO:3000462	mgtA	42	51.485714	49.664286	84.300000
RW_6	ARO:3000463	gimA	38	53.247368	50.994737	81.300000
RW_6	ARO:3000467	NDM-5	54	99.301852	90.662963	111.000000
RW_6	ARO:3000476	tet(31)	6461	55.312134	55.452190	111.000000
RW_6	ARO:3000478	tet(33)	5110	59.869139	58.002329	103.000000
RW_6	ARO:3000481	tet(35)	2674	60.190838	53.860957	99.800000
RW_6	ARO:3000491	acrD	99179	58.698196	57.263344	111.000000
RW_6	ARO:3000495	ErmD	1207	48.053770	44.691964	52.800000
RW_6	ARO:3000498	ErmF	5779	92.022530	87.593649	107.000000
RW_6	ARO:3000499	AcrE	12087	54.948622	53.294796	106.000000
RW_6	ARO:3000501	rpoB2	107111	65.520057	67.981279	109.000000
RW_6	ARO:3000502	AcrF	110766	58.768490	56.472901	110.000000
RW_6	ARO:3000504	golS	2238	56.804111	56.633467	90.500000
RW_6	ARO:3000508	gadX	333	73.316817	69.869069	107.000000
RW_6	ARO:3000510	Saur_mupB_MUP	22650	53.543837	54.515558	92.000000
RW_6	ARO:3000516	emrR	195	86.688718	81.345641	112.000000
RW_6	ARO:3000518	CRP	3666	67.333224	69.110693	107.000000
RW_6	ARO:3000521	Saur_mupA_MUP	23767	53.009345	54.417486	111.000000
RW_6	ARO:3000522	ErmG	1321	63.465859	63.304012	109.000000
RW_6	ARO:3000526	cmeR	47	47.102128	42.453191	105.000000
RW_6	ARO:3000533	macA	3886	54.867190	51.384972	82.400000
RW_6	ARO:3000535	macB	34661	57.572341	53.893165	94.400000
RW_6	ARO:3000549	adeS	2486	47.895294	47.621842	100.000000
RW_6	ARO:3000553	adeR	33736	47.697042	46.806047	100.000000
RW_6	ARO:3000556	tet(44)	21424	60.722942	58.432174	112.000000
RW_6	ARO:3000559	adeN	1610	66.425839	69.112919	103.000000
RW_6	ARO:3000561	tet(30)	8923	57.546834	58.168699	77.800000
RW_6	ARO:3000565	tet(38)	38	55.300000	53.763158	67.800000
RW_6	ARO:3000566	tet(39)	16000	92.156738	86.953000	108.000000
RW_6	ARO:3000567	tet(40)	944	87.081462	82.861335	109.000000
RW_6	ARO:3000569	tet(41)	13415	65.874461	67.297123	90.100000
RW_6	ARO:3000572	tet(42)	3723	51.836825	47.584421	85.900000
RW_6	ARO:3000573	tet(43)	180	54.907778	50.332778	88.200000
RW_6	ARO:3000578	CcrA	170	58.878824	65.645294	109.000000
RW_6	ARO:3000579	Cmen_BlaB	11	48.145455	52.890909	77.000000
RW_6	ARO:3000582	L1_BLA	30	45.833333	46.680000	78.200000
RW_6	ARO:3000589	NDM-1	74	98.625676	93.624324	111.000000
RW_6	ARO:3000590	NDM-2	60	98.338333	93.225000	110.000000
RW_6	ARO:3000592	ErmN	19	41.557895	40.063158	44.300000
RW_6	ARO:3000593	ErmQ	785	47.595159	48.596688	110.000000
RW_6	ARO:3000594	ErmR	138	48.652174	44.442029	56.600000
RW_6	ARO:3000595	ErmT	1994	64.389519	62.701655	106.000000
RW_6	ARO:3000596	ErmX	612	79.314052	73.280392	110.000000
RW_6	ARO:3000598	Erm(31)	359	57.112535	56.099164	87.400000
RW_6	ARO:3000599	Erm(33)	1703	61.420376	61.136348	104.000000
RW_6	ARO:3000600	Erm(34)	148	43.614865	41.993243	52.400000
RW_6	ARO:3000601	Erm(38)	240	62.995417	62.875000	98.200000
RW_6	ARO:3000602	Erm(39)	306	59.912745	61.247059	98.200000
RW_6	ARO:3000603	Erm(41)	7	38.285714	37.657143	37.700000
RW_6	ARO:3000604	Erm(35)	5654	73.614892	71.751273	95.500000
RW_6	ARO:3000605	Erm(36)	378	58.253704	58.491799	107.000000
RW_6	ARO:3000606	FEZ-1	41	47.317073	47.278049	71.200000
RW_6	ARO:3000614	mef(E)	72	67.663889	66.772222	94.700000
RW_6	ARO:3000616	mel	5619	82.564157	78.457786	103.000000
RW_6	ARO:3000617	mecA	1828	44.991740	43.943654	65.500000
RW_6	ARO:3000620	adeL	5322	50.688782	48.710673	111.000000
RW_6	ARO:3000621	PC1_blaZ	26	51.926923	50.965385	86.700000
RW_6	ARO:3000656	AcrS	1352	62.021302	55.434837	109.000000
RW_6	ARO:3000676	H-NS	710	66.778592	54.218028	104.000000
RW_6	ARO:3000753	abeM	9102	69.607910	67.930235	106.000000
RW_6	ARO:3000768	abeS	6138	56.831867	54.922613	83.600000
RW_6	ARO:3000774	adeA	4967	51.533078	48.567204	98.600000
RW_6	ARO:3000775	adeB	78372	56.257840	53.860269	107.000000
RW_6	ARO:3000777	adeF	75370	54.173788	51.099659	103.000000
RW_6	ARO:3000778	adeG	4659	50.111397	46.387766	99.800000
RW_6	ARO:3000779	adeH	5195	54.770125	47.219038	96.700000
RW_6	ARO:3000780	adeI	12069	65.833076	62.960676	97.800000
RW_6	ARO:3000781	adeJ	106914	61.658432	59.688292	111.000000
RW_6	ARO:3000782	adeK	18853	64.999279	61.232329	102.000000
RW_6	ARO:3000783	cmeA	596	48.468121	44.078188	94.700000
RW_6	ARO:3000784	cmeB	79507	55.010307	52.393214	94.700000
RW_6	ARO:3000785	cmeC	922	47.835792	42.879935	58.500000
RW_6	ARO:3000789	mdsA	1682	49.462307	45.455767	88.200000
RW_6	ARO:3000790	mdsB	76613	53.200831	50.736643	98.600000
RW_6	ARO:3000791	mdsC	9457	56.702770	51.038638	84.700000
RW_6	ARO:3000792	mdtA	2931	55.220539	53.765268	105.000000
RW_6	ARO:3000793	mdtB	44579	57.672821	53.773559	105.000000
RW_6	ARO:3000794	mdtC	39823	58.184152	54.957263	108.000000
RW_6	ARO:3000795	mdtE	6658	54.282893	52.372664	107.000000
RW_6	ARO:3000796	mdtF	104648	58.601667	56.210053	112.000000
RW_6	ARO:3000800	MexC	5315	58.306435	52.735409	89.000000
RW_6	ARO:3000801	MexD	86563	55.878550	53.870813	97.800000
RW_6	ARO:3000802	OprJ	14507	55.859985	51.008155	91.300000
RW_6	ARO:3000803	MexE	2791	49.450484	45.477427	95.500000
RW_6	ARO:3000804	MexF	79152	54.083504	51.010875	103.000000
RW_6	ARO:3000805	OprN	1182	54.807107	46.284941	89.700000
RW_6	ARO:3000806	MexG	11	58.272727	57.300000	70.100000
RW_6	ARO:3000807	MexH	455	48.294505	43.296923	98.600000
RW_6	ARO:3000808	MexI	44142	52.554556	47.673134	91.300000
RW_6	ARO:3000809	OpmD	374	47.385027	41.315775	66.200000
RW_6	ARO:3000810	mtrC	6868	52.805402	49.707746	87.000000
RW_6	ARO:3000811	mtrD	78516	55.992614	52.727486	92.400000
RW_6	ARO:3000812	mtrE	8808	57.671969	51.915248	80.900000
RW_6	ARO:3000815	mgrA	1834	45.636478	45.886696	60.800000
RW_6	ARO:3000816	mtrA	475	45.757684	41.379368	70.900000
RW_6	ARO:3000822	pmrA	1113	58.780863	60.074394	94.000000
RW_6	ARO:3000823	ramA	295	57.657966	58.352542	106.000000
RW_6	ARO:3000826	sdiA	252	69.340079	65.296429	100.000000
RW_6	ARO:3000830	cpxA	1333	64.108627	63.846287	112.000000
RW_6	ARO:3000832	evgA	4376	39.333364	42.070110	109.000000
RW_6	ARO:3000833	evgS	19503	44.307568	43.667154	115.000000
RW_6	ARO:3000838	arlR	45738	50.794735	48.702239	92.400000
RW_6	ARO:3000839	arlS	6155	51.069813	50.570398	89.400000
RW_6	ARO:3000840	JOHN-1	11	58.772727	62.981818	81.600000
RW_6	ARO:3000841	CGB-1	29	46.158621	51.482759	90.500000
RW_6	ARO:3000842	EBR-1	19	78.078947	76.289474	112.000000
RW_6	ARO:3000843	MUS-1	28	45.071429	49.342857	65.100000
RW_6	ARO:3000844	TUS-1	57	41.936842	47.891228	62.000000
RW_6	ARO:3000845	GIM-1	17	42.400000	43.917647	51.200000
RW_6	ARO:3000846	SIM-1	1	65.200000	40.400000	40.400000
RW_6	ARO:3000847	KHM-1	13	47.376923	45.169231	100.000000
RW_6	ARO:3000848	DIM-1	17	40.970588	43.988235	58.500000
RW_6	ARO:3000849	SFH-1	70	64.931429	72.921429	85.900000
RW_6	ARO:3000850	GOB-1	93	49.297849	44.191398	93.200000
RW_6	ARO:3000851	THIN-B	96	52.862500	49.433333	75.100000
RW_6	ARO:3000853	AIM-1	84	53.136905	47.716667	73.200000
