seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_35716	6441	No terminal repeats	NA	8	11	0.9824	NA	6	12.6872	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_204992	2812	No terminal repeats	NA	4	11	0.9820	NA	1	5.1519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_59684	3313	No terminal repeats	NA	5	11	0.9817	NA	1	8.1006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2093|provirus_18454_22714	4261	Provirus	18454-22714	8	11	0.9814	NA	2	9.5475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_58874	2789	No terminal repeats	NA	5	11	0.9809	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_213504	2152	No terminal repeats	NA	4	11	0.9809	NA	1	6.2294	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_174089	3870	No terminal repeats	NA	9	11	0.9808	NA	6	13.6153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46253	2499	No terminal repeats	NA	3	11	0.9797	NA	1	5.0456	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_233345	7121	No terminal repeats	NA	9	11	0.9794	NA	2	10.7716	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_53742	1742	No terminal repeats	NA	3	11	0.9791	NA	2	5.1548	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_87923	8968	No terminal repeats	NA	7	11	0.9789	NA	4	11.3529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_69880	7503	No terminal repeats	NA	8	11	0.9789	NA	2	13.7431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_210762	3012	No terminal repeats	NA	2	11	0.9787	NA	1	2.6593	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_142370	2545	No terminal repeats	NA	4	11	0.9779	NA	2	4.5083	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
