seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_40479	2307	No terminal repeats	2	11	0.9962	NA	2	3.4103	MOBQ	NA
k141_101729	1362	No terminal repeats	3	11	0.9960	NA	3	4.8591	MOBP1	NA
k141_180996	1781	No terminal repeats	2	11	0.9959	NA	2	3.2077	MOBQ	NA
k141_254696	1690	No terminal repeats	2	11	0.9959	NA	1	3.2077	MOBQ	NA
k141_20575	6591	No terminal repeats	10	11	0.9958	NA	2	10.0549	MOBQ	NA
k141_199113	3297	No terminal repeats	3	11	0.9958	NA	3	4.2361	MOBQ	NA
k141_91493	2066	No terminal repeats	4	11	0.9955	NA	1	4.1134	NA	NA
k141_71070	1537	No terminal repeats	2	11	0.9955	NA	2	3.2060	MOBQ	NA
k141_229913	1340	No terminal repeats	1	11	0.9955	NA	1	1.7183	NA	NA
k141_212820	1331	No terminal repeats	2	11	0.9955	NA	2	3.1408	MOBP1	NA
k141_210322	1494	No terminal repeats	2	11	0.9954	NA	2	2.7641	MOBQ	NA
k141_395974	2499	No terminal repeats	4	11	0.9954	NA	1	3.2357	NA	NA
k141_262348	2731	No terminal repeats	4	11	0.9953	NA	3	5.0478	MOBQ	NA
k141_130043	1864	No terminal repeats	2	11	0.9952	NA	2	2.9699	MOBP1	NA
k141_312979	1606	No terminal repeats	2	11	0.9951	NA	1	2.2083	NA	NA
k141_20325	3908	No terminal repeats	5	11	0.9951	NA	1	5.1548	NA	NA
k141_304029	3944	No terminal repeats	5	11	0.9950	NA	3	7.0590	F_traW	NA
k141_101594	2455	No terminal repeats	2	11	0.9950	NA	1	3.3066	NA	NA
k141_233928	1228	No terminal repeats	4	11	0.9950	NA	3	4.6857	F_traF	NA
k141_288877	2204	No terminal repeats	3	11	0.9948	NA	2	3.4902	MOBP1	NA
k141_317254	2629	No terminal repeats	3	11	0.9947	NA	0	3.0241	NA	NA
k141_32172	2170	No terminal repeats	3	11	0.9945	NA	2	3.1408	MOBP1	NA
k141_52554	1010	No terminal repeats	2	11	0.9945	NA	1	3.2077	MOBQ	NA
k141_9071	2138	No terminal repeats	1	11	0.9944	NA	1	1.7183	NA	NA
k141_28679	1216	No terminal repeats	2	11	0.9943	NA	2	2.4143	MOBQ	NA
k141_214332	5122	No terminal repeats	7	11	0.9943	NA	5	9.6050	F_traW;F_traU;F_trbC	NA
k141_405811	1455	No terminal repeats	3	11	0.9942	NA	3	4.1744	F_traW;F_traU	NA
k141_100880	1332	No terminal repeats	3	11	0.9942	NA	1	3.4366	NA	NA
k141_15821	3321	No terminal repeats	5	11	0.9941	NA	1	4.1188	NA	NA
k141_170714	3156	No terminal repeats	7	11	0.9941	NA	2	6.6627	MOBQ	NA
k141_364254	2922	No terminal repeats	2	11	0.9940	NA	2	2.8392	MOBQ	NA
k141_230969	1035	No terminal repeats	3	11	0.9940	NA	2	4.1397	NA	NA
k141_339555	3808	No terminal repeats	8	11	0.9940	NA	1	6.4809	NA	NA
k141_235072	1222	No terminal repeats	1	11	0.9938	NA	1	1.7183	MOBT	NA
k141_324134	3464	No terminal repeats	4	11	0.9938	NA	2	3.4366	NA	NA
k141_111551	1122	No terminal repeats	3	11	0.9938	NA	1	3.4366	NA	NA
k141_386545	1341	No terminal repeats	2	11	0.9937	NA	1	2.1179	NA	NA
k141_196898	8187	No terminal repeats	11	11	0.9937	NA	0	4.1386	NA	NA
k141_255655	7147	No terminal repeats	5	11	0.9936	NA	0	4.3067	NA	NA
k141_75713	1490	No terminal repeats	2	11	0.9936	NA	1	1.7183	NA	NA
k141_385116	1557	No terminal repeats	2	11	0.9936	NA	1	1.7183	NA	NA
k141_169814	4487	No terminal repeats	10	11	0.9935	NA	1	5.4137	NA	NA
k141_34256	2695	No terminal repeats	7	11	0.9934	NA	1	3.8844	NA	NA
k141_169591	4806	No terminal repeats	4	11	0.9933	NA	0	1.8789	NA	NA
k141_292788	2801	No terminal repeats	4	11	0.9933	NA	0	3.4267	NA	NA
k141_335926	5525	No terminal repeats	7	11	0.9933	NA	1	1.7183	MOBV	NA
k141_20536	4621	No terminal repeats	9	11	0.9932	NA	0	5.7864	NA	NA
k141_33170	3136	No terminal repeats	3	11	0.9932	NA	0	1.6287	NA	NA
k141_158962	1579	No terminal repeats	3	11	0.9932	NA	2	4.1761	F_trbC;F_traU	NA
k141_14685	1184	No terminal repeats	2	11	0.9931	NA	2	3.4366	MOBP1	NA
k141_380370	1689	No terminal repeats	4	11	0.9931	NA	1	2.8657	NA	NA
k141_283766	1237	No terminal repeats	2	11	0.9930	NA	2	3.2077	MOBQ	NA
k141_95801	2584	No terminal repeats	4	11	0.9930	NA	2	3.2261	MOBQ	NA
k141_287742	2853	No terminal repeats	4	11	0.9929	NA	0	2.6521	NA	NA
k141_215916	6969	No terminal repeats	8	11	0.9928	NA	0	5.6988	NA	NA
k141_358351	3095	No terminal repeats	4	11	0.9928	NA	1	3.0935	NA	NA
k141_109703	1863	No terminal repeats	2	11	0.9927	NA	1	3.2369	NA	NA
k141_81170	1863	No terminal repeats	2	11	0.9926	NA	1	1.7183	NA	NA
k141_317159	10024	No terminal repeats	16	11	0.9926	NA	0	4.3086	NA	NA
k141_231042	1279	No terminal repeats	2	11	0.9926	NA	1	1.5316	NA	NA
k141_257334	2351	No terminal repeats	4	11	0.9925	NA	2	3.2077	MOBQ	NA
k141_371231	22958	No terminal repeats	23	11	0.9924	NA	5	15.9473	G_tfc14;G_tfc15;virb4;G_tfc24;G_tfc23;G_tfc22;G_tfc18;G_tfc19;MOBH	NA
k141_107775	1027	No terminal repeats	2	11	0.9923	NA	1	3.0217	MOBB	NA
k141_79795	3037	No terminal repeats	3	11	0.9923	NA	0	3.4366	NA	NA
k141_29491	1248	No terminal repeats	2	11	0.9923	NA	1	1.7183	NA	NA
k141_230354	1237	No terminal repeats	2	11	0.9923	NA	1	2.7441	NA	NA
k141_47416	2897	No terminal repeats	2	11	0.9922	NA	1	3.0391	NA	NA
k141_301756	1058	No terminal repeats	3	11	0.9922	NA	2	4.0867	F_traU;F_traW	NA
k141_242803	7458	No terminal repeats	9	11	0.9921	NA	0	5.1548	NA	NA
k141_150748	1371	No terminal repeats	3	11	0.9920	NA	1	1.7183	NA	NA
k141_255798	8384	No terminal repeats	13	11	0.9920	NA	0	1.8391	NA	NA
k141_210449	4737	No terminal repeats	6	11	0.9920	NA	0	2.5022	NA	NA
k141_275012	3552	No terminal repeats	5	11	0.9920	NA	0	1.2091	NA	NA
k141_175782	3758	No terminal repeats	4	11	0.9920	NA	1	1.7183	NA	NA
k141_204930	6313	No terminal repeats	9	11	0.9919	NA	1	8.7761	G_tfc8	NA
k141_92940	1062	No terminal repeats	2	11	0.9918	NA	1	2.8711	F_trbC	NA
k141_139623	3781	No terminal repeats	5	11	0.9917	NA	3	4.9300	F_traV;F_traK	NA
k141_289205	4782	No terminal repeats	5	11	0.9917	NA	0	5.0472	NA	NA
k141_156886	1056	No terminal repeats	4	11	0.9916	NA	3	4.2361	MOBQ	NA
k141_325040	1594	No terminal repeats	2	11	0.9916	NA	1	2.8317	virb4	NA
k141_205653	1008	No terminal repeats	3	11	0.9915	NA	1	3.4366	NA	NA
k141_400765	1879	No terminal repeats	4	11	0.9915	NA	4	6.4097	F_traK;F_traE;F_traL	NA
k141_400143	1031	No terminal repeats	2	11	0.9915	NA	2	3.0871	MOBP1	NA
k141_29102	3829	No terminal repeats	8	11	0.9914	NA	0	3.4272	NA	NA
k141_84088	1532	No terminal repeats	2	11	0.9914	NA	1	1.7183	NA	NA
k141_162977	4642	No terminal repeats	6	11	0.9914	NA	1	1.8582	NA	NA
k141_27344	2773	No terminal repeats	4	11	0.9914	NA	2	3.1752	FA_orf17b;FA_orf13	NA
k141_296115	2224	No terminal repeats	2	11	0.9912	NA	1	1.7183	NA	NA
k141_239968	1165	No terminal repeats	3	11	0.9911	NA	3	4.3064	G_tfc9;G_tfc8;G_tfc7	NA
k141_122892	8364	No terminal repeats	10	11	0.9911	NA	1	5.1443	NA	NA
k141_373436	2249	No terminal repeats	2	11	0.9911	NA	1	1.7183	NA	NA
k141_213348	1457	No terminal repeats	1	11	0.9911	NA	1	1.7183	MOBP1	NA
k141_7182	3180	No terminal repeats	4	11	0.9911	NA	1	3.4366	NA	NA
k141_144095	2531	No terminal repeats	6	11	0.9910	NA	3	4.9288	F_traL;F_traE	NA
k141_282310	8163	No terminal repeats	12	11	0.9910	NA	0	5.5630	NA	NA
k141_97908	1540	No terminal repeats	4	11	0.9909	NA	2	3.1506	NA	NA
k141_330190	1310	No terminal repeats	3	11	0.9908	NA	3	4.9288	F_traE;F_traL	NA
