sample_id	aro_id	card_hit_name	diamond_read_hits	mean_pident	mean_bitscore	max_bitscore
I_11-12	ARO:3000005	vanD	5521	52.409310	49.642963	114.000000
I_11-12	ARO:3000010	vanA	4018	51.335217	49.542334	89.000000
I_11-12	ARO:3000013	vanB	2705	53.129982	50.666470	90.500000
I_11-12	ARO:3000024	patA	50624	47.467575	47.386254	99.000000
I_11-12	ARO:3000025	patB	57448	50.779146	50.972937	98.600000
I_11-12	ARO:3000026	mepA	1113	45.748697	42.230368	63.500000
I_11-12	ARO:3000027	emrA	7124	59.734377	59.106794	106.000000
I_11-12	ARO:3000074	emrB	10669	61.731727	63.320742	115.000000
I_11-12	ARO:3000090	Bla1	451	54.752106	59.243902	85.900000
I_11-12	ARO:3000118	vgaB	46293	44.922247	45.053423	73.600000
I_11-12	ARO:3000124	mecI	52	43.305769	44.701923	55.500000
I_11-12	ARO:3000149	FosA	234	66.243162	65.280342	85.900000
I_11-12	ARO:3000165	tet(A)	8637	69.568091	66.659662	109.000000
I_11-12	ARO:3000166	tet(B)	5852	56.926965	56.231203	105.000000
I_11-12	ARO:3000167	tet(C)	7922	72.451199	68.405920	107.000000
I_11-12	ARO:3000168	tet(D)	4248	57.540678	54.892655	94.700000
I_11-12	ARO:3000172	FosB	79	48.101266	39.644304	61.600000
I_11-12	ARO:3000173	tet(E)	6091	60.579182	58.813495	111.000000
I_11-12	ARO:3000174	tet(G)	6720	60.628333	59.496473	105.000000
I_11-12	ARO:3000175	tet(H)	4947	57.190257	56.087811	107.000000
I_11-12	ARO:3000177	tet(J)	4653	57.336557	55.188008	92.400000
I_11-12	ARO:3000178	tet(K)	81	60.027160	57.464198	90.500000
I_11-12	ARO:3000179	tet(L)	96	76.092708	72.457292	107.000000
I_11-12	ARO:3000180	tetA(P)	1422	74.064698	72.379677	103.000000
I_11-12	ARO:3000181	tet(V)	765	59.076993	58.657516	87.800000
I_11-12	ARO:3000182	tet(Y)	5850	56.847829	56.112838	105.000000
I_11-12	ARO:3000183	tet(Z)	3487	58.086206	55.141382	107.000000
I_11-12	ARO:3000186	tet(M)	34208	62.824310	60.481361	114.000000
I_11-12	ARO:3000190	tet(O)	36565	62.998868	61.094085	114.000000
I_11-12	ARO:3000191	tet(Q)	34645	63.210022	62.657480	114.000000
I_11-12	ARO:3000192	tet(S)	32486	60.987564	59.081983	114.000000
I_11-12	ARO:3000193	tet(T)	36309	55.615005	54.423575	109.000000
I_11-12	ARO:3000194	tet(W)	34075	62.989711	59.800226	113.000000
I_11-12	ARO:3000195	tetB(P)	34133	55.364797	51.865886	106.000000
I_11-12	ARO:3000196	tet(32)	36642	60.552931	58.774870	112.000000
I_11-12	ARO:3000197	tet(36)	36933	57.728923	56.050207	109.000000
I_11-12	ARO:3000198	FosX	136	60.906618	60.652206	87.800000
I_11-12	ARO:3000205	tet(X)	1783	89.295794	85.918340	113.000000
I_11-12	ARO:3000206	emrK	6087	56.481797	57.830902	105.000000
I_11-12	ARO:3000215	mecR1	711	49.059212	48.554290	70.900000
I_11-12	ARO:3000216	acrB	119507	61.158026	58.769788	112.000000
I_11-12	ARO:3000217	blaR1	1101	51.832062	52.312534	72.000000
I_11-12	ARO:3000230	ANT(2'')-Ia	942	99.348938	96.534713	118.000000
I_11-12	ARO:3000237	TolC	3802	68.039584	64.285534	104.000000
I_11-12	ARO:3000245	RbpA	392	65.487245	52.330612	115.000000
I_11-12	ARO:3000250	ErmC	3165	58.636714	58.486003	106.000000
I_11-12	ARO:3000251	msrA	19933	47.964687	45.446907	94.700000
I_11-12	ARO:3000254	emrY	9351	57.400396	59.015175	115.000000
I_11-12	ARO:3000263	marA	517	69.183946	66.753772	111.000000
I_11-12	ARO:3000300	lsaA	12558	46.531550	43.885579	102.000000
I_11-12	ARO:3000316	mphA	6564	79.210725	79.913742	115.000000
I_11-12	ARO:3000318	mphB	627	46.820415	54.736364	84.700000
I_11-12	ARO:3000319	mphC	232	44.468534	50.996121	69.700000
I_11-12	ARO:3000326	ErmE	681	47.990162	46.047430	76.300000
