sample_id	aro_id	card_hit_name	diamond_read_hits	unique_reads	mean_pident	median_pident	mean_bitscore	median_bitscore	max_bitscore
ERR1713350	ARO:3000005	vanD	2	2	82.5	82.5	49.9	49.9	57.8
ERR1713350	ARO:3000010	vanA	2	2	97.3	97.3	77.6	77.6	97.4
ERR1713350	ARO:3000013	vanB	12	12	80.44166666666666	80.0	41.699999999999996	40.4	55.8
ERR1713350	ARO:3000024	patA	122	122	83.17459016393443	83.15	80.24180327868852	83.2	90.9
ERR1713350	ARO:3000025	patB	132	132	83.35000000000001	82.0	79.56969696969698	78.6	98.2
ERR1713350	ARO:3000027	emrA	102	102	95.62745098039215	99.0	92.16470588235293	95.7	105.0
ERR1713350	ARO:3000074	emrB	303	303	91.65544554455445	95.9	89.82970297029703	92.0	111.0
ERR1713350	ARO:3000118	vgaB	4	4	81.6	80.8	43.6	43.5	43.9
ERR1713350	ARO:3000149	FosA	1	1	83.3	83.3	69.7	69.7	69.7
ERR1713350	ARO:3000165	tet(A)	13	13	99.53076923076924	100.0	79.89230769230768	94.4	102.0
ERR1713350	ARO:3000166	tet(B)	10	10	98.45	100.0	92.47	92.80000000000001	103.0
ERR1713350	ARO:3000167	tet(C)	6	6	94.58333333333333	100.0	72.38333333333334	71.4	92.0
ERR1713350	ARO:3000173	tet(E)	24	24	95.97083333333335	98.0	92.1125	93.2	105.0
ERR1713350	ARO:3000174	tet(G)	31	31	93.45806451612903	95.0	87.14193548387097	89.7	100.0
ERR1713350	ARO:3000175	tet(H)	22	22	99.17727272727274	100.0	87.83181818181818	96.44999999999999	102.0
ERR1713350	ARO:3000179	tet(L)	3	3	91.33333333333333	90.0	93.3	92.8	95.1
ERR1713350	ARO:3000180	tetA(P)	22	22	90.88181818181819	90.0	83.5909090909091	85.1	102.0
ERR1713350	ARO:3000181	tet(V)	2	2	80.2	80.2	73.75	73.75	75.9
ERR1713350	ARO:3000182	tet(Y)	6	6	98.33333333333333	98.0	97.7	97.80000000000001	101.0
ERR1713350	ARO:3000183	tet(Z)	2	2	91.65	91.65	91.15	91.15	106.0
ERR1713350	ARO:3000186	tet(M)	92	92	95.45652173913044	96.0	85.74347826086957	92.2	111.0
ERR1713350	ARO:3000190	tet(O)	757	757	97.75257595772787	100.0	96.51585204755614	99.4	114.0
ERR1713350	ARO:3000191	tet(Q)	1496	1496	95.24110962566846	96.0	94.57513368983957	98.2	113.0
ERR1713350	ARO:3000192	tet(S)	105	105	98.78476190476191	100.0	97.05142857142857	100.0	114.0
ERR1713350	ARO:3000193	tet(T)	15	15	89.38666666666667	92.0	76.7	92.4	102.0
ERR1713350	ARO:3000194	tet(W)	1614	1614	98.88791821561338	100.0	95.85824039653036	99.0	113.0
ERR1713350	ARO:3000195	tetB(P)	28	28	87.94285714285715	85.0	72.925	81.3	102.0
ERR1713350	ARO:3000196	tet(32)	261	261	97.26858237547893	100.0	96.79885057471265	100.0	112.0
ERR1713350	ARO:3000197	tet(36)	9	9	89.88888888888889	92.0	85.88888888888889	90.1	98.6
ERR1713350	ARO:3000198	FosX	23	23	80.92608695652174	80.0	57.01304347826087	66.6	82.4
ERR1713350	ARO:3000205	tet(X)	145	145	98.75586206896551	100.0	98.85862068965517	102.0	111.0
ERR1713350	ARO:3000206	emrK	101	101	97.35742574257426	100.0	87.92178217821782	92.8	103.0
ERR1713350	ARO:3000216	acrB	1745	1745	87.7397134670487	86.0	82.74704871060172	82.0	114.0
ERR1713350	ARO:3000217	blaR1	2	2	81.55	81.55	61.65	61.65	70.5
ERR1713350	ARO:3000230	ANT(2'')-Ia	29	29	97.64482758620689	98.0	88.87931034482759	102.0	117.0
ERR1713350	ARO:3000237	TolC	235	235	95.37914893617021	98.0	89.04808510638297	92.0	103.0
ERR1713350	ARO:3000245	RbpA	8	8	88.1375	88.8	77.6875	84.15	101.0
ERR1713350	ARO:3000251	msrA	5	5	87.72	85.0	59.980000000000004	37.7	97.4
ERR1713350	ARO:3000254	emrY	131	131	97.3618320610687	100.0	95.23358778625955	97.8	111.0
ERR1713350	ARO:3000263	marA	34	34	97.42058823529412	98.0	93.3	97.25	107.0
ERR1713350	ARO:3000300	lsaA	6	6	81.18333333333334	80.9	80.73333333333333	81.44999999999999	81.6
ERR1713350	ARO:3000316	mphA	24	24	99.08749999999999	100.0	93.22916666666667	100.0	114.0
ERR1713350	ARO:3000318	mphB	12	12	88.375	87.75	87.10000000000001	93.94999999999999	117.0
ERR1713350	ARO:3000343	tap	7	7	85.5	87.8	80.10000000000001	82.0	90.1
ERR1713350	ARO:3000347	ErmA	4	4	89.175	89.4	81.55	87.85	94.7
ERR1713350	ARO:3000361	EreA	16	16	97.30625	99.0	95.3375	99.4	104.0
ERR1713350	ARO:3000363	EreB	14	14	87.79285714285713	88.0	91.32142857142857	93.75	100.0
ERR1713350	ARO:3000368	vanC	8	8	81.7625	81.8	42.675	42.900000000000006	45.8
ERR1713350	ARO:3000375	ErmB	640	640	98.12125	100.0	77.14390625	80.9	111.0
ERR1713350	ARO:3000377	MexA	40	40	83.07000000000001	82.0	81.125	81.05	94.4
ERR1713350	ARO:3000378	MexB	1596	1596	85.63884711779448	84.0	76.71284461152882	79.3	107.0
ERR1713350	ARO:3000379	OprM	70	70	82.03714285714287	81.35	75.32714285714285	75.1	92.0
ERR1713350	ARO:3000410	sul1	62	62	98.78870967741935	100.0	87.25806451612904	94.4	106.0
ERR1713350	ARO:3000412	sul2	20	20	99.325	100.0	77.49	91.7	101.0
ERR1713350	ARO:3000413	sul3	2	2	97.0	97.0	95.15	95.15	96.3
ERR1713350	ARO:3000421	norB	11	11	83.25454545454545	81.6	85.32727272727273	86.3	97.1
ERR1713350	ARO:3000444	rphA	211	211	83.72748815165876	84.0	47.838862559241704	47.8	71.6
ERR1713350	ARO:3000448	QepA1	26	26	85.19615384615385	85.5	67.60384615384615	65.1	87.4
ERR1713350	ARO:3000464	Ngon_porin	72	72	84.21111111111111	83.3	45.15277777777778	45.4	55.8
ERR1713350	ARO:3000476	tet(31)	4	4	100.0	100.0	99.05	97.25	107.0
ERR1713350	ARO:3000478	tet(33)	2	2	92.85	92.85	85.7	85.7	85.9
ERR1713350	ARO:3000481	tet(35)	7	7	82.27142857142857	82.1	73.21428571428571	73.9	86.3
ERR1713350	ARO:3000491	acrD	797	797	90.71442910915934	91.8	86.48381430363865	87.4	111.0
ERR1713350	ARO:3000498	ErmF	344	344	97.40552325581395	98.0	90.43168604651163	96.9	105.0
ERR1713350	ARO:3000499	AcrE	121	121	94.46363636363637	98.0	88.97355371900827	92.8	104.0
ERR1713350	ARO:3000501	rpoB2	573	573	83.50191972076789	82.0	74.25270506108203	77.4	107.0
ERR1713350	ARO:3000502	AcrF	791	791	91.11276864728192	90.0	82.18432364096081	82.8	113.0
ERR1713350	ARO:3000504	golS	50	50	84.47399999999999	84.4	51.168	44.099999999999994	93.2
ERR1713350	ARO:3000508	gadX	69	69	96.28260869565217	98.0	91.61304347826088	96.3	105.0
ERR1713350	ARO:3000510	Saur_mupB_MUP	30	30	81.99333333333334	81.0	62.626666666666665	64.3	84.3
ERR1713350	ARO:3000516	emrR	91	91	96.45714285714286	98.0	90.29010989010989	96.7	110.0
