seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_202719	9260	No terminal repeats	NA	10	11	0.9837	NA	5	16.8877	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_331399	4001	No terminal repeats	NA	7	11	0.9835	NA	0	11.9419	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_133418	3311	No terminal repeats	NA	6	11	0.9835	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_951837	3441	No terminal repeats	NA	4	11	0.9831	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Zobellviridae
k141_434186	7619	No terminal repeats	NA	9	11	0.9831	NA	3	11.9832	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_108127	6628	No terminal repeats	NA	8	11	0.9830	NA	3	10.1154	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1115342	8411	No terminal repeats	NA	8	11	0.9830	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_1234990	25612	No terminal repeats	NA	25	11	0.9829	NA	9	32.9440	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_617345	3583	No terminal repeats	NA	5	11	0.9827	NA	1	6.6788	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_158254	11804	No terminal repeats	NA	13	11	0.9826	NA	3	17.4157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_151786	1733	No terminal repeats	NA	5	11	0.9826	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Zobellviridae
k141_1156114	4119	No terminal repeats	NA	5	11	0.9826	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_390524	21578	No terminal repeats	NA	27	11	0.9826	NA	9	37.5357	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_648383	3699	No terminal repeats	NA	4	11	0.9826	NA	0	6.3385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_45552	32368	No terminal repeats	NA	35	11	0.9825	NA	8	32.7558	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_336122	5899	No terminal repeats	NA	9	11	0.9825	NA	5	12.1109	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_483293	4998	No terminal repeats	NA	4	11	0.9825	NA	3	6.8226	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1044448	6054	No terminal repeats	NA	10	11	0.9825	NA	1	14.5330	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_470118	2389	No terminal repeats	NA	5	11	0.9825	NA	3	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_676648	4349	No terminal repeats	NA	7	11	0.9825	NA	2	11.3442	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_594037	3670	No terminal repeats	NA	4	11	0.9825	NA	3	6.8474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1188680	1697	No terminal repeats	NA	3	15	0.9825	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1239241	7984	No terminal repeats	NA	8	11	0.9825	NA	2	11.4529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_964816	4089	No terminal repeats	NA	4	11	0.9824	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_291361	5703	No terminal repeats	NA	6	11	0.9824	NA	1	8.4607	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_399958	2989	No terminal repeats	NA	5	11	0.9823	NA	0	6.5574	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1141764	5527	DTR	NA	8	11	0.9823	NA	2	10.3097	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_393761	5651	No terminal repeats	NA	4	11	0.9823	NA	1	6.4205	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_325128	4894	No terminal repeats	NA	13	11	0.9823	NA	0	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_37671	4402	No terminal repeats	NA	10	11	0.9823	NA	1	11.8450	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Zobellviridae
k141_1013211	2871	No terminal repeats	NA	4	11	0.9822	NA	0	6.8725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_842681	2913	No terminal repeats	NA	8	11	0.9822	NA	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_192259	4576	No terminal repeats	NA	7	11	0.9822	NA	0	8.3347	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1046566	1768	No terminal repeats	NA	3	11	0.9822	NA	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_549384	7737	No terminal repeats	NA	10	11	0.9821	NA	4	16.7491	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_374593	1686	No terminal repeats	NA	4	11	0.9821	NA	1	6.3900	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1069794	8156	No terminal repeats	NA	10	11	0.9820	NA	0	13.5378	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_198580	4651	No terminal repeats	NA	10	11	0.9820	NA	0	14.9814	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_747076	3079	No terminal repeats	NA	5	11	0.9819	NA	1	6.6608	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1049775	19250	No terminal repeats	NA	19	11	0.9819	NA	4	18.6986	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1254090	8733	No terminal repeats	NA	15	11	0.9819	NA	3	14.0784	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_591407	4717	No terminal repeats	NA	7	11	0.9818	NA	1	6.6182	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_432180	3953	No terminal repeats	NA	8	11	0.9818	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1165240	1835	No terminal repeats	NA	3	11	0.9818	NA	2	5.1044	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_185053	3833	No terminal repeats	NA	7	11	0.9818	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
