seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_258401	4956	No terminal repeats	NA	9	11	0.9837	NA	1	15.1642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3854452	6384	No terminal repeats	NA	8	11	0.9837	NA	1	12.9047	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3450815	5506	No terminal repeats	NA	7	11	0.9837	NA	3	10.7591	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_749692	7320	No terminal repeats	NA	7	11	0.9837	NA	4	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_162206	6464	No terminal repeats	NA	8	11	0.9836	NA	1	13.4397	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2616993	5982	No terminal repeats	NA	12	11	0.9836	NA	1	19.8997	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_427546	6494	No terminal repeats	NA	11	11	0.9835	NA	0	18.1979	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2123333	6935	No terminal repeats	NA	8	11	0.9835	NA	4	11.9277	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3017272	3621	No terminal repeats	NA	6	11	0.9835	NA	1	10.3077	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
k141_3973274	12547	No terminal repeats	NA	16	11	0.9835	NA	3	24.9882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_781821	3709	No terminal repeats	NA	5	11	0.9834	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_781820	4274	No terminal repeats	NA	6	11	0.9834	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_977729	20122	No terminal repeats	NA	14	11	0.9834	NA	1	22.8860	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3035240	8440	No terminal repeats	NA	7	11	0.9834	NA	1	10.7816	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_843103	14304	No terminal repeats	NA	14	11	0.9834	NA	3	20.6348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
k141_2645076	4665	No terminal repeats	NA	10	11	0.9834	NA	1	15.1382	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2661302	5264	No terminal repeats	NA	7	11	0.9834	NA	4	12.0242	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3129385	23691	No terminal repeats	NA	22	11	0.9834	NA	2	35.7024	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2555364	3479	No terminal repeats	NA	4	11	0.9833	NA	2	6.8699	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_139568	15928	No terminal repeats	NA	21	11	0.9833	NA	6	35.0606	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2771927	3538	No terminal repeats	NA	7	11	0.9833	NA	1	11.4896	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_7439	6416	No terminal repeats	NA	10	11	0.9833	NA	1	14.8366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3549328	6449	No terminal repeats	NA	7	11	0.9833	NA	2	11.6278	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3727441	6330	No terminal repeats	NA	5	11	0.9833	NA	1	8.3764	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2799144	17635	No terminal repeats	NA	23	11	0.9833	NA	0	31.4431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_946299	7029	No terminal repeats	NA	9	11	0.9833	NA	1	14.5400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2323461	8127	No terminal repeats	NA	13	11	0.9832	NA	3	19.8434	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2747853	17191	No terminal repeats	NA	25	11	0.9832	NA	9	30.0349	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_172239	8128	No terminal repeats	NA	12	11	0.9832	NA	3	16.3928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3548522	4328	No terminal repeats	NA	6	11	0.9832	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3244978	3400	No terminal repeats	NA	4	11	0.9832	NA	2	6.8699	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_795867	5856	No terminal repeats	NA	6	11	0.9832	NA	1	9.6076	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
k141_1019679	4467	No terminal repeats	NA	10	11	0.9832	NA	2	14.7724	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
k141_1892745	37671	No terminal repeats	NA	50	11	0.9832	NA	11	68.9413	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1240789	4098	No terminal repeats	NA	7	11	0.9832	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_114325	25642	No terminal repeats	NA	26	11	0.9832	NA	1	42.6037	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_889026	8145	No terminal repeats	NA	10	11	0.9832	NA	0	14.8931	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1509148	4790	No terminal repeats	NA	7	11	0.9832	NA	1	9.9842	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1089380	3469	No terminal repeats	NA	6	11	0.9831	NA	1	10.2922	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2644421	4861	No terminal repeats	NA	6	11	0.9831	NA	2	10.2284	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3711401	10429	No terminal repeats	NA	8	11	0.9831	NA	2	11.3506	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_292965	17232	No terminal repeats	NA	20	11	0.9831	NA	8	27.4830	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_695819	13358	No terminal repeats	NA	20	11	0.9831	NA	0	29.9687	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_522202	6669	No terminal repeats	NA	8	11	0.9831	NA	0	10.6996	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
k141_3372352	7426	No terminal repeats	NA	15	11	0.9831	NA	0	20.4924	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_282155	4013	No terminal repeats	NA	5	11	0.9831	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_288916	11072	No terminal repeats	NA	13	11	0.9831	NA	5	16.8178	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_495998	5994	No terminal repeats	NA	7	11	0.9831	NA	3	10.2383	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_2181152	12393	No terminal repeats	NA	13	11	0.9831	NA	5	17.8656	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2339792	11032	No terminal repeats	NA	18	11	0.9831	NA	7	23.2456	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1330955	9705	No terminal repeats	NA	12	11	0.9831	NA	6	20.1016	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_661864	64061	No terminal repeats	NA	57	11	0.9831	NA	21	79.1591	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1242471	46876	No terminal repeats	NA	47	11	0.9831	NA	8	68.6326	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_2037348	4651	No terminal repeats	NA	4	11	0.9831	NA	1	6.5230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_690952	7670	No terminal repeats	NA	7	11	0.9831	NA	3	11.0617	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_731756	4826	No terminal repeats	NA	4	11	0.9831	NA	4	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_180446	10782	No terminal repeats	NA	21	11	0.9831	NA	0	29.8682	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3292865	6965	No terminal repeats	NA	9	11	0.9830	NA	1	14.3130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
