seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_827816	5800	No terminal repeats	NA	8	11	0.9836	NA	0	12.2424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_812264	4482	No terminal repeats	NA	7	11	0.9835	NA	1	11.6007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1033980	7125	No terminal repeats	NA	7	11	0.9834	NA	2	10.8611	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_812267	7342	No terminal repeats	NA	10	11	0.9834	NA	2	13.8923	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_588995	7210	No terminal repeats	NA	11	11	0.9834	NA	3	15.5569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_822835	5416	No terminal repeats	NA	7	11	0.9833	NA	2	11.5634	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1224531	7840	No terminal repeats	NA	8	11	0.9832	NA	0	11.4496	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_149128	5832	No terminal repeats	NA	7	11	0.9832	NA	4	10.2819	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1017648	6920	No terminal repeats	NA	8	11	0.9832	NA	2	10.4912	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_71379	7519	No terminal repeats	NA	7	11	0.9832	NA	2	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_618452	3797	No terminal repeats	NA	4	11	0.9832	NA	2	6.5190	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_257241	10517	No terminal repeats	NA	15	11	0.9831	NA	9	19.2417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_236448	5236	No terminal repeats	NA	4	11	0.9831	NA	0	6.8683	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1615711	4470	DTR	NA	6	11	0.9831	NA	4	9.4888	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_205708	10653	No terminal repeats	NA	10	11	0.9831	NA	5	14.7407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1460982	14228	No terminal repeats	NA	18	11	0.9831	NA	3	23.8039	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_309595	3473	No terminal repeats	NA	5	11	0.9831	NA	2	8.5743	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_278550	5870	No terminal repeats	NA	8	11	0.9831	NA	0	11.5519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_699015	14858	No terminal repeats	NA	11	11	0.9831	NA	0	18.1909	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1317012	21937	No terminal repeats	NA	16	11	0.9830	NA	4	24.6592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
k141_861002	6349	No terminal repeats	NA	12	11	0.9830	NA	2	16.7714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_53049	15992	No terminal repeats	NA	9	11	0.9830	NA	1	13.4915	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_662460	11579	No terminal repeats	NA	11	11	0.9830	NA	1	17.0551	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_307839	3814	No terminal repeats	NA	5	11	0.9829	NA	3	8.1997	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
k141_935606	4972	No terminal repeats	NA	6	11	0.9829	NA	1	8.1381	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_915273	19786	No terminal repeats	NA	23	11	0.9829	NA	6	29.2775	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_448681	19190	No terminal repeats	NA	27	11	0.9829	NA	3	34.3140	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_83443	5929	No terminal repeats	NA	8	11	0.9829	NA	1	10.9912	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1586042	12082	No terminal repeats	NA	12	11	0.9829	NA	3	14.9915	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_625430	10419	No terminal repeats	NA	5	11	0.9828	NA	0	8.1142	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Demerecviridae
k141_1116772	3999	No terminal repeats	NA	7	11	0.9828	NA	2	10.1657	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_61250	3933	No terminal repeats	NA	4	11	0.9828	NA	3	5.8704	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1011612	5458	No terminal repeats	NA	9	11	0.9827	NA	1	11.8075	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_892566	2436	No terminal repeats	NA	5	11	0.9827	NA	1	6.4492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_155045	10012	No terminal repeats	NA	9	11	0.9827	NA	3	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1373300	6747	No terminal repeats	NA	10	11	0.9827	NA	2	10.2177	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1111402	18596	No terminal repeats	NA	23	11	0.9827	NA	9	26.6356	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_316610	4435	No terminal repeats	NA	6	11	0.9826	NA	0	8.3193	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_765287	3694	No terminal repeats	NA	6	11	0.9826	NA	2	8.3764	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_429018	4098	No terminal repeats	NA	7	11	0.9826	NA	3	9.5984	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_90971	12572	No terminal repeats	NA	16	11	0.9826	NA	5	17.0983	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1390489	6294	No terminal repeats	NA	7	11	0.9826	NA	1	8.0701	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1457233	6840	No terminal repeats	NA	14	11	0.9825	NA	1	13.7431	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_925004	4146	No terminal repeats	NA	7	11	0.9825	NA	1	9.2534	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1304263	8438	No terminal repeats	NA	11	11	0.9825	NA	4	13.2358	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_37016	4941	No terminal repeats	NA	7	11	0.9825	NA	3	8.1739	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1251134	5505	No terminal repeats	NA	9	11	0.9825	NA	2	11.2934	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_716661	4357	No terminal repeats	NA	12	11	0.9825	NA	1	13.6549	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Stanwilliamsviridae
k141_352856	5602	No terminal repeats	NA	9	11	0.9825	NA	3	11.2042	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
