sample_id	aro_id	card_hit_name	diamond_read_hits	mean_pident	mean_bitscore	max_bitscore
E_3-4	ARO:3000005	vanD	6683	51.243528	49.442406	73.900000
E_3-4	ARO:3000010	vanA	5038	52.076876	49.781540	75.100000
E_3-4	ARO:3000013	vanB	3739	51.500455	50.070848	72.800000
E_3-4	ARO:3000024	patA	33654	46.060626	46.081126	84.700000
E_3-4	ARO:3000025	patB	37134	48.851847	48.844076	97.100000
E_3-4	ARO:3000026	mepA	121	44.911570	42.135537	60.800000
E_3-4	ARO:3000027	emrA	3523	57.440278	57.872580	106.000000
E_3-4	ARO:3000074	emrB	5990	54.034975	56.790200	115.000000
E_3-4	ARO:3000090	Bla1	91	54.171429	55.200000	72.000000
E_3-4	ARO:3000118	vgaB	24839	44.287894	44.565164	72.400000
E_3-4	ARO:3000124	mecI	18	41.722222	45.227778	54.300000
E_3-4	ARO:3000149	FosA	96	58.132292	56.139583	87.000000
E_3-4	ARO:3000165	tet(A)	5997	61.353960	58.172269	108.000000
E_3-4	ARO:3000166	tet(B)	4713	50.336558	50.128687	97.800000
E_3-4	ARO:3000167	tet(C)	5633	63.166465	59.064708	107.000000
E_3-4	ARO:3000168	tet(D)	2748	51.881587	49.824236	104.000000
E_3-4	ARO:3000172	FosB	29	47.437931	40.724138	52.400000
E_3-4	ARO:3000173	tet(E)	3564	53.747250	52.040741	105.000000
E_3-4	ARO:3000174	tet(G)	2788	59.620194	58.002511	104.000000
E_3-4	ARO:3000175	tet(H)	5503	51.615373	50.251899	105.000000
E_3-4	ARO:3000177	tet(J)	5447	51.552616	49.573141	91.300000
E_3-4	ARO:3000178	tet(K)	28	44.267857	42.142857	61.200000
E_3-4	ARO:3000179	tet(L)	51	47.741176	45.501961	99.400000
E_3-4	ARO:3000180	tetA(P)	425	62.039529	61.124235	105.000000
E_3-4	ARO:3000181	tet(V)	1146	67.277138	65.983682	90.100000
E_3-4	ARO:3000182	tet(Y)	4564	51.348444	49.505872	91.300000
E_3-4	ARO:3000183	tet(Z)	4409	51.098957	48.529780	90.500000
E_3-4	ARO:3000186	tet(M)	25016	53.839375	49.828154	112.000000
E_3-4	ARO:3000190	tet(O)	25521	54.750860	50.950460	113.000000
E_3-4	ARO:3000191	tet(Q)	21438	52.005392	51.303858	111.000000
E_3-4	ARO:3000192	tet(S)	23135	52.530473	48.759347	110.000000
E_3-4	ARO:3000193	tet(T)	33182	52.968257	51.005590	100.000000
E_3-4	ARO:3000194	tet(W)	24245	54.541110	49.576387	112.000000
E_3-4	ARO:3000195	tetB(P)	30847	53.647454	50.839579	106.000000
E_3-4	ARO:3000196	tet(32)	24250	53.772148	50.325728	111.000000
E_3-4	ARO:3000197	tet(36)	28163	52.698122	50.587707	107.000000
E_3-4	ARO:3000198	FosX	110	65.600000	52.087273	75.100000
E_3-4	ARO:3000205	tet(X)	619	64.745880	56.578029	111.000000
E_3-4	ARO:3000206	emrK	3404	55.948384	56.979788	105.000000
E_3-4	ARO:3000215	mecR1	125	46.240000	44.487200	61.600000
E_3-4	ARO:3000216	acrB	58840	57.079079	54.338273	112.000000
E_3-4	ARO:3000217	blaR1	493	47.402028	49.104260	72.800000
E_3-4	ARO:3000230	ANT(2'')-Ia	217	95.155760	91.940553	118.000000
E_3-4	ARO:3000237	TolC	1024	61.671289	58.424023	103.000000
E_3-4	ARO:3000245	RbpA	540	83.748889	76.555185	112.000000
E_3-4	ARO:3000250	ErmC	144	53.120139	50.718056	93.200000
E_3-4	ARO:3000251	msrA	11445	48.658497	45.670345	64.700000
E_3-4	ARO:3000254	emrY	4675	52.689112	55.061070	112.000000
E_3-4	ARO:3000263	marA	158	57.343671	54.229114	110.000000
E_3-4	ARO:3000300	lsaA	5061	44.889350	42.035803	102.000000
E_3-4	ARO:3000316	mphA	851	76.862045	78.564160	115.000000
E_3-4	ARO:3000318	mphB	84	46.433333	54.767857	71.200000
E_3-4	ARO:3000319	mphC	47	44.851064	52.525532	71.600000
E_3-4	ARO:3000326	ErmE	235	48.217447	46.168085	84.300000
E_3-4	ARO:3000343	tap	2011	62.028195	61.409995	96.300000
E_3-4	ARO:3000347	ErmA	76	59.836842	55.006579	90.500000
E_3-4	ARO:3000361	EreA	384	90.144010	86.555469	108.000000
E_3-4	ARO:3000363	EreB	381	71.907874	74.243832	108.000000
