set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_170104	k141_170104_3 # 1113 # 2300 # 1 # ID=239_3;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.406	tet(39)	3000566	Perfect	100.0	100.0	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline	True	plasmid_like		0.9745	
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_48864	k141_48864_2 # 189 # 1832 # -1 # ID=548_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.495	eptA	3003576	Strict	99.82	100.0	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	polymyxin B	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_73201	k141_73201_6 # 6575 # 7762 # -1 # ID=589_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.683	vanT gene in vanG cluster	3002972	Strict	32.05	55.48	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_49019	k141_49019_6 # 4398 # 5498 # -1 # ID=791_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.500	vanG	3002909	Strict	38.48	104.87	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_24800	k141_24800_2 # 578 # 1060 # 1 # ID=934_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.410	nimE	3007107	Strict	54.94	94.12	nitroimidazole antibiotic	antibiotic inactivation	nitroimidazole reductase	metronidazole	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_25159	k141_25159_18 # 16554 # 16889 # 1 # ID=1524_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.676	qacJ	3007014	Strict	40.0	103.74	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_49722	k141_49722_1 # 120 # 983 # -1 # ID=2015_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.535	GES-1	3002330	Perfect	100.0	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	GES beta-lactamase		False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_1442	k141_1442_2 # 277 # 1077 # -1 # ID=2319_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.419	OXA-10	3001405	Perfect	100.0	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	True	plasmid_like		0.9387	
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_1524	k141_1524_27 # 23619 # 25091 # 1 # ID=2543_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.485	vanW gene in vanI cluster	3003724	Strict	34.51	131.37	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_1642	k141_1642_4 # 2737 # 5892 # -1 # ID=2779_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609	adeF	3000777	Strict	43.57	99.24	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_26143	k141_26143_2 # 265 # 1266 # -1 # ID=3213_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.341	vanT gene in vanG cluster	3002972	Strict	32.26	46.77	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_147901	k141_147901_2 # 828 # 1403 # 1 # ID=3763_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.438	vanW gene in vanG cluster	3002965	Strict	35.48	68.33	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_148191	k141_148191_2 # 650 # 1474 # -1 # ID=4322_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.716	vanY gene in vanM cluster	3002961	Strict	31.65	117.6	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_148653	k141_148653_1 # 69 # 401 # -1 # ID=5128_1;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.511	qacL	3005098	Strict	98.18	100.0	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump		False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_148653	k141_148653_2 # 613 # 1401 # -1 # ID=5128_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.583	aadA5	3002605	Perfect	100.0	100.0	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')	spectinomycin; streptomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_3650	k141_3650_1 # 3 # 1490 # 1 # ID=5975_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.400	tet(O)	3000190	Strict	48.17	77.46	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_28459	k141_28459_2 # 390 # 1214 # -1 # ID=6976_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.457	OXA-644	3005864	Strict	97.45	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_28483	k141_28483_2 # 1386 # 1628 # 1 # ID=6999_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.432	qacJ	3007014	Strict	45.33	75.7	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	True	plasmid_like		0.9917	
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_125749	k141_125749_2 # 545 # 1348 # 1 # ID=7081_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.311	lnuB	3002836	Strict	96.25	100.0	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	lincomycin; clindamycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_4578	k141_4578_1 # 3 # 491 # 1 # ID=7390_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.391	vanW gene in vanI cluster	3003724	Strict	39.8	43.43	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_101669	k141_101669_5 # 1928 # 2260 # -1 # ID=7739_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.580	qacL	3005098	Strict	84.55	100.0	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump		True	plasmid_like		0.9521	
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_78362	k141_78362_1 # 261 # 2234 # 1 # ID=8827_1;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401	tet(Q)	3000191	Strict	97.26	100.0	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_175607	k141_175607_37 # 42404 # 43474 # 1 # ID=9298_37;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.288	vanT gene in vanG cluster	3002972	Strict	33.79	50.0	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_151335	k141_151335_6 # 5023 # 5355 # -1 # ID=9457_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414	qacG	3007015	Strict	42.86	102.8	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_127322	k141_127322_10 # 8818 # 9621 # -1 # ID=9734_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.317	lnuB	3002836	Strict	98.5	100.0	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	lincomycin; clindamycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_151698	k141_151698_1 # 1 # 819 # 1 # ID=10013_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.433	vanW gene in vanG cluster	3002965	Strict	32.88	96.8	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_79266	k141_79266_5 # 3516 # 3980 # 1 # ID=10344_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684	Pseudomonas aeruginosa soxR	3004107	Strict	71.43	98.72	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic target alteration; antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_128592	k141_128592_3 # 1054 # 1905 # 1 # ID=11836_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.478	vanY gene in vanB cluster	3002956	Strict	37.93	105.6	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_55881	k141_55881_1 # 3 # 980 # -1 # ID=12118_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.458	vanT gene in vanG cluster	3002972	Strict	32.91	45.79	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_32190	k141_32190_4 # 2601 # 3485 # -1 # ID=12932_4;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=12bp;gc_cont=0.365	mphE	3003741	Perfect	100.0	100.0	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)	erythromycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_32190	k141_32190_5 # 3541 # 5016 # -1 # ID=12932_5;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=5bp;gc_cont=0.399	msrE	3003109	Perfect	100.0	100.0	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	msr-type ABC-F protein	erythromycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_129342	k141_129342_1 # 46 # 888 # -1 # ID=13016_1;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.375	OXA-58	3001611	Perfect	100.0	100.0	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_81343	k141_81343_1 # 66 # 596 # -1 # ID=13572_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.488	emrR	3000516	Perfect	100.0	100.0	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	nalidixic acid	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_154115	k141_154115_1 # 19 # 351 # 1 # ID=13807_1;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.520	qacL	3005098	Strict	93.64	100.0	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump		False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_106015	k141_106015_2 # 952 # 1689 # 1 # ID=14901_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.331	ErmB	3000375	Strict	97.96	98.79	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin	True	plasmid_like		0.9824	
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_9247	k141_9247_2 # 652 # 999 # -1 # ID=15122_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.629	qacG	3007015	Strict	39.42	107.48	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_179261	k141_179261_4 # 3441 # 4166 # 1 # ID=15153_4;partial=00;start_type=ATG;rbs_motif=AAAAAA;rbs_spacer=12bp;gc_cont=0.408	vanY gene in vanB cluster	3002956	Strict	42.06	89.93	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_130896	k141_130896_2 # 1013 # 1813 # 1 # ID=15560_2;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.685	vanY gene in vanM cluster	3002961	Strict	29.69	114.16	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_131287	k141_131287_4 # 1986 # 2837 # 1 # ID=16209_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.459	vanY gene in vanG cluster	3002959	Strict	39.6	101.43	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_58469	k141_58469_49 # 47560 # 50742 # 1 # ID=16293_49;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.663	adeF	3000777	Strict	60.0	100.09	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	True	plasmid_like		0.9857	
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_58486	k141_58486_1 # 2 # 1000 # 1 # ID=16328_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.588	vanH gene in vanO cluster	3002948	Strict	42.17	94.86	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
RM2016_clean21_plus_USA_chicago_11	ERR1713348	k141_83230	k141_83230_2 # 666 # 1208 # -1 # ID=16495_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.610	vanY gene in vanF cluster	3002958	Strict	34.62	61.43	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	False	chromosome_like	1		
